timestamp,channel,action,payload
1764321245097,CH1,POWER,2.35
1764321245102,CH1,POWER,2.35
1764321245107,CH1,POWER,2.35
1764321245112,CH1,POWER,2.35
1764321245116,CH1,POWER,2.35
1764321245119,CH1,POWER,2.35
1764321245121,CH1,POWER,2.35
1764321245149,CH1,POWER,2.35
1764321245154,CH1,POWER,2.35
1764321245160,CH1,POWER,2.35
1764321245164,CH1,POWER,2.35
1764321245170,CH1,POWER,2.35
1764321245174,CH1,POWER,2.35
1764321245180,CH1,POWER,2.35
1764321245188,CH1,POWER,2.35
1764321245194,CH1,POWER,2.35
1764321245200,CH1,POWER,2.35
1764321245204,CH1,POWER,2.35
1764321245210,CH1,POWER,2.35
1764321245214,CH1,POWER,2.35
1764321245220,CH1,POWER,2.35
1764321245224,CH1,POWER,2.35
1764321245230,CH1,POWER,2.35
1764321245235,CH1,POWER,2.35
1764321245240,CH1,POWER,2.35
1764321245244,CH1,POWER,2.35
1764321245250,CH1,POWER,2.35
1764321245258,CH1,POWER,2.35
1764321245263,CH1,POWER,2.35
1764321245269,CH1,POWER,2.35
1764321245275,CH1,POWER,2.35
1764321245282,CH1,POWER,2.35
1764321245287,CH1,POWER,2.35
1764321245292,CH1,POWER,2.35
1764321245297,CH1,POWER,2.35
1764321245302,CH1,POWER,2.35
1764321245307,CH1,POWER,2.35
1764321245312,CH1,POWER,2.35
1764321245320,CH1,POWER,2.35
1764321245325,CH1,POWER,2.35
1764321245330,CH1,POWER,2.35
1764321245335,CH1,POWER,2.35
1764321245340,CH1,POWER,2.35
1764321245345,CH1,POWER,2.35
1764321245350,CH1,POWER,2.35
1764321245355,CH1,POWER,2.35
1764321245360,CH1,POWER,2.35
1764321245365,CH1,POWER,2.35
1764321245370,CH1,POWER,2.35
1764321245375,CH1,POWER,2.35
1764321245381,CH1,POWER,2.35
1764321245388,CH1,POWER,2.35
1764321245393,CH1,POWER,2.35
1764321245397,CH1,POWER,2.35
1764321245402,CH1,POWER,2.35
1764321245408,CH1,POWER,2.35
1764321245414,CH1,POWER,2.35
1764321245419,CH1,POWER,2.35
1764321245425,CH1,POWER,2.35
1764321245430,CH1,POWER,2.35
1764321245435,CH1,POWER,2.35
1764321245440,CH1,POWER,2.35
1764321245445,CH1,POWER,2.35
1764321245450,CH1,POWER,2.35
1764321245454,CH1,POWER,2.35
1764321245460,CH1,POWER,2.35
1764321245464,CH1,POWER,2.35
1764321245470,CH1,POWER,2.35
1764321245478,CH1,POWER,2.35
1764321245483,CH1,POWER,2.35
1764321245490,CH1,POWER,2.35
1764321245495,CH1,POWER,2.35
1764321245500,CH1,POWER,2.35
1764321245505,CH1,POWER,2.35
1764321245511,CH1,POWER,2.35
1764321245518,CH1,POWER,2.35
1764321245521,CH1,POWER,2.40
1764321245524,CH1,POWER,2.40
1764321245552,CH1,POWER,2.40
1764321245557,CH1,POWER,2.40
1764321245562,CH1,POWER,2.40
1764321245567,CH1,POWER,2.40
1764321245572,CH1,POWER,2.40
1764321245580,CH1,POWER,2.40
1764321245585,CH1,POWER,2.40
1764321245592,CH1,POWER,2.40
1764321245600,CH1,POWER,2.40
1764321245605,CH1,POWER,2.40
1764321245612,CH1,POWER,2.40
1764321245617,CH1,POWER,2.40
1764321245622,CH1,POWER,2.40
1764321245627,CH1,POWER,2.40
1764321245632,CH1,POWER,2.40
1764321245637,CH1,POWER,2.40
1764321245642,CH1,POWER,2.40
1764321245647,CH1,POWER,2.40
1764321245652,CH1,POWER,2.40
1764321245660,CH1,POWER,2.40
1764321245665,CH1,POWER,2.40
1764321245672,CH1,POWER,2.40
1764321245677,CH1,POWER,2.40
1764321245682,CH1,POWER,2.40
1764321245687,CH1,POWER,2.40
1764321245692,CH1,POWER,2.40
1764321245700,CH1,POWER,2.40
1764321245705,CH1,POWER,2.40
1764321245712,CH1,POWER,2.40
1764321245717,CH1,POWER,2.40
1764321245722,CH1,POWER,2.40
1764321245727,CH1,POWER,2.40
1764321245732,CH1,POWER,2.40
1764321245737,CH1,POWER,2.40
1764321245742,CH1,POWER,2.40
1764321245747,CH1,POWER,2.40
1764321245752,CH1,POWER,2.40
1764321245757,CH1,POWER,2.40
1764321245762,CH1,POWER,2.40
1764321245767,CH1,POWER,2.40
1764321245772,CH1,POWER,2.40
1764321245780,CH1,POWER,2.40
1764321245785,CH1,POWER,2.40
1764321245792,CH1,POWER,2.40
1764321245797,CH1,POWER,2.40
1764321245802,CH1,POWER,2.40
1764321245807,CH1,POWER,2.40
1764321245812,CH1,POWER,2.40
1764321245817,CH1,POWER,2.40
1764321245822,CH1,POWER,2.40
1764321245827,CH1,POWER,2.40
1764321245832,CH1,POWER,2.40
1764321245837,CH1,POWER,2.40
1764321245842,CH1,POWER,2.40
1764321245850,CH1,POWER,2.40
1764321245855,CH1,POWER,2.40
1764321245862,CH1,POWER,2.40
1764321245867,CH1,POWER,2.40
1764321245872,CH1,POWER,2.40
1764321245877,CH1,POWER,2.40
1764321245882,CH1,POWER,2.40
1764321245887,CH1,POWER,2.40
1764321245892,CH1,POWER,2.40
1764321245897,CH1,POWER,2.40
1764321245902,CH1,POWER,2.40
1764321245907,CH1,POWER,2.40
1764321245912,CH1,POWER,2.40
1764321245917,CH1,POWER,2.40
1764321245920,CH1,POWER,2.35
1764321245923,CH1,POWER,2.35
1764321245926,CH1,POWER,2.35
1764321245953,CH1,POWER,2.35
1764321245958,CH1,POWER,2.35
1764321245963,CH1,POWER,2.35
1764321245969,CH1,POWER,2.35
1764321245974,CH1,POWER,2.35
1764321245979,CH1,POWER,2.35
1764321245984,CH1,POWER,2.35
1764321245992,CH1,POWER,2.35
1764321245997,CH1,POWER,2.35
1764321246003,CH1,POWER,2.35
1764321246008,CH1,POWER,2.35
1764321246013,CH1,POWER,2.35
1764321246019,CH1,POWER,2.35
1764321246024,CH1,POWER,2.35
1764321246029,CH1,POWER,2.35
1764321246034,CH1,POWER,2.35
1764321246039,CH1,POWER,2.35
1764321246044,CH1,POWER,2.35
1764321246049,CH1,POWER,2.35
1764321246054,CH1,POWER,2.35
1764321246062,CH1,POWER,2.35
1764321246067,CH1,POWER,2.35
1764321246074,CH1,POWER,2.35
1764321246082,CH1,POWER,2.35
1764321246087,CH1,POWER,2.35
1764321246094,CH1,POWER,2.35
1764321246099,CH1,POWER,2.35
1764321246104,CH1,POWER,2.35
1764321246109,CH1,POWER,2.35
1764321246114,CH1,POWER,2.35
1764321246119,CH1,POWER,2.35
1764321246124,CH1,POWER,2.35
1764321246130,CH1,POWER,2.35
1764321246136,CH1,POWER,2.35
1764321246141,CH1,POWER,2.35
1764321246146,CH1,POWER,2.35
1764321246151,CH1,POWER,2.35
1764321246157,CH1,POWER,2.35
1764321246164,CH1,POWER,2.35
1764321246169,CH1,POWER,2.35
1764321246175,CH1,POWER,2.35
1764321246182,CH1,POWER,2.35
1764321246187,CH1,POWER,2.35
1764321246194,CH1,POWER,2.35
1764321246199,CH1,POWER,2.35
1764321246204,CH1,POWER,2.35
1764321246210,CH1,POWER,2.35
1764321246215,CH1,POWER,2.35
1764321246222,CH1,POWER,2.35
1764321246227,CH1,POWER,2.35
1764321246234,CH1,POWER,2.35
1764321246242,CH1,POWER,2.35
1764321246248,CH1,POWER,2.35
1764321246253,CH1,POWER,2.35
1764321246258,CH1,POWER,2.35
1764321246263,CH1,POWER,2.35
1764321246268,CH1,POWER,2.35
1764321246273,CH1,POWER,2.35
1764321246278,CH1,POWER,2.35
1764321246283,CH1,POWER,2.35
1764321246289,CH1,POWER,2.35
1764321246294,CH1,POWER,2.35
1764321246299,CH1,POWER,2.35
1764321246304,CH1,POWER,2.35
1764321246309,CH1,POWER,2.35
1764321246314,CH1,POWER,2.35
1764321246318,CH1,POWER,2.35
1764321246346,CH1,POWER,2.35
1764321246351,CH1,POWER,2.35
1764321246357,CH1,POWER,2.35
1764321246365,CH1,POWER,2.35
1764321246370,CH1,POWER,2.35
1764321246375,CH1,POWER,2.35
1764321246380,CH1,POWER,2.35
1764321246385,CH1,POWER,2.35
1764321246390,CH1,POWER,2.35
1764321246395,CH1,POWER,2.35
1764321246400,CH1,POWER,2.35
1764321246405,CH1,POWER,2.35
1764321246410,CH1,POWER,2.35
1764321246416,CH1,POWER,2.35
1764321246421,CH1,POWER,2.35
1764321246426,CH1,POWER,2.35
1764321246431,CH1,POWER,2.35
1764321246437,CH1,POWER,2.35
1764321246441,CH1,POWER,2.35
1764321246446,CH1,POWER,2.35
1764321246451,CH1,POWER,2.35
1764321246456,CH1,POWER,2.35
1764321246464,CH1,POWER,2.35
1764321246470,CH1,POWER,2.35
1764321246475,CH1,POWER,2.35
1764321246479,CH1,POWER,2.35
1764321246486,CH1,POWER,2.35
1764321246490,CH1,POWER,2.35
1764321246495,CH1,POWER,2.35
1764321246499,CH1,POWER,2.35
1764321246505,CH1,POWER,2.35
1764321246511,CH1,POWER,2.35
1764321246516,CH1,POWER,2.35
1764321246521,CH1,POWER,2.35
1764321246526,CH1,POWER,2.35
1764321246531,CH1,POWER,2.35
1764321246536,CH1,POWER,2.35
1764321246541,CH1,POWER,2.35
1764321246546,CH1,POWER,2.35
1764321246551,CH1,POWER,2.35
1764321246557,CH1,POWER,2.35
1764321246564,CH1,POWER,2.35
1764321246569,CH1,POWER,2.35
1764321246576,CH1,POWER,2.35
1764321246581,CH1,POWER,2.35
1764321246586,CH1,POWER,2.35
1764321246591,CH1,POWER,2.35
1764321246598,CH1,POWER,2.35
1764321246603,CH1,POWER,2.35
1764321246608,CH1,POWER,2.35
1764321246613,CH1,POWER,2.35
1764321246618,CH1,POWER,2.35
1764321246623,CH1,POWER,2.35
1764321246628,CH1,POWER,2.35
1764321246633,CH1,POWER,2.35
1764321246638,CH1,POWER,2.35
1764321246643,CH1,POWER,2.35
1764321246648,CH1,POWER,2.35
1764321246653,CH1,POWER,2.35
1764321246658,CH1,POWER,2.35
1764321246663,CH1,POWER,2.35
1764321246668,CH1,POWER,2.35
1764321246673,CH1,POWER,2.35
1764321246678,CH1,POWER,2.35
1764321246683,CH1,POWER,2.35
1764321246688,CH1,POWER,2.35
1764321246693,CH1,POWER,2.35
1764321246698,CH1,POWER,2.35
1764321246703,CH1,POWER,2.35
1764321246707,CH1,POWER,2.35
1764321246710,CH1,POWER,2.35
1764321246738,CH1,POWER,2.35
1764321246743,CH1,POWER,2.35
1764321246749,CH1,POWER,2.35
1764321246756,CH1,POWER,2.35
1764321246761,CH1,POWER,2.35
1764321246768,CH1,POWER,2.35
1764321246773,CH1,POWER,2.35
1764321246778,CH1,POWER,2.35
1764321246783,CH1,POWER,2.35
1764321246788,CH1,POWER,2.35
1764321246793,CH1,POWER,2.35
1764321246798,CH1,POWER,2.35
1764321246803,CH1,POWER,2.35
1764321246808,CH1,POWER,2.35
1764321246813,CH1,POWER,2.35
1764321246818,CH1,POWER,2.35
1764321246823,CH1,POWER,2.35
1764321246828,CH1,POWER,2.35
1764321246833,CH1,POWER,2.35
1764321246840,CH1,POWER,2.35
1764321246845,CH1,POWER,2.35
1764321246850,CH1,POWER,2.35
1764321246855,CH1,POWER,2.35
1764321246860,CH1,POWER,2.35
1764321246865,CH1,POWER,2.35
1764321246870,CH1,POWER,2.35
1764321246875,CH1,POWER,2.35
1764321246880,CH1,POWER,2.35
1764321246885,CH1,POWER,2.35
1764321246890,CH1,POWER,2.35
1764321246895,CH1,POWER,2.35
1764321246900,CH1,POWER,2.35
1764321246905,CH1,POWER,2.35
1764321246910,CH1,POWER,2.35
1764321246915,CH1,POWER,2.35
1764321246920,CH1,POWER,2.35
1764321246925,CH1,POWER,2.35
1764321246930,CH1,POWER,2.35
1764321246935,CH1,POWER,2.35
1764321246940,CH1,POWER,2.35
1764321246945,CH1,POWER,2.35
1764321246950,CH1,POWER,2.35
1764321246955,CH1,POWER,2.35
1764321246960,CH1,POWER,2.35
1764321246967,CH1,POWER,2.35
1764321246972,CH1,POWER,2.35
1764321246977,CH1,POWER,2.35
1764321246982,CH1,POWER,2.35
1764321246987,CH1,POWER,2.35
1764321246992,CH1,POWER,2.35
1764321246997,CH1,POWER,2.35
1764321247002,CH1,POWER,2.35
1764321247007,CH1,POWER,2.35
1764321247012,CH1,POWER,2.35
1764321247017,CH1,POWER,2.35
1764321247022,CH1,POWER,2.35
1764321247027,CH1,POWER,2.35
1764321247032,CH1,POWER,2.35
1764321247037,CH1,POWER,2.35
1764321247042,CH1,POWER,2.35
1764321247047,CH1,POWER,2.35
1764321247052,CH1,POWER,2.35
1764321247057,CH1,POWER,2.35
1764321247062,CH1,POWER,2.35
1764321247067,CH1,POWER,2.35
1764321247072,CH1,POWER,2.35
1764321247077,CH1,POWER,2.35
1764321247082,CH1,POWER,2.35
1764321247087,CH1,POWER,2.35
1764321247092,CH1,POWER,2.35
1764321247097,CH1,POWER,2.35
1764321247102,CH1,POWER,2.35
1764321247105,CH1,POWER,2.35
1764321247108,CH1,POWER,2.35
1764321247112,CH1,POWER,2.35
1764321247119,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""start,sigmark,0"",""timestamp"":1764321247119}"
1764321247140,CH1,POWER,2.35
1764321247145,CH1,POWER,2.35
1764321247151,CH1,POWER,2.35
1764321247158,CH1,POWER,2.35
1764321247163,CH1,POWER,2.35
1764321247170,CH1,POWER,2.35
1764321247175,CH1,POWER,2.35
1764321247182,CH1,POWER,2.35
1764321247187,CH1,POWER,2.35
1764321247192,CH1,POWER,2.35
1764321247197,CH1,POWER,2.35
1764321247202,CH1,POWER,2.35
1764321247207,CH1,POWER,2.35
1764321247212,CH1,POWER,2.35
1764321247217,CH1,POWER,2.35
1764321247222,CH1,POWER,2.35
1764321247227,CH1,POWER,2.35
1764321247232,CH1,POWER,2.35
1764321247237,CH1,POWER,2.35
1764321247242,CH1,POWER,2.35
1764321247247,CH1,POWER,2.35
1764321247252,CH1,POWER,2.35
1764321247257,CH1,POWER,2.35
1764321247262,CH1,POWER,2.35
1764321247267,CH1,POWER,2.35
1764321247272,CH1,POWER,2.35
1764321247277,CH1,POWER,2.35
1764321247282,CH1,POWER,2.35
1764321247287,CH1,POWER,2.35
1764321247292,CH1,POWER,2.35
1764321247297,CH1,POWER,2.35
1764321247302,CH1,POWER,2.35
1764321247307,CH1,POWER,2.35
1764321247312,CH1,POWER,2.35
1764321247317,CH1,POWER,2.35
1764321247322,CH1,POWER,2.35
1764321247327,CH1,POWER,2.35
1764321247332,CH1,POWER,2.35
1764321247337,CH1,POWER,2.35
1764321247342,CH1,POWER,2.35
1764321247347,CH1,POWER,2.35
1764321247352,CH1,POWER,2.35
1764321247357,CH1,POWER,2.35
1764321247362,CH1,POWER,2.35
1764321247367,CH1,POWER,2.35
1764321247372,CH1,POWER,2.35
1764321247377,CH1,POWER,2.35
1764321247382,CH1,POWER,2.35
1764321247387,CH1,POWER,2.35
1764321247392,CH1,POWER,2.35
1764321247397,CH1,POWER,2.35
1764321247402,CH1,POWER,2.35
1764321247407,CH1,POWER,2.35
1764321247412,CH1,POWER,2.35
1764321247417,CH1,POWER,2.35
1764321247422,CH1,POWER,2.35
1764321247427,CH1,POWER,2.35
1764321247432,CH1,POWER,2.35
1764321247437,CH1,POWER,2.35
1764321247442,CH1,POWER,2.35
1764321247447,CH1,POWER,2.35
1764321247452,CH1,POWER,2.35
1764321247457,CH1,POWER,2.35
1764321247462,CH1,POWER,2.35
1764321247467,CH1,POWER,2.35
1764321247472,CH1,POWER,2.35
1764321247477,CH1,POWER,2.35
1764321247482,CH1,POWER,2.35
1764321247487,CH1,POWER,2.35
1764321247492,CH1,POWER,2.35
1764321247497,CH1,POWER,2.35
1764321247502,CH1,POWER,2.35
1764321247507,CH1,POWER,2.35
1764321247510,CH1,POWER,2.50
1764321247512,CH1,POWER,2.50
1764321247539,CH1,POWER,2.50
1764321247543,CH1,POWER,2.50
1764321247551,CH1,POWER,2.50
1764321247559,CH1,POWER,2.50
1764321247565,CH1,POWER,2.50
1764321247572,CH1,POWER,2.50
1764321247577,CH1,POWER,2.50
1764321247582,CH1,POWER,2.50
1764321247587,CH1,POWER,2.50
1764321247593,CH1,POWER,2.50
1764321247602,CH1,POWER,2.50
1764321247607,CH1,POWER,2.50
1764321247611,CH1,POWER,2.50
1764321247620,CH1,POWER,2.50
1764321247625,CH1,POWER,2.50
1764321247632,CH1,POWER,2.50
1764321247637,CH1,POWER,2.50
1764321247643,CH1,POWER,2.50
1764321247650,CH1,POWER,2.50
1764321247655,CH1,POWER,2.50
1764321247662,CH1,POWER,2.50
1764321247667,CH1,POWER,2.50
1764321247672,CH1,POWER,2.50
1764321247677,CH1,POWER,2.50
1764321247682,CH1,POWER,2.50
1764321247687,CH1,POWER,2.50
1764321247693,CH1,POWER,2.50
1764321247700,CH1,POWER,2.50
1764321247705,CH1,POWER,2.50
1764321247712,CH1,POWER,2.50
1764321247717,CH1,POWER,2.50
1764321247722,CH1,POWER,2.50
1764321247727,CH1,POWER,2.50
1764321247732,CH1,POWER,2.50
1764321247737,CH1,POWER,2.50
1764321247742,CH1,POWER,2.50
1764321247747,CH1,POWER,2.50
1764321247754,CH1,POWER,2.50
1764321247759,CH1,POWER,2.50
1764321247764,CH1,POWER,2.50
1764321247769,CH1,POWER,2.50
1764321247774,CH1,POWER,2.50
1764321247779,CH1,POWER,2.50
1764321247784,CH1,POWER,2.50
1764321247789,CH1,POWER,2.50
1764321247794,CH1,POWER,2.50
1764321247799,CH1,POWER,2.50
1764321247804,CH1,POWER,2.50
1764321247809,CH1,POWER,2.50
1764321247814,CH1,POWER,2.50
1764321247819,CH1,POWER,2.50
1764321247824,CH1,POWER,2.50
1764321247829,CH1,POWER,2.50
1764321247834,CH1,POWER,2.50
1764321247839,CH1,POWER,2.50
1764321247844,CH1,POWER,2.50
1764321247849,CH1,POWER,2.50
1764321247854,CH1,POWER,2.50
1764321247859,CH1,POWER,2.50
1764321247864,CH1,POWER,2.50
1764321247869,CH1,POWER,2.50
1764321247874,CH1,POWER,2.50
1764321247879,CH1,POWER,2.50
1764321247884,CH1,POWER,2.50
1764321247889,CH1,POWER,2.50
1764321247894,CH1,POWER,2.50
1764321247899,CH1,POWER,2.50
1764321247902,CH1,POWER,2.35
1764321247905,CH1,POWER,2.35
1764321247934,CH1,POWER,2.35
1764321247939,CH1,POWER,2.35
1764321247946,CH1,POWER,2.35
1764321247951,CH1,POWER,2.35
1764321247956,CH1,POWER,2.35
1764321247961,CH1,POWER,2.35
1764321247966,CH1,POWER,2.35
1764321247971,CH1,POWER,2.35
1764321247976,CH1,POWER,2.35
1764321247981,CH1,POWER,2.35
1764321247986,CH1,POWER,2.35
1764321247991,CH1,POWER,2.35
1764321247996,CH1,POWER,2.35
1764321248001,CH1,POWER,2.35
1764321248006,CH1,POWER,2.35
1764321248011,CH1,POWER,2.35
1764321248016,CH1,POWER,2.35
1764321248021,CH1,POWER,2.35
1764321248026,CH1,POWER,2.35
1764321248031,CH1,POWER,2.35
1764321248036,CH1,POWER,2.35
1764321248041,CH1,POWER,2.35
1764321248046,CH1,POWER,2.35
1764321248051,CH1,POWER,2.35
1764321248056,CH1,POWER,2.35
1764321248061,CH1,POWER,2.35
1764321248066,CH1,POWER,2.35
1764321248071,CH1,POWER,2.35
1764321248076,CH1,POWER,2.35
1764321248081,CH1,POWER,2.35
1764321248086,CH1,POWER,2.35
1764321248091,CH1,POWER,2.35
1764321248096,CH1,POWER,2.35
1764321248101,CH1,POWER,2.35
1764321248106,CH1,POWER,2.35
1764321248111,CH1,POWER,2.35
1764321248116,CH1,POWER,2.35
1764321248121,CH1,POWER,2.35
1764321248126,CH1,POWER,2.35
1764321248131,CH1,POWER,2.35
1764321248136,CH1,POWER,2.35
1764321248141,CH1,POWER,2.35
1764321248146,CH1,POWER,2.35
1764321248151,CH1,POWER,2.35
1764321248156,CH1,POWER,2.35
1764321248161,CH1,POWER,2.35
1764321248166,CH1,POWER,2.35
1764321248171,CH1,POWER,2.35
1764321248176,CH1,POWER,2.35
1764321248181,CH1,POWER,2.35
1764321248186,CH1,POWER,2.35
1764321248191,CH1,POWER,2.35
1764321248196,CH1,POWER,2.35
1764321248201,CH1,POWER,2.35
1764321248206,CH1,POWER,2.35
1764321248211,CH1,POWER,2.35
1764321248216,CH1,POWER,2.35
1764321248221,CH1,POWER,2.35
1764321248226,CH1,POWER,2.35
1764321248231,CH1,POWER,2.35
1764321248236,CH1,POWER,2.35
1764321248241,CH1,POWER,2.35
1764321248246,CH1,POWER,2.35
1764321248251,CH1,POWER,2.35
1764321248256,CH1,POWER,2.35
1764321248261,CH1,POWER,2.35
1764321248266,CH1,POWER,2.35
1764321248271,CH1,POWER,2.35
1764321248276,CH1,POWER,2.35
1764321248281,CH1,POWER,2.35
1764321248286,CH1,POWER,2.35
1764321248291,CH1,POWER,2.35
1764321248296,CH1,POWER,2.35
1764321248301,CH1,POWER,2.35
1764321248305,CH1,POWER,2.35
1764321248308,CH1,POWER,2.35
1764321248336,CH1,POWER,2.35
1764321248341,CH1,POWER,2.35
1764321248348,CH1,POWER,2.35
1764321248353,CH1,POWER,2.35
1764321248358,CH1,POWER,2.35
1764321248363,CH1,POWER,2.35
1764321248368,CH1,POWER,2.35
1764321248373,CH1,POWER,2.35
1764321248378,CH1,POWER,2.35
1764321248383,CH1,POWER,2.35
1764321248388,CH1,POWER,2.35
1764321248393,CH1,POWER,2.35
1764321248398,CH1,POWER,2.35
1764321248403,CH1,POWER,2.35
1764321248408,CH1,POWER,2.35
1764321248413,CH1,POWER,2.35
1764321248418,CH1,POWER,2.35
1764321248423,CH1,POWER,2.35
1764321248428,CH1,POWER,2.35
1764321248433,CH1,POWER,2.35
1764321248438,CH1,POWER,2.35
1764321248443,CH1,POWER,2.35
1764321248448,CH1,POWER,2.35
1764321248453,CH1,POWER,2.35
1764321248458,CH1,POWER,2.35
1764321248463,CH1,POWER,2.35
1764321248468,CH1,POWER,2.35
1764321248473,CH1,POWER,2.35
1764321248478,CH1,POWER,2.35
1764321248483,CH1,POWER,2.35
1764321248488,CH1,POWER,2.35
1764321248493,CH1,POWER,2.35
1764321248498,CH1,POWER,2.35
1764321248503,CH1,POWER,2.35
1764321248508,CH1,POWER,2.35
1764321248513,CH1,POWER,2.35
1764321248518,CH1,POWER,2.35
1764321248523,CH1,POWER,2.35
1764321248528,CH1,POWER,2.35
1764321248533,CH1,POWER,2.35
1764321248538,CH1,POWER,2.35
1764321248543,CH1,POWER,2.35
