Timestamp (ISO ms),Voltage (V),Current (A),Power (W),dt (s),Energy So Far (J)
2025-09-16T12:00:37.073,0.748644,0.625100,0.467977,0.000000,0.000000
2025-09-16T12:00:37.173,0.874627,0.884070,0.773231,0.099939,0.077276
2025-09-16T12:00:37.273,0.764224,0.669750,0.511839,0.099994,0.128457
2025-09-16T12:00:37.372,0.748913,0.625100,0.468145,0.099999,0.175271
2025-09-16T12:00:37.472,0.749450,0.634030,0.475174,0.099999,0.222788
2025-09-16T12:00:37.573,0.749987,0.634030,0.475514,0.099999,0.270338
2025-09-16T12:00:37.673,0.873552,0.821560,0.717676,0.100003,0.342108
2025-09-16T12:00:37.772,0.748644,0.625100,0.467977,0.100004,0.388908
2025-09-16T12:00:37.872,0.748913,0.625100,0.468145,0.099993,0.435719
2025-09-16T12:00:37.972,0.749181,0.625100,0.468313,0.099999,0.482550
2025-09-16T12:00:38.072,0.749987,0.634030,0.475514,0.100000,0.530102
2025-09-16T12:00:38.172,0.748913,0.625100,0.468145,0.100000,0.576916
2025-09-16T12:00:38.273,0.873821,0.821560,0.717896,0.100002,0.648707
2025-09-16T12:00:38.372,0.748375,0.625100,0.467809,0.099998,0.695487
2025-09-16T12:00:38.472,0.748913,0.625100,0.468145,0.100000,0.742302
2025-09-16T12:00:38.572,0.749718,0.634030,0.475344,0.100000,0.789836
2025-09-16T12:00:38.673,0.749718,0.625100,0.468649,0.100000,0.836701
2025-09-16T12:00:38.772,0.748644,0.625100,0.467977,0.100000,0.883498
2025-09-16T12:00:38.872,0.748913,0.625100,0.468145,0.100001,0.930313
2025-09-16T12:00:38.973,0.874627,0.821560,0.718558,0.100002,1.002171
2025-09-16T12:00:39.072,0.748913,0.625100,0.468145,0.099998,1.048984
2025-09-16T12:00:39.172,0.748913,0.625100,0.468145,0.100003,1.095800
2025-09-16T12:00:39.272,0.749181,0.625100,0.468313,0.099999,1.142631
2025-09-16T12:00:39.372,0.748644,0.625100,0.467977,0.099996,1.189427
2025-09-16T12:00:39.472,0.749450,0.625100,0.468481,0.100001,1.236276
2025-09-16T12:00:39.572,0.748913,0.625100,0.468145,0.099999,1.283090
2025-09-16T12:00:39.674,0.874089,0.821560,0.718117,0.100001,1.354903
2025-09-16T12:00:39.772,0.748644,0.634030,0.474663,0.100000,1.402369
2025-09-16T12:00:39.872,0.752136,0.625100,0.470160,0.099998,1.449384
2025-09-16T12:00:39.972,0.749181,0.634030,0.475003,0.100000,1.496885
2025-09-16T12:00:40.072,0.748375,0.625100,0.467809,0.100000,1.543666
2025-09-16T12:00:40.172,0.749181,0.634030,0.475003,0.100001,1.591167
2025-09-16T12:00:40.272,0.749450,0.625100,0.468481,0.099999,1.638014
2025-09-16T12:00:40.373,0.874358,0.821560,0.718338,0.100001,1.709849
2025-09-16T12:00:40.472,0.748913,0.625100,0.468145,0.100000,1.756664
2025-09-16T12:00:40.572,0.748644,0.625100,0.467977,0.099998,1.803460
2025-09-16T12:00:40.672,0.748644,0.625100,0.467977,0.100000,1.850258
2025-09-16T12:00:40.773,0.748644,0.625100,0.467977,0.100000,1.897056
2025-09-16T12:00:40.872,0.748913,0.625100,0.468145,0.100000,1.943870
2025-09-16T12:00:40.972,0.749450,0.625100,0.468481,0.100001,1.990719
2025-09-16T12:00:41.073,0.874627,0.812630,0.710748,0.100002,2.061795
2025-09-16T12:00:41.172,0.748913,0.625100,0.468145,0.100003,2.108611
2025-09-16T12:00:41.272,0.749181,0.625100,0.468313,0.099995,2.155440
2025-09-16T12:00:41.372,0.749181,0.634030,0.475003,0.100001,2.202940
2025-09-16T12:00:41.472,0.749718,0.625100,0.468649,0.099999,2.249805
2025-09-16T12:00:41.572,0.748644,0.625100,0.467977,0.100000,2.296603
2025-09-16T12:00:41.672,0.748913,0.625100,0.468145,0.100000,2.343417
2025-09-16T12:00:41.773,0.873552,0.821560,0.717676,0.100003,2.415187
2025-09-16T12:00:41.872,0.749450,0.625100,0.468481,0.099998,2.462034
2025-09-16T12:00:41.972,0.748913,0.625100,0.468145,0.100000,2.508848
2025-09-16T12:00:42.072,0.748644,0.634030,0.474663,0.099999,2.556314
2025-09-16T12:00:42.172,0.749181,0.625100,0.468313,0.100000,2.603145
2025-09-16T12:00:42.272,0.749450,0.625100,0.468481,0.100000,2.649994
2025-09-16T12:00:42.372,0.749450,0.625100,0.468481,0.100000,2.696842
2025-09-16T12:00:42.472,0.873821,0.821560,0.717896,0.100002,2.768633
2025-09-16T12:00:42.572,0.749181,0.625100,0.468313,0.100005,2.815467
2025-09-16T12:00:42.672,0.748644,0.625100,0.467977,0.099995,2.862262
2025-09-16T12:00:42.772,0.748375,0.625100,0.467809,0.099997,2.909042
2025-09-16T12:00:42.873,0.749181,0.634030,0.475003,0.100000,2.956542
2025-09-16T12:00:42.972,0.749181,0.625100,0.468313,0.100001,3.003374
2025-09-16T12:00:43.073,0.874089,0.812630,0.710311,0.100002,3.074407
2025-09-16T12:00:43.172,0.874627,0.821560,0.718558,0.099998,3.146261
2025-09-16T12:00:43.272,0.748913,0.625100,0.468145,0.100000,3.193076
2025-09-16T12:00:43.372,0.748644,0.634030,0.474663,0.099999,3.240542
2025-09-16T12:00:43.472,0.749450,0.625100,0.468481,0.100000,3.287390
2025-09-16T12:00:43.572,0.749181,0.625100,0.468313,0.100000,3.334221
2025-09-16T12:00:43.672,0.748913,0.625100,0.468145,0.100001,3.381036
2025-09-16T12:00:43.773,0.874627,0.812630,0.710748,0.100000,3.452110
2025-09-16T12:00:43.873,0.749181,0.705470,0.528525,0.099999,3.504963
2025-09-16T12:00:43.972,0.748644,0.625100,0.467977,0.100001,3.551761
2025-09-16T12:00:44.072,0.749181,0.634030,0.475003,0.099999,3.599261
2025-09-16T12:00:44.172,0.748644,0.625100,0.467977,0.100001,3.646059
2025-09-16T12:00:44.272,0.749450,0.625100,0.468481,0.099999,3.692907
2025-09-16T12:00:44.372,0.748375,0.625100,0.467809,0.099999,3.739688
2025-09-16T12:00:44.473,0.874627,0.821560,0.718558,0.100002,3.811545
2025-09-16T12:00:44.572,0.748375,0.625100,0.467809,0.099998,3.858325
2025-09-16T12:00:44.672,0.748913,0.625100,0.468145,0.099999,3.905139
2025-09-16T12:00:44.772,0.749450,0.625100,0.468481,0.100000,3.951988
2025-09-16T12:00:44.872,0.748644,0.625100,0.467977,0.100000,3.998785
2025-09-16T12:00:44.973,0.749181,0.625100,0.468313,0.100000,4.045616
2025-09-16T12:00:45.072,0.748644,0.625100,0.467977,0.100001,4.092414
2025-09-16T12:00:45.173,0.873821,0.812630,0.710093,0.100002,4.163425
2025-09-16T12:00:45.272,0.748913,0.660820,0.494896,0.099999,4.212914
2025-09-16T12:00:45.372,0.748913,0.625100,0.468145,0.099999,4.259728
2025-09-16T12:00:45.472,0.747569,0.616170,0.460630,0.100000,4.305791
2025-09-16T12:00:45.572,0.748913,0.625100,0.468145,0.100000,4.352606
2025-09-16T12:00:45.672,0.749181,0.625100,0.468313,0.100000,4.399437
2025-09-16T12:00:45.772,0.748375,0.625100,0.467809,0.100000,4.446218
2025-09-16T12:00:45.873,0.874089,0.812630,0.710311,0.100003,4.517251
2025-09-16T12:00:45.973,0.748913,0.625100,0.468145,0.099999,4.564065
2025-09-16T12:00:46.072,0.749181,0.625100,0.468313,0.099999,4.610896
2025-09-16T12:00:46.172,0.794041,0.732260,0.581444,0.099999,4.669040
2025-09-16T12:00:46.272,0.748913,0.625100,0.468145,0.100001,4.715855
2025-09-16T12:00:46.372,0.749450,0.625100,0.468481,0.100000,4.762703
2025-09-16T12:00:46.472,0.749181,0.625100,0.468313,0.100001,4.809534
2025-09-16T12:00:46.573,0.874089,0.812630,0.710311,0.100001,4.880567
2025-09-16T12:00:46.672,0.749181,0.625100,0.468313,0.099998,4.927397
2025-09-16T12:00:46.772,0.749181,0.625100,0.468313,0.100002,4.974229
2025-09-16T12:00:46.872,0.749181,0.625100,0.468313,0.099997,5.021059
2025-09-16T12:00:46.972,0.749450,0.625100,0.468481,0.100000,5.067907
2025-09-16T12:00:47.073,0.748913,0.625100,0.468145,0.100000,5.114722
2025-09-16T12:00:47.172,0.748913,0.625100,0.468145,0.100000,5.161537
2025-09-16T12:00:47.272,0.874089,0.821560,0.718117,0.100002,5.233350
2025-09-16T12:00:47.372,0.748913,0.625100,0.468145,0.099999,5.280164
2025-09-16T12:00:47.472,0.749181,0.616170,0.461623,0.099999,5.326326
2025-09-16T12:00:47.572,0.749181,0.625100,0.468313,0.100000,5.373157
2025-09-16T12:00:47.672,0.749450,0.616170,0.461788,0.100000,5.419336
2025-09-16T12:00:47.772,0.748913,0.625100,0.468145,0.100000,5.466150
2025-09-16T12:00:47.875,0.874089,0.812630,0.710311,0.100002,5.537182
2025-09-16T12:00:47.972,0.874089,0.812630,0.710311,0.099999,5.608213
2025-09-16T12:00:48.073,0.749450,0.625100,0.468481,0.100000,5.655061
2025-09-16T12:00:48.172,0.749181,0.625100,0.468313,0.100000,5.701893
2025-09-16T12:00:48.272,0.748107,0.625100,0.467641,0.100000,5.748657
2025-09-16T12:00:48.372,0.748375,0.625100,0.467809,0.100000,5.795438
2025-09-16T12:00:48.472,0.748913,0.625100,0.468145,0.099999,5.842252
2025-09-16T12:00:48.573,0.874089,0.812630,0.710311,0.100002,5.913284
2025-09-16T12:00:48.673,0.874627,0.848350,0.741990,0.100012,5.987492
2025-09-16T12:00:48.772,0.748644,0.625100,0.467977,0.099989,6.034285
2025-09-16T12:00:48.872,0.749450,0.625100,0.468481,0.099997,6.081132
2025-09-16T12:00:48.972,0.748644,0.625100,0.467977,0.100001,6.127930
2025-09-16T12:00:49.072,0.748913,0.625100,0.468145,0.099999,6.174744
2025-09-16T12:00:49.173,0.749181,0.625100,0.468313,0.100001,6.221576
2025-09-16T12:00:49.273,0.873821,0.812630,0.710093,0.100000,6.292585
2025-09-16T12:00:49.372,0.748913,0.625100,0.468145,0.099999,6.339399
2025-09-16T12:00:49.472,0.748644,0.625100,0.467977,0.100001,6.386197
2025-09-16T12:00:49.572,0.748644,0.625100,0.467977,0.099999,6.432995
2025-09-16T12:00:49.672,0.748913,0.625100,0.468145,0.099999,6.479809
2025-09-16T12:00:49.772,0.749181,0.625100,0.468313,0.100000,6.526640
2025-09-16T12:00:49.872,0.749450,0.625100,0.468481,0.100000,6.573488
2025-09-16T12:00:49.973,0.874358,0.821560,0.718338,0.100002,6.645323
2025-09-16T12:00:50.072,0.749987,0.625100,0.468817,0.099999,6.692205
2025-09-16T12:00:50.172,0.749181,0.625100,0.468313,0.100000,6.739036
2025-09-16T12:00:50.273,0.749450,0.625100,0.468481,0.100001,6.785885
2025-09-16T12:00:50.372,0.749181,0.616170,0.461623,0.100000,6.832047
2025-09-16T12:00:50.472,0.752136,0.616170,0.463444,0.100000,6.878392
2025-09-16T12:00:50.572,0.749181,0.625100,0.468313,0.100000,6.925223
2025-09-16T12:00:50.673,0.873821,0.812630,0.710093,0.100008,6.996238
2025-09-16T12:00:50.772,0.749181,0.616170,0.461623,0.099993,7.042397
2025-09-16T12:00:50.872,0.748644,0.625100,0.467977,0.099996,7.089193
2025-09-16T12:00:50.972,0.748913,0.625100,0.468145,0.100000,7.136007
2025-09-16T12:00:51.072,0.748913,0.625100,0.468145,0.100001,7.182822
2025-09-16T12:00:51.172,0.748913,0.616170,0.461457,0.100000,7.228968
2025-09-16T12:00:51.272,0.747569,0.625100,0.467306,0.100000,7.275699
2025-09-16T12:00:51.373,0.874089,0.821560,0.718117,0.100003,7.347512
2025-09-16T12:00:51.472,0.748644,0.625100,0.467977,0.100000,7.394310
2025-09-16T12:00:51.572,0.748644,0.625100,0.467977,0.099997,7.441106
2025-09-16T12:00:51.672,0.749181,0.625100,0.468313,0.100000,7.487938
2025-09-16T12:00:51.772,0.748913,0.625100,0.468145,0.100000,7.534752
2025-09-16T12:00:51.872,0.749987,0.616170,0.462119,0.100000,7.580964
2025-09-16T12:00:51.972,0.749450,0.616170,0.461788,0.100000,7.627143
2025-09-16T12:00:52.073,0.874089,0.821560,0.718117,0.100002,7.698956
2025-09-16T12:00:52.172,0.749181,0.625100,0.468313,0.099999,7.745787
2025-09-16T12:00:52.272,0.749181,0.616170,0.461623,0.099998,7.791949
2025-09-16T12:00:52.373,0.748375,0.625100,0.467809,0.100000,7.838729
2025-09-16T12:00:52.472,0.748644,0.625100,0.467977,0.100002,7.885528
2025-09-16T12:00:52.572,0.748913,0.616170,0.461457,0.099999,7.931673
2025-09-16T12:00:52.672,0.747569,0.625100,0.467306,0.100000,7.978404
2025-09-16T12:00:52.772,0.874089,0.812630,0.710311,0.100002,8.049437
2025-09-16T12:00:52.872,0.749987,0.625100,0.468817,0.099998,8.096318
2025-09-16T12:00:52.972,0.747569,0.625100,0.467306,0.099999,8.143048
2025-09-16T12:00:53.072,0.748644,0.625100,0.467977,0.100000,8.189845
2025-09-16T12:00:53.172,0.748644,0.625100,0.467977,0.100000,8.236643
2025-09-16T12:00:53.272,0.748913,0.625100,0.468145,0.100000,8.283458
2025-09-16T12:00:53.374,0.874089,0.803700,0.702506,0.100002,8.353710
2025-09-16T12:00:53.476,0.748644,0.625100,0.467977,0.099999,8.400507
2025-09-16T12:00:53.572,0.749181,0.625100,0.468313,0.099999,8.447338
2025-09-16T12:00:53.672,0.748913,0.625100,0.468145,0.100002,8.494153
2025-09-16T12:00:53.772,0.749450,0.616170,0.461788,0.099997,8.540331
2025-09-16T12:00:53.872,0.748913,0.616170,0.461457,0.100000,8.586477
2025-09-16T12:00:53.972,0.748913,0.625100,0.468145,0.100001,8.633291
2025-09-16T12:00:54.073,0.874089,0.821560,0.718117,0.100001,8.705104
2025-09-16T12:00:54.172,0.748644,0.625100,0.467977,0.100000,8.751902
2025-09-16T12:00:54.272,0.748913,0.625100,0.468145,0.100000,8.798716
2025-09-16T12:00:54.372,0.749181,0.625100,0.468313,0.099999,8.845547
2025-09-16T12:00:54.473,0.748644,0.625100,0.467977,0.100003,8.892346
2025-09-16T12:00:54.572,0.748644,0.625100,0.467977,0.099998,8.939143
2025-09-16T12:00:54.672,0.748913,0.616170,0.461457,0.100000,8.985288
2025-09-16T12:00:54.773,0.874089,0.812630,0.710311,0.100001,9.056320
2025-09-16T12:00:54.872,0.747569,0.625100,0.467306,0.099999,9.103050
2025-09-16T12:00:54.973,0.748913,0.625100,0.468145,0.100012,9.149871
2025-09-16T12:00:55.073,0.764493,0.660820,0.505192,0.099990,9.200385
2025-09-16T12:00:55.172,0.749450,0.616170,0.461788,0.100000,9.246563
2025-09-16T12:00:55.272,0.749450,0.625100,0.468481,0.100002,9.293413
2025-09-16T12:00:55.372,0.749181,0.625100,0.468313,0.099996,9.340242
2025-09-16T12:00:55.474,0.874089,0.812630,0.710311,0.100005,9.411277
2025-09-16T12:00:55.572,0.747569,0.625100,0.467306,0.099994,9.458005
2025-09-16T12:00:55.672,0.747569,0.634030,0.473981,0.100001,9.505404
2025-09-16T12:00:55.772,0.748913,0.625100,0.468145,0.099999,9.552218
2025-09-16T12:00:55.872,0.749987,0.616170,0.462119,0.100000,9.598429
2025-09-16T12:00:55.972,0.748913,0.616170,0.461457,0.100001,9.644576
2025-09-16T12:00:56.072,0.748913,0.625100,0.468145,0.099998,9.691389
2025-09-16T12:00:56.173,0.873552,0.821560,0.717676,0.100003,9.763159
2025-09-16T12:00:56.272,0.748644,0.616170,0.461292,0.099998,9.809288
2025-09-16T12:00:56.372,0.748913,0.625100,0.468145,0.099999,9.856102
