Timestamp (ISO ms),Voltage (V),Current (A),Power (W),dt (s),Energy So Far (J),cpuload,,
2025-09-16T11:03:38.131,0.749181,0.52687,0.394721,0,0,-1,"start 0, 20s",
2025-09-16T11:03:38.229,0.808815,0.66082,0.534481,0.099945,0.053419,-1,0,
2025-09-16T11:03:38.333,0.74945,0.52687,0.394863,0.099999,0.092904,-1,0,
2025-09-16T11:03:38.431,0.748644,0.52687,0.394438,0.100001,0.132349,-1,0,
2025-09-16T11:03:38.530,0.752136,0.52687,0.396278,0.099999,0.171976,-1,0,
2025-09-16T11:03:38.630,0.748107,0.52687,0.394155,0.099998,0.211391,-1,0,
2025-09-16T11:03:38.729,0.74945,0.5358,0.401555,0.1,0.251546,-1,0,
2025-09-16T11:03:38.830,0.74945,0.51794,0.38817,0.100007,0.290366,-1,0,
2025-09-16T11:03:38.929,0.748107,0.51794,0.387474,0.099993,0.329111,-1,0,
2025-09-16T11:03:39.029,0.748913,0.52687,0.39458,0.100001,0.368569,-1,0,
2025-09-16T11:03:39.129,0.748913,0.52687,0.39458,0.099999,0.408027,-1,0,
2025-09-16T11:03:39.229,0.749181,0.52687,0.394721,0.1,0.447499,-1,0,
2025-09-16T11:03:39.329,0.749181,0.52687,0.394721,0.099999,0.48697,-1,0,
2025-09-16T11:03:39.429,0.74945,0.52687,0.394863,0.1,0.526457,-1,0,
2025-09-16T11:03:39.530,0.748913,0.51794,0.387892,0.1,0.565246,-1,0,
2025-09-16T11:03:39.629,0.749987,0.52687,0.395146,0.1,0.60476,-1,0,
2025-09-16T11:03:39.729,0.74945,0.52687,0.394863,0.1,0.644247,-1,0,
2025-09-16T11:03:39.829,0.748913,0.52687,0.39458,0.1,0.683705,-1,0,
2025-09-16T11:03:39.929,0.74945,0.51794,0.38817,0.1,0.722522,-1,0,
2025-09-16T11:03:40.029,0.749718,0.5358,0.401699,0.100001,0.762692,-1,0,
2025-09-16T11:03:40.129,0.74945,0.52687,0.394863,0.099999,0.802178,-1,0,
2025-09-16T11:03:40.229,0.749718,0.52687,0.395004,0.1,0.841678,-1,0,
2025-09-16T11:03:40.329,0.74945,0.51794,0.38817,0.099999,0.880495,-1,0,
2025-09-16T11:03:40.429,0.74945,0.52687,0.394863,0.1,0.919982,-1,0,
2025-09-16T11:03:40.529,0.748644,0.5358,0.401123,0.1,0.960094,-1,0,
2025-09-16T11:03:40.630,0.748644,0.52687,0.394438,0.100001,0.999538,-1,0,
2025-09-16T11:03:40.729,0.74945,0.52687,0.394863,0.1,1.039024,-1,0,
2025-09-16T11:03:40.829,0.74945,0.52687,0.394863,0.1,1.07851,-1,0,
2025-09-16T11:03:40.929,0.749987,0.5358,0.401843,0.100003,1.118696,-1,0,
2025-09-16T11:03:41.029,0.749181,0.52687,0.394721,0.099998,1.158167,-1,0,
2025-09-16T11:03:41.129,0.749181,0.52687,0.394721,0.099999,1.197639,-1,0,
2025-09-16T11:03:41.229,0.74945,0.52687,0.394863,0.1,1.237125,-1,0,
2025-09-16T11:03:41.329,0.748913,0.52687,0.39458,0.099999,1.276583,-1,0,
2025-09-16T11:03:41.429,0.748644,0.52687,0.394438,0.1,1.316027,-1,0,
2025-09-16T11:03:41.529,0.749718,0.51794,0.388309,0.100001,1.354858,-1,0,
2025-09-16T11:03:41.630,0.749987,0.52687,0.395146,0.1,1.394372,-1,0,
