dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power;cpuload
1758017444,3150;5;0,52;2,6;0;0;0;
1758017444,6160;5;0,52;2,6;0;0;0;
1758017444,9180;5;0,52;2,6;0;0;0;
1758017445,2180;5;0,52;2,6;0;0;0;
1758017445,5170;5;0,55;2,75;0;0;0;
1758017445,8160;5;0,55;2,75;0;0;0;
1758017446,1240;5;0,52;2,6;0;0;0;
1758017446,4170;5;0,52;2,6;0;0;0;
1758017446,7180;5;0,52;2,6;0;0;0;
1758017447,0210;5;0,55;2,75;0;0;0;
1758017447,3230;5;0,52;2,6;0;0;0;
1758017447,6140;5;0,52;2,6;0;0;0;0
1758017447,9080;5;0,52;2,6;0;0;0;-1
1758017448,2140;5;0,52;2,6;0;0;0;-1
1758017448,5190;5;0,52;2,6;0;0;0;-1
1758017448,8200;5;0,52;2,6;0;0;0;-1
1758017449,1190;5;0,67;3,35;0;0;0;-1
1758017449,4170;5;0,52;2,6;0;0;0;-1
1758017449,7190;5;0,52;2,6;0;0;0;-1
1758017450,0360;5;0,52;2,6;0;0;0;-1
1758017450,3220;5;0,52;2,6;0;0;0;-1
1758017450,6180;5;0,52;2,6;0;0;0;-1
1758017450,9220;5;0,52;2,6;0;0;0;-1
1758017451,2230;5;0,52;2,6;0;0;0;-1
1758017451,5250;5;0,52;2,6;0;0;0;-1
1758017451,8160;5;0,52;2,6;0;0;0;-1
1758017452,1200;5;0,52;2,6;0;0;0;-1
1758017452,4230;5;0,52;2,6;0;0;0;-1
1758017452,7200;5;0,52;2,6;0;0;0;-1
1758017453,0250;5;0,52;2,6;0;0;0;-1
1758017453,3160;5;0,52;2,6;0;0;0;-1
1758017453,6170;5;0,53;2,65;0;0;0;-1
1758017453,9230;5;0,52;2,6;0;0;0;-1
1758017454,2170;5;0,52;2,6;0;0;0;-1
1758017454,5340;5;0,52;2,6;0;0;0;-1
1758017454,8180;5;0,52;2,6;0;0;0;-1
1758017455,1200;5;0,55;2,75;0;0;0;-1
1758017455,4180;5;0,52;2,6;0;0;0;-1
1758017455,7240;5;0,55;2,75;0;0;0;-1
1758017456,0230;5;0,52;2,6;0;0;0;-1
1758017456,3180;5;0,55;2,75;0;0;0;-1
1758017456,6310;5;0,52;2,6;0;0;0;-1
1758017456,9180;5;0,52;2,6;0;0;0;-1
1758017457,2220;5;0,55;2,75;0;0;0;-1
1758017457,5230;5;0,52;2,6;0;0;0;-1
1758017457,8220;5;0,55;2,75;0;0;0;-1
1758017458,1190;5;0,6;3;0;0;0;-1
1758017458,4260;5;0,56;2,8;0;0;0;-1
1758017458,7220;5;0,52;2,6;0;0;0;-1
1758017459,0200;5;0,52;2,6;0;0;0;-1
1758017459,3250;5;0,55;2,75;0;0;0;-1
1758017459,6210;5;0,52;2,6;0;0;0;-1
1758017459,9230;5;0,57;2,85;0;0;0;-1
1758017460,2220;5;0,52;2,6;0;0;0;-1
1758017460,5270;5;0,61;3,05;0;0;0;-1
1758017460,8280;5;0,52;2,6;0;0;0;-1
1758017461,1400;5;0,57;2,85;0;0;0;-1
1758017461,4180;5;0,57;2,85;0;0;0;-1
1758017461,7180;5;0,52;2,6;0;0;0;-1
1758017462,0260;5;0,57;2,85;0;0;0;-1
1758017462,3230;5;0,52;2,6;0;0;0;-1
1758017462,6220;5;0,57;2,85;0;0;0;-1
1758017462,9230;5;0,52;2,6;0;0;0;-1
1758017463,2210;5;0,57;2,85;0;0;0;-1
1758017463,5200;5;0,57;2,85;0;0;0;-1
1758017463,8160;5;0,52;2,6;0;0;0;-1
1758017464,1260;5;0,56;2,8;0;0;0;-1
1758017464,4210;5;0,52;2,6;0;0;0;-1
1758017464,7210;5;0,57;2,85;0;0;0;-1
1758017465,0230;5;0,52;2,6;0;0;0;-1
1758017465,3190;5;0,55;2,75;0;0;0;-1
1758017465,6080;5;0,55;2,75;0;0;0;-1
1758017465,9190;5;0,52;2,6;0;0;0;-1
1758017466,2180;5;0,55;2,75;0;0;0;-1
1758017466,5220;5;0,52;2,6;0;0;0;-1
1758017466,8180;5;0,55;2,75;0;0;0;-1
1758017467,1230;5;0,52;2,6;0;0;0;-1
1758017467,4210;5;0,55;2,75;0;0;0;
1758017467,7310;5;0,51;2,55;0;0;0;0
1758017468,0180;5;0,51;2,55;0;0;0;0
1758017468,3200;5;0,55;2,75;0;0;0;0
1758017468,6200;5;0,52;2,6;0;0;0;0
1758017468,9230;5;0,54;2,7;0;0;0;0
1758017469,2250;5;0,51;2,55;0;0;0;0
1758017469,5200;5;0,55;2,75;0;0;0;0
1758017469,8220;5;0,52;2,6;0;0;0;0
1758017470,1390;5;0,52;2,6;0;0;0;0
1758017470,4260;5;0,55;2,75;0;0;0;0
1758017470,7180;5;0,52;2,6;0;0;0;0
1758017471,0190;5;0,52;2,6;0;0;0;0
1758017471,3180;5;0,52;2,6;0;0;0;0
1758017471,6250;5;0,52;2,6;0;0;0;0
1758017471,9200;5;0,52;2,6;0;0;0;0
1758017472,2450;5;0,52;2,6;0;0;0;0
1758017472,5200;5;0,52;2,6;0;0;0;0
1758017472,8250;5;0,52;2,6;0;0;0;0
1758017473,1180;5;0,52;2,6;0;0;0;0
1758017473,4190;5;0,52;2,6;0;0;0;0
1758017473,7210;5;0,52;2,6;0;0;0;0
1758017474,0240;5;0,52;2,6;0;0;0;0
1758017474,3240;5;0,55;2,75;0;0;0;0
1758017474,6190;5;0,55;2,75;0;0;0;0
1758017474,9230;5;0,52;2,6;0;0;0;0
1758017475,2180;5;0,51;2,55;0;0;0;0
1758017475,5220;5;0,52;2,6;0;0;0;0
1758017475,8200;5;0,52;2,6;0;0;0;0
1758017476,1160;5;0,52;2,6;0;0;0;0
1758017476,4210;5;0,52;2,6;0;0;0;0
1758017476,7180;5;0,52;2,6;0;0;0;0
1758017477,0200;5;0,52;2,6;0;0;0;0
1758017477,3200;5;0,51;2,55;0;0;0;0
1758017477,6230;5;0,52;2,6;0;0;0;0
1758017477,9250;5;0,52;2,6;0;0;0;0
1758017478,2190;5;0,52;2,6;0;0;0;0
1758017478,5240;5;0,52;2,6;0;0;0;0
1758017478,8390;5;0,52;2,6;0;0;0;0
1758017479,1200;5;0,52;2,6;0;0;0;0
1758017479,4210;5;0,52;2,6;0;0;0;0
1758017479,7220;5;0,52;2,6;0;0;0;0
1758017480,0220;5;0,52;2,6;0;0;0;0
1758017480,3180;5;0,52;2,6;0;0;0;0
1758017480,6180;5;0,52;2,6;0;0;0;0
1758017480,9430;5;0,52;2,6;0;0;0;0
1758017481,2200;5;0,52;2,6;0;0;0;0
1758017481,5240;5;0,53;2,65;0;0;0;0
1758017481,8250;5;0,52;2,6;0;0;0;0
1758017482,1250;5;0,52;2,6;0;0;0;0
1758017482,4220;5;0,52;2,6;0;0;0;0
1758017482,7180;5;0,52;2,6;0;0;0;0
1758017483,0230;5;0,52;2,6;0;0;0;0
1758017483,3200;5;0,52;2,6;0;0;0;0
1758017483,6220;5;0,52;2,6;0;0;0;0
1758017483,9260;5;0,57;2,85;0;0;0;0
1758017484,2170;5;0,52;2,6;0;0;0;0
1758017484,5210;5;0,54;2,7;0;0;0;0
1758017484,8230;5;0,52;2,6;0;0;0;0
1758017485,1200;5;0,55;2,75;0;0;0;0
1758017485,4210;5;0,55;2,75;0;0;0;0
1758017485,7250;5;0,52;2,6;0;0;0;0
1758017486,0220;5;0,55;2,75;0;0;0;0
1758017486,3230;5;0,52;2,6;0;0;0;0
1758017486,6230;5;0,55;2,75;0;0;0;0
1758017486,9250;5;0,52;2,6;0;0;0;0
1758017487,2240;5;0,55;2,75;0;0;0;0
1758017487,5390;5;0,51;2,55;0;0;0;0
1758017487,8160;5;0,51;2,55;0;0;0;0
1758017488,1220;5;0,56;2,8;0;0;0;0
1758017488,4150;5;0,51;2,55;0;0;0;0
1758017488,7180;5;0,57;2,85;0;0;0;0
1758017489,0180;5;0,51;2,55;0;0;0;0
1758017489,3190;5;0,56;2,8;0;0;0;0
1758017489,6240;5;0,51;2,55;0;0;0;0
1758017489,9220;5;0,51;2,55;0;0;0;0
1758017490,2290;5;0,56;2,8;0;0;0;0
1758017490,5180;5;0,52;2,6;0;0;0;0
1758017490,8220;5;0,58;2,9;0;0;0;0
1758017491,1200;5;0,51;2,55;0;0;0;0
1758017491,4220;5;0,57;2,85;0;0;0;0
1758017491,7280;5;0,52;2,6;0;0;0;0
1758017492,0370;5;0,57;2,85;0;0;0;0
1758017492,3190;5;0,57;2,85;0;0;0;0
1758017492,6220;5;0,52;2,6;0;0;0;0
1758017492,9210;5;0,57;2,85;0;0;0;0
1758017493,2190;5;0,52;2,6;0;0;0;0
1758017493,5210;5;0,55;2,75;0;0;0;0
1758017493,8210;5;0,52;2,6;0;0;0;0
1758017494,1280;5;0,56;2,8;0;0;0;0
1758017494,4230;5;0,56;2,8;0;0;0;0
1758017494,7200;5;0,52;2,6;0;0;0;0
1758017495,0220;5;0,56;2,8;0;0;0;0
1758017495,3180;5;0,59;2,95;0;0;0;0
1758017495,6210;5;0,55;2,75;0;0;0;0
1758017495,9180;5;0,52;2,6;0;0;0;0
1758017496,2250;5;0,54;2,7;0;0;0;0
1758017496,5420;5;0,54;2,7;0;0;0;0
1758017496,8220;5;0,52;2,6;0;0;0;0
1758017497,1220;5;0,54;2,7;0;0;0;0
1758017497,4230;5;0,52;2,6;0;0;0;0
1758017497,7210;5;0,53;2,65;0;0;0;0
1758017498,0190;5;0,52;2,6;0;0;0;0
1758017498,3180;5;0,53;2,65;0;0;0;0
1758017498,6480;5;0,51;2,55;0;0;0;0
1758017498,9230;5;0,51;2,55;0;0;0;0
1758017499,2210;5;0,53;2,65;0;0;0;0
1758017499,5210;5;0,51;2,55;0;0;0;0
1758017499,8190;5;0,53;2,65;0;0;0;0
1758017500,1220;5;0,51;2,55;0;0;0;0
1758017500,4300;5;0,54;2,7;0;0;0;0
1758017500,7250;5;0,51;2,55;0;0;0;0
1758017501,0200;5;0,51;2,55;0;0;0;0
1758017501,3210;5;0,52;2,6;0;0;0;0
1758017501,6180;5;0,51;2,55;0;0;0;0
1758017501,9210;5;0,52;2,6;0;0;0;0
1758017502,2190;5;0,51;2,55;0;0;0;0
1758017502,5240;5;0,52;2,6;0;0;0;0
1758017502,8190;5;0,52;2,6;0;0;0;0
1758017503,1370;5;0,52;2,6;0;0;0;0
1758017503,4200;5;0,52;2,6;0;0;0;0
1758017503,7210;5;0,52;2,6;0;0;0;0
1758017504,0230;5;0,52;2,6;0;0;0;0
