"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.014,0.0002333333,1758013529.604,5,0.38,1.9,0,0,0
1,0.315,0.00525,1758013529.903,5,0.38,1.9,0,0,0
2,0.619,0.0103166667,1758013530.208,5,0.39,1.95,0,0,0
3,0.919,0.0153166667,1758013530.508,5,0.38,1.9,0,0,0
4,1.218,0.0203,1758013530.806,5,0.38,1.9,0,0,0
5,1.517,0.0252833333,1758013531.103,5,0.38,1.9,0,0,0
6,1.814,0.0302333333,1758013531.403,5,0.39,1.95,0,0,0
7,2.115,0.03525,1758013531.704,5,0.39,1.95,0,0,0
8,2.418,0.0403,1758013532.007,5,0.38,1.9,0,0,0
9,2.718,0.0453,1758013532.306,5,0.38,1.9,0,0,0
10,3.017,0.0502833333,1758013532.608,5,0.38,1.9,0,0,0
11,3.319,0.0553166667,1758013532.907,5,0.38,1.9,0,0,0
12,3.616,0.0602666667,1758013533.204,5,0.39,1.95,0,0,0
13,3.916,0.0652666667,1758013533.505,5,0.38,1.9,0,0,0
14,4.217,0.0702833333,1758013533.803,5,0.38,1.9,0,0,0
15,4.515,0.07525,1758013534.104,5,0.39,1.95,0,0,0
16,4.815,0.08025,1758013534.404,5,0.39,1.95,0,0,0
17,5.118,0.0853,1758013534.703,5,0.39,1.95,0,0,0
18,5.419,0.0903166667,1758013535.007,5,0.39,1.95,0,0,0
19,5.719,0.0953166667,1758013535.308,5,0.39,1.95,0,0,0
20,6.019,0.1003166667,1758013535.607,5,0.39,1.95,0,0,0
21,6.319,0.1053166667,1758013535.906,5,0.39,1.95,0,0,0
22,6.619,0.1103166667,1758013536.209,5,0.39,1.95,0,0,0
23,6.919,0.1153166667,1758013536.507,5,0.39,1.95,0,0,0
24,7.219,0.1203166667,1758013536.805,5,0.39,1.95,0,0,0
25,7.518,0.1253,1758013537.107,5,0.39,1.95,0,0,0
26,7.815,0.13025,1758013537.403,5,0.38,1.9,0,0,0
27,8.119,0.1353166667,1758013537.707,5,0.39,1.95,0,0,0
28,8.419,0.1403166667,1758013538.008,5,0.38,1.9,0,0,0
29,8.717,0.1452833333,1758013538.303,5,0.38,1.9,0,0,0
30,9.018,0.1503,1758013538.605,5,0.38,1.9,0,0,0
31,9.315,0.15525,1758013538.902,5,0.38,1.9,0,0,0
32,9.616,0.1602666667,1758013539.202,5,0.38,1.9,0,0,0
33,9.918,0.1653,1758013539.505,5,0.39,1.95,0,0,0
34,10.218,0.1703,1758013539.807,5,0.38,1.9,0,0,0
35,10.517,0.1752833333,1758013540.105,5,0.38,1.9,0,0,0
36,10.819,0.1803166667,1758013540.407,5,0.38,1.9,0,0,0
37,11.114,0.1852333333,1758013540.704,5,0.39,1.95,0,0,0
38,11.414,0.1902333333,1758013541.001,5,0.42,2.1,0,0,0
39,11.719,0.1953166667,1758013541.309,5,0.46,2.3,0,0,0
40,12.018,0.2003,1758013541.607,5,0.39,1.95,0,0,0
41,12.316,0.2052666667,1758013541.902,5,0.39,1.95,0,0,0
42,12.615,0.21025,1758013542.206,5,0.38,1.9,0,0,0
43,12.919,0.2153166667,1758013542.508,5,0.38,1.9,0,0,0
44,13.216,0.2202666667,1758013542.801,5,0.38,1.9,0,0,0
45,13.519,0.2253166667,1758013543.106,5,0.39,1.95,0,0,0
46,13.818,0.2303,1758013543.406,5,0.38,1.9,0,0,0
47,14.119,0.2353166667,1758013543.705,5,0.39,1.95,0,0,0
48,14.418,0.2403,1758013544.007,5,0.39,1.95,0,0,0
49,14.716,0.2452666667,1758013544.305,5,0.38,1.9,0,0,0
50,15.019,0.2503166667,1758013544.604,5,0.39,1.95,0,0,0
51,15.319,0.2553166667,1758013544.907,5,0.39,1.95,0,0,0
52,15.618,0.2603,1758013545.208,5,0.38,1.9,0,0,0
53,15.918,0.2653,1758013545.506,5,0.38,1.9,0,0,0
54,16.219,0.2703166667,1758013545.808,5,0.38,1.9,0,0,0
