"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.034,0.0005666667,1758022643.811,5,0.52,2.6,0,0,0
1,0.339,0.00565,1758022644.115,5,0.52,2.6,0,0,0
2,0.635,0.0105833333,1758022644.418,5,0.52,2.6,0,0,0
3,0.937,0.0156166667,1758022644.717,5,0.52,2.6,0,0,0
4,1.237,0.0206166667,1758022645.038,5,0.61,3.05,0,0,0
5,1.536,0.0256,1758022645.315,5,0.61,3.05,0,0,0
6,1.836,0.0306,1758022645.616,5,0.61,3.05,0,0,0
7,2.136,0.0356,1758022645.915,5,0.52,2.6,0,0,0
8,2.437,0.0406166667,1758022646.217,5,0.52,2.6,0,0,0
9,2.739,0.04565,1758022646.521,5,0.52,2.6,0,0,0
10,3.038,0.0506333333,1758022646.815,5,0.52,2.6,0,0,0
11,3.335,0.0555833333,1758022647.13,5,0.52,2.6,0,0,0
12,3.639,0.06065,1758022647.417,5,0.52,2.6,0,0,0
13,3.939,0.06565,1758022647.717,5,0.52,2.6,0,0,0
14,4.236,0.0706,1758022648.02,5,0.52,2.6,0,0,0
15,4.536,0.0756,1758022648.316,5,0.52,2.6,0,0,0
16,4.838,0.0806333333,1758022648.621,5,0.59,2.95,0,0,0
17,5.136,0.0856,1758022648.913,5,0.52,2.6,0,0,0
18,5.434,0.0905666667,1758022649.224,5,0.52,2.6,0,0,0
19,5.736,0.0956,1758022649.521,5,0.52,2.6,0,0,0
20,6.036,0.1006,1758022649.819,5,0.52,2.6,0,0,0
21,6.337,0.1056166667,1758022650.12,5,0.52,2.6,0,0,0
22,6.636,0.1106,1758022650.415,5,0.52,2.6,0,0,0
23,6.937,0.1156166667,1758022650.722,5,0.52,2.6,0,0,0
24,7.239,0.12065,1758022651.018,5,0.52,2.6,0,0,0
25,7.538,0.1256333333,1758022651.32,5,0.52,2.6,0,0,0
26,7.835,0.1305833333,1758022651.61,5,0.52,2.6,0,0,0
27,8.136,0.1356,1758022651.913,5,0.52,2.6,0,0,0
28,8.439,0.14065,1758022652.223,5,0.52,2.6,0,0,0
29,8.737,0.1456166667,1758022652.515,5,0.52,2.6,0,0,0
