timestamp,channel,action,payload
1764064706764,CH1,POWER,2.35
1764064706792,CH1,POWER,2.35
1764064706797,CH1,POWER,2.35
1764064706802,CH1,POWER,2.35
1764064706806,CH1,POWER,2.35
1764064706812,CH1,POWER,2.35
1764064706816,CH1,POWER,2.35
1764064706822,CH1,POWER,2.35
1764064706826,CH1,POWER,2.35
1764064706832,CH1,POWER,2.35
1764064706836,CH1,POWER,2.35
1764064706842,CH1,POWER,2.35
1764064706846,CH1,POWER,2.35
1764064706852,CH1,POWER,2.35
1764064706860,CH1,POWER,2.35
1764064706865,CH1,POWER,2.35
1764064706869,CH1,POWER,2.35
1764064706873,CH1,POWER,2.35
1764064706877,CH1,POWER,2.35
1764064706882,CH1,POWER,2.35
1764064706886,CH1,POWER,2.35
1764064706892,CH1,POWER,2.35
1764064706896,CH1,POWER,2.35
1764064706902,CH1,POWER,2.35
1764064706906,CH1,POWER,2.35
1764064706912,CH1,POWER,2.35
1764064706916,CH1,POWER,2.35
1764064706922,CH1,POWER,2.35
1764064706927,CH1,POWER,2.35
1764064706932,CH1,POWER,2.35
1764064706936,CH1,POWER,2.35
1764064706942,CH1,POWER,2.35
1764064706946,CH1,POWER,2.35
1764064706952,CH1,POWER,2.35
1764064706956,CH1,POWER,2.35
1764064706962,CH1,POWER,2.35
1764064706966,CH1,POWER,2.35
1764064706972,CH1,POWER,2.35
1764064706976,CH1,POWER,2.35
1764064706982,CH1,POWER,2.35
1764064706986,CH1,POWER,2.35
1764064706992,CH1,POWER,2.35
1764064706996,CH1,POWER,2.35
1764064707002,CH1,POWER,2.35
1764064707006,CH1,POWER,2.35
1764064707012,CH1,POWER,2.35
1764064707016,CH1,POWER,2.35
1764064707022,CH1,POWER,2.35
1764064707026,CH1,POWER,2.35
1764064707032,CH1,POWER,2.35
1764064707036,CH1,POWER,2.35
1764064707042,CH1,POWER,2.35
1764064707046,CH1,POWER,2.35
1764064707052,CH1,POWER,2.35
1764064707056,CH1,POWER,2.35
1764064707062,CH1,POWER,2.35
1764064707066,CH1,POWER,2.35
1764064707072,CH1,POWER,2.35
