index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,
0,0.022,0.000366667,1756803350,5,0.45,2.25,
1,0.327,0.00545,1756803351,5,0.46,2.3,
2,0.627,0.01045,1756803351,5,0.46,2.3,
3,0.927,0.01545,1756803351,5,0.46,2.3,
4,1.226,0.020433333,1756803352,5,0.46,2.3,
5,1.526,0.025433333,1756803352,5,0.46,2.3,
6,1.827,0.03045,1756803352,5,0.46,2.3,
7,2.127,0.03545,1756803353,5,0.47,2.35,
8,2.427,0.04045,1756803353,5,0.54,2.7,
9,2.727,0.04545,1756803353,5,0.54,2.7,
10,3.027,0.05045,1756803353,5,0.49,2.45,
11,3.325,0.055416667,1756803354,5,0.45,2.25,
12,3.623,0.060383333,1756803354,5,0.46,2.3,
13,3.927,0.06545,1756803354,5,0.46,2.3,
14,4.225,0.070416667,1756803355,5,0.46,2.3,
15,4.525,0.075416667,1756803355,5,0.54,2.7,0
16,4.824,0.0804,1756803355,5,0.54,2.7,0
17,5.124,0.0854,1756803356,5,0.46,2.3,0
18,5.423,0.090383333,1756803356,5,0.49,2.45,0
19,5.727,0.09545,1756803356,5,0.52,2.6,0
20,6.024,0.1004,1756803356,5,0.72,3.6,0
21,6.327,0.10545,1756803357,5,0.61,3.05,0
22,6.627,0.11045,1756803357,5,0.6,3,0
23,6.927,0.11545,1756803357,5,0.6,3,0
24,7.228,0.120466667,1756803358,5,0.6,3,0
25,7.523,0.125383333,1756803358,5,0.6,3,0
26,7.827,0.13045,1756803358,5,0.61,3.05,0
27,8.127,0.13545,1756803359,5,0.6,3,0
28,8.424,0.1404,1756803359,5,0.6,3,0
29,8.724,0.1454,1756803359,5,0.61,3.05,0
30,9.027,0.15045,1756803359,5,0.6,3,0
31,9.324,0.1554,1756803360,5,0.6,3,0
32,9.627,0.16045,1756803360,5,0.61,3.05,0
33,9.923,0.165383333,1756803360,5,0.61,3.05,0
34,10.225,0.170416667,1756803361,5,0.6,3,0
35,10.527,0.17545,1756803361,5,0.61,3.05,0
36,10.823,0.180383333,1756803361,5,0.61,3.05,0
37,11.126,0.185433333,1756803362,5,0.46,2.3,0
38,11.424,0.1904,1756803362,5,0.46,2.3,0
39,11.724,0.1954,1756803362,5,0.46,2.3,0
40,12.027,0.20045,1756803362,5,0.46,2.3,0
41,12.325,0.205416667,1756803363,5,0.46,2.3,0
42,12.627,0.21045,1756803363,5,0.46,2.3,0
43,12.922,0.215366667,1756803363,5,0.46,2.3,0
44,13.223,0.220383333,1756803364,5,0.46,2.3,0
45,13.524,0.2254,1756803364,5,0.46,2.3,0
46,13.825,0.230416667,1756803364,5,0.46,2.3,0
47,14.127,0.23545,1756803365,5,0.46,2.3,0
48,14.425,0.240416667,1756803365,5,0.46,2.3,0
49,14.725,0.245416667,1756803365,5,0.45,2.25,0
50,15.023,0.250383333,1756803365,5,0.47,2.35,0
51,15.326,0.255433333,1756803366,5,0.46,2.3,0
52,15.627,0.26045,1756803366,5,0.47,2.35,0
53,15.925,0.265416667,1756803366,5,0.47,2.35,0
54,16.227,0.27045,1756803367,5,0.46,2.3,0
55,16.527,0.27545,1756803367,5,0.46,2.3,0
56,16.827,0.28045,1756803367,5,0.46,2.3,0
57,17.125,0.285416667,1756803368,5,0.47,2.35,0
58,17.427,0.29045,1756803368,5,0.46,2.3,0
59,17.726,0.295433333,1756803368,5,0.46,2.3,0
60,18.027,0.30045,1756803368,5,0.46,2.3,0
