Timestamp (ISO ms),Voltage (V),Current (A),Power (W),dt (s),Energy So Far (J)
2025-09-16T12:46:04.254,0.747569,0.589380,0.440602,0.000000,0.000000
2025-09-16T12:46:04.354,0.874358,0.830490,0.726146,0.099936,0.072568
2025-09-16T12:46:04.455,0.749181,0.580450,0.434862,0.100003,0.116056
2025-09-16T12:46:04.553,0.748913,0.580450,0.434706,0.099980,0.159518
2025-09-16T12:46:04.654,0.749450,0.589380,0.441711,0.100001,0.203690
2025-09-16T12:46:04.753,0.749450,0.589380,0.441711,0.099998,0.247860
2025-09-16T12:46:04.853,0.749181,0.589380,0.441552,0.100001,0.292015
2025-09-16T12:46:04.953,0.749718,0.580450,0.435174,0.100006,0.335536
2025-09-16T12:46:05.053,0.748644,0.580450,0.434550,0.099995,0.378988
2025-09-16T12:46:05.153,0.749450,0.589380,0.441711,0.099999,0.423159
2025-09-16T12:46:05.253,0.749181,0.589380,0.441552,0.099998,0.467314
2025-09-16T12:46:05.353,0.748913,0.580450,0.434706,0.100000,0.510784
2025-09-16T12:46:05.453,0.749181,0.580450,0.434862,0.100000,0.554271
2025-09-16T12:46:05.553,0.749450,0.580450,0.435018,0.100001,0.597773
2025-09-16T12:46:05.653,0.749718,0.589380,0.441869,0.099999,0.641959
2025-09-16T12:46:05.753,0.749181,0.580450,0.434862,0.099999,0.685445
2025-09-16T12:46:05.854,0.749718,0.580450,0.435174,0.100001,0.728963
2025-09-16T12:46:05.953,0.749450,0.589380,0.441711,0.100000,0.773134
2025-09-16T12:46:06.053,0.749181,0.589380,0.441552,0.100001,0.817289
2025-09-16T12:46:06.153,0.749450,0.580450,0.435018,0.099999,0.860791
2025-09-16T12:46:06.253,0.749181,0.589380,0.441552,0.100000,0.904946
2025-09-16T12:46:06.353,0.749181,0.589380,0.441552,0.100001,0.949102
2025-09-16T12:46:06.453,0.749181,0.580450,0.434862,0.099999,0.992587
2025-09-16T12:46:06.553,0.749181,0.598310,0.448243,0.100000,1.037412
2025-09-16T12:46:06.653,0.749181,0.589380,0.441552,0.100001,1.081567
2025-09-16T12:46:06.753,0.749987,0.580450,0.435330,0.099999,1.125100
2025-09-16T12:46:06.854,0.748913,0.580450,0.434706,0.100000,1.168571
2025-09-16T12:46:06.953,0.749450,0.580450,0.435018,0.100001,1.212073
2025-09-16T12:46:07.053,0.749450,0.580450,0.435018,0.100000,1.255575
2025-09-16T12:46:07.153,0.749450,0.589380,0.441711,0.100000,1.299746
2025-09-16T12:46:07.253,0.749718,0.580450,0.435174,0.099999,1.343262
2025-09-16T12:46:07.353,0.748913,0.580450,0.434706,0.100002,1.386734
2025-09-16T12:46:07.453,0.749450,0.580450,0.435018,0.099998,1.430235
2025-09-16T12:46:07.553,0.749450,0.589380,0.441711,0.100001,1.474406
2025-09-16T12:46:07.653,0.749450,0.589380,0.441711,0.100004,1.518579
2025-09-16T12:46:07.753,0.749181,0.589380,0.441552,0.099995,1.562732
2025-09-16T12:46:07.853,0.749181,0.580450,0.434862,0.100002,1.606219
2025-09-16T12:46:07.954,0.749450,0.589380,0.441711,0.100000,1.650390
2025-09-16T12:46:08.053,0.749987,0.589380,0.442027,0.099999,1.694593
2025-09-16T12:46:08.153,0.749181,0.589380,0.441552,0.100004,1.738750
2025-09-16T12:46:08.253,0.749181,0.589380,0.441552,0.099996,1.782903
2025-09-16T12:46:08.353,0.749181,0.589380,0.441552,0.100002,1.827059
2025-09-16T12:46:08.453,0.749450,0.580450,0.435018,0.099999,1.870561
2025-09-16T12:46:08.553,0.749718,0.580450,0.435174,0.100000,1.914078
2025-09-16T12:46:08.653,0.748913,0.580450,0.434706,0.100000,1.957549
2025-09-16T12:46:08.753,0.748644,0.580450,0.434550,0.100000,2.001004
2025-09-16T12:46:08.853,0.748644,0.580450,0.434550,0.099999,2.044458
2025-09-16T12:46:08.954,0.747569,0.580450,0.433927,0.100001,2.087851
2025-09-16T12:46:09.053,0.748913,0.589380,0.441394,0.100001,2.131991
2025-09-16T12:46:09.153,0.747569,0.589380,0.440602,0.100001,2.176051
2025-09-16T12:46:09.253,0.752136,0.589380,0.443294,0.099999,2.220380
2025-09-16T12:46:09.353,0.749450,0.589380,0.441711,0.099999,2.264551
2025-09-16T12:46:09.453,0.749450,0.580450,0.435018,0.100000,2.308053
2025-09-16T12:46:09.553,0.749987,0.589380,0.442027,0.100000,2.352256
2025-09-16T12:46:09.653,0.749450,0.580450,0.435018,0.100000,2.395758
2025-09-16T12:46:09.753,0.748913,0.580450,0.434706,0.099999,2.439228
2025-09-16T12:46:09.853,0.749450,0.589380,0.441711,0.100001,2.483399
2025-09-16T12:46:09.953,0.749450,0.580450,0.435018,0.100000,2.526901
2025-09-16T12:46:10.054,0.752136,0.580450,0.436577,0.099999,2.570559
2025-09-16T12:46:10.153,0.749450,0.580450,0.435018,0.100001,2.614061
2025-09-16T12:46:10.253,0.749718,0.580450,0.435174,0.099999,2.657578
2025-09-16T12:46:10.353,0.748913,0.589380,0.441394,0.099999,2.701717
