,round,load,period,start_time,id,channelId,exp_duration,end_time,experiment,duration,energy,power_avg,ID
0,2,80,0.0,1765562129596,207,CH1,80022,1765562209618,stress-ng,80.022,323.8319999999942,4.046787133538205,9
1,20,100,0.0,1765779485328,2331,CH1,80024,1765779565352,stress-ng,80.024,338.66667500000216,4.23206381835452,11
2,20,20,0.0,1765772118499,2259,CH1,80022,1765772198521,stress-ng,80.022,267.37690000000754,3.3412923945915813,13
3,12,20,0.0,1765676335327,1323,CH1,80023,1765676415350,stress-ng,80.023,267.284625000005,3.3400975344589057,14
4,10,5,0.0,1765649624734,1062,CH1,80021,1765649704755,stress-ng,80.021,238.47887500001224,2.9802036340462155,40
5,31,15,0.0,1765902899761,3537,CH1,80093,1765902979854,stress-ng,80.093,258.597425000003,3.2287144319728687,60
6,25,70,0.0,1765836587127,2889,CH1,80024,1765836667151,stress-ng,80.024,312.11994999999837,3.9003292762171147,80
7,12,70,0.0,1765680939345,1368,CH1,80051,1765681019396,stress-ng,80.051,312.9356250000106,3.9092031954630246,94
8,13,30,0.0,1765689228063,1449,CH1,80022,1765689308085,stress-ng,80.022,276.83100000000036,3.4594361550573636,103
9,30,0,0.0,1765888164161,3393,CH1,80025,1765888244186,stress-ng,80.025,207.9196499999947,2.5981836925959976,120
10,28,90,0.0,1765874349468,3258,CH1,80028,1765874429496,stress-ng,80.028,329.97687500000427,4.123267793772233,130
11,21,40,0.0,1765785933089,2394,CH1,80022,1765786013111,stress-ng,80.022,285.32922499999285,3.5656347629401015,137
12,13,20,0.0,1765688307072,1440,CH1,80022,1765688387094,stress-ng,80.022,263.144825000007,3.2884060008498537,141
13,3,80,0.0,1765574102615,324,CH1,80031,1765574182646,stress-ng,80.031,324.0425250000033,4.048962589496611,144
14,28,70,0.0,1765872507656,3240,CH1,80022,1765872587678,stress-ng,80.022,312.3555250000002,3.9033706355752202,145
15,21,60,0.0,1765787774857,2412,CH1,80035,1765787854892,stress-ng,80.035,304.2802749999963,3.80184013244201,151
16,34,15,0.0,1765938818707,3888,CH1,80025,1765938898732,stress-ng,80.025,260.79380000001265,3.2589040924712607,153
17,9,20,0.0,1765640415243,972,CH1,80022,1765640495265,stress-ng,80.022,266.63925000000415,3.3320743045662957,168
18,23,60,0.0,1765811722619,2646,CH1,80023,1765811802642,stress-ng,80.023,304.97562499999157,3.811099621358754,169
19,1,30,0.0,1765545552450,45,CH1,80023,1765545632473,stress-ng,80.023,276.79577500000016,3.4589527385876577,186
20,14,20,0.0,1765700280193,1557,CH1,80022,1765700360215,stress-ng,80.022,265.79425000000606,3.3215147084552505,187
21,10,50,0.0,1765655150790,1116,CH1,80075,1765655230865,stress-ng,80.075,290.44204999999835,3.6271251951295453,197
22,3,70,0.0,1765573182067,315,CH1,80022,1765573262089,stress-ng,80.022,315.43297499999494,3.9418281847491303,202
23,5,20,0.0,1765592523311,504,CH1,80022,1765592603333,stress-ng,80.022,269.80239999999947,3.3716028092274555,205
24,4,5,0.0,1765577786684,360,CH1,80021,1765577866705,stress-ng,80.021,246.76585000002487,3.0837636370455863,212
25,7,100,0.0,1765623836415,810,CH1,80026,1765623916441,stress-ng,80.026,337.9543250000113,4.223056569115179,222
26,22,70,0.0,1765800669864,2538,CH1,80023,1765800749887,stress-ng,80.023,315.47870000000177,3.942350324281791,223
27,9,70,0.0,1765645020073,1017,CH1,80022,1765645100095,stress-ng,80.022,313.45989999999995,3.9171715278298462,224
28,35,90,0.0,1765958160736,4077,CH1,80027,1765958240763,stress-ng,80.027,330.89752499999724,4.134823559548618,230
29,24,90,0.0,1765826457443,2790,CH1,80028,1765826537471,stress-ng,80.028,330.89794999999646,4.134777202978913,232
30,27,30,0.0,1765856851006,3087,CH1,80023,1765856931029,stress-ng,80.023,271.4291750000014,3.3918895192632292,235
31,26,60,0.0,1765847640804,2997,CH1,80044,1765847720848,stress-ng,80.044,305.24987499999685,3.81352599820095,238
32,28,100,0.0,1765875270011,3267,CH1,80025,1765875350036,stress-ng,80.025,338.21315000000243,4.226343642611714,240
33,33,70,0.0,1765932371592,3825,CH1,80035,1765932451627,stress-ng,80.035,313.48610000000394,3.9168626226026606,241
34,26,70,0.0,1765848561865,3006,CH1,80036,1765848641901,stress-ng,80.036,312.9766500000061,3.9104484232096315,247
35,20,5,0.0,1765769355855,2232,CH1,80022,1765769435877,stress-ng,80.022,233.40580000000563,2.916770388143331,267
36,16,50,0.0,1765726988818,1818,CH1,80050,1765727068868,stress-ng,80.05,294.90532499999654,3.6840140537163837,292
37,23,15,0.0,1765807117404,2601,CH1,80024,1765807197428,stress-ng,80.024,262.65315000000254,3.2821797210837063,295
