duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.210801,0.148341,0.000000,0.000000,0.178595,0.282044,0.616170,0.000244,0.000549,0.003419,0.016606,3.699776,3.298898,1.797800,1.102197,0.613919,1.104761,0.800732,0.749181,3.307689,3.300363,0.797362,4.928520,4.940580,0.004274
0.489774,1,0.000976,0.209825,0.147365,0.000976,0.000000,0.178595,0.283020,1.107320,0.000244,0.000549,0.003358,0.015751,3.711840,3.293330,1.798289,1.107325,0.600732,1.101098,0.800732,0.750793,3.305857,3.300363,0.797948,4.912440,4.935220,0.005128
4.000060,1,0.000000,0.210801,0.153221,0.000000,0.000000,0.180547,0.280092,1.678840,0.000977,0.000672,0.003297,0.015995,3.704416,3.292402,1.798289,1.103296,0.600366,1.100732,0.800732,0.879731,3.304942,3.299447,0.797948,4.877600,4.913780,0.005128
6.000061,1,0.000000,0.209825,0.152245,0.000000,0.000000,0.189330,0.280092,0.919790,0.000183,0.000794,0.003297,0.015629,3.711840,3.298898,1.797800,1.102929,0.606227,1.102929,0.801098,0.879999,3.304026,3.299447,0.797948,4.899040,4.896360,0.004274
8.000059,1,0.001952,0.210801,0.154197,0.000000,0.000000,0.180547,0.282044,0.928720,0.000244,0.000549,0.003419,0.015751,3.703488,3.293330,1.796824,1.102929,0.615018,1.104394,0.802930,0.879731,3.305857,3.299447,0.797655,4.913780,4.921820,0.004274
10.000059,1,0.001952,0.207873,0.153221,0.000000,0.000000,0.180547,0.282044,0.928720,0.000305,0.000427,0.003358,0.015629,3.710912,3.293330,1.799266,1.103296,0.614651,1.104761,0.802930,0.879193,3.304942,3.299447,0.797948,4.915120,4.920480,0.004274
12.000059,1,0.000000,0.218608,0.154197,0.000000,0.000000,0.189330,0.281068,0.937650,0.000061,0.000672,0.003297,0.015873,3.704416,3.293330,1.796335,1.106226,0.614651,1.101098,0.799633,0.879999,3.304942,3.300363,0.797948,4.908420,4.920480,0.004274
14.000061,1,0.000976,0.209825,0.153221,0.000000,0.000000,0.178595,0.281068,0.937650,0.000183,0.000427,0.003419,0.016117,3.696064,3.294258,1.798777,1.107691,0.614651,1.104028,0.800732,0.879462,3.304942,3.299447,0.797948,4.911100,4.923160,0.005128
16.000058,1,0.000000,0.211777,0.154197,0.000000,0.000000,0.180547,0.281068,0.928720,0.000244,0.000549,0.003419,0.015873,3.703488,3.293330,1.798289,1.111354,0.614651,1.104761,0.799633,0.879462,3.304942,3.299447,0.797948,4.911100,4.923160,0.005128
18.000057,1,0.000000,0.218608,0.154197,0.000000,0.000000,0.192258,0.281068,1.794930,0.000244,0.000549,0.003419,0.015629,3.697920,3.292402,1.798777,1.102197,0.615018,1.104394,0.801831,0.879731,3.305857,3.300363,0.797655,4.912440,4.923160,0.004274
