duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000976,0.209825,0.146390,0.000000,0.000000,0.181523,0.284972,0.714400,0.000183,0.000977,0.003358,0.015385,3.710912,3.292402,1.798777,1.101830,0.615018,1.104028,0.800732,0.749987,3.305857,3.299447,0.797655,4.927180,4.936560,0.005128
0.490012,1,0.000000,0.207873,0.150293,0.022446,0.000000,0.201042,0.286923,1.196620,0.000061,0.000549,0.003358,0.015385,3.711840,3.301682,1.796824,1.101830,0.606593,1.104761,0.798900,0.750256,3.305857,3.299447,0.797655,4.909760,4.931200,0.004274
1.000061,1,0.000976,0.209825,0.150293,0.000000,0.000000,0.184451,0.283996,1.946740,0.000183,0.000427,0.003419,0.015140,3.715552,3.299826,1.798777,1.110622,0.603662,1.102929,0.802197,0.879999,3.304942,3.299447,0.797948,4.900380,4.892340,0.005128
1.500059,1,0.000000,0.214705,0.154197,0.000000,0.000000,0.182499,0.283020,1.652050,0.000305,0.000672,0.003419,0.015263,3.711840,3.293330,1.798289,1.102929,0.601465,1.100732,0.801831,0.879731,3.305857,3.299447,0.797655,4.892340,4.905740,0.005128
2.000057,1,0.000000,0.223488,0.155173,0.000000,0.000000,0.182499,0.281068,1.866370,0.000183,0.000427,0.003358,0.015629,3.715552,3.301682,1.797800,1.110622,0.600366,1.102929,0.801831,0.879462,3.304942,3.300363,0.797655,4.888320,4.897700,0.005128
2.500058,1,0.000976,0.211777,0.153221,0.000000,0.000000,0.178595,0.283020,2.152130,0.000183,0.000427,0.003419,0.015018,3.711840,3.298898,1.797800,1.105127,0.602564,1.104761,0.800732,0.879731,3.306773,3.299447,0.797655,4.892340,4.903060,0.005128
3.000060,1,0.000000,0.210801,0.155173,0.000000,0.000000,0.192258,0.281068,2.286080,0.000244,0.000549,0.003419,0.014530,3.710912,3.298898,1.798289,1.110622,0.603296,1.104394,0.801831,0.879999,3.304942,3.300363,0.797655,4.886980,4.904400,0.004274
3.500058,1,0.000000,0.212753,0.153221,0.000000,0.000000,0.183475,0.284972,2.464680,0.000244,0.000549,0.003358,0.015018,3.700704,3.301682,1.798777,1.110622,0.606227,1.104761,0.801098,0.879462,3.305857,3.299447,0.797655,4.892340,4.905740,0.004274
4.000057,1,0.000000,0.226416,0.153221,0.000000,0.000000,0.179571,0.283020,1.848510,0.000061,0.000427,0.003419,0.015629,3.696064,3.293330,1.797800,1.102563,0.610988,1.104761,0.801831,0.879731,3.305857,3.299447,0.797362,4.901720,4.899040,0.005128
4.500059,1,0.000976,0.213729,0.153221,0.000000,0.000000,0.201042,0.284972,2.464680,0.000183,0.000427,0.003419,0.015263,3.704416,3.299826,1.797312,1.104761,0.602197,1.102929,0.801098,0.879731,3.305857,3.300363,0.797362,4.889660,4.908420,0.004274
5.000056,1,0.000976,0.211777,0.155173,0.000000,0.000000,0.190306,0.284972,2.277150,0.000244,0.000488,0.003480,0.015140,3.710912,3.311889,1.796824,1.107691,0.599999,1.104761,0.800732,0.879999,3.305857,3.299447,0.797948,4.884300,4.897700,0.005128
5.500057,1,0.000000,0.212753,0.152245,0.000000,0.000000,0.180547,0.284972,2.500400,0.000122,0.000549,0.003419,0.015018,3.711840,3.307249,1.797800,1.104761,0.606959,1.102929,0.801831,0.879462,3.305857,3.299447,0.797655,4.881620,4.904400,0.004274
