Segment,Load (%),Start Index,End Index,Start Time,End Time,Duration (s),Mean Voltage (V),Mean Current (A),Mean Power (W),Energy Delta (J)
1,0.0,0,1186,2025-09-16 11:03:38.131,2025-09-16 11:05:36.729,118.598,0.7507413352990732,0.5301501010951979,0.398447348778433,47.256169
2,25.0,1186,1698,2025-09-16 11:05:36.729,2025-09-16 11:06:27.929,51.2,0.875169725146199,1.0779711111111112,0.9447224717348928,48.39183800000001
3,50.0,1698,1709,2025-09-16 11:06:27.929,2025-09-16 11:06:29.029,1.1,0.8376690000000001,0.9488125,0.8045546666666666,0.8893299999999869
4,75.0,1709,1753,2025-09-16 11:06:29.029,2025-09-16 11:06:33.430,4.401,0.8792053111111111,1.0630668888888892,0.9346986444444444,4.081385000000012
5,100.0,1753,1764,2025-09-16 11:06:33.430,2025-09-16 11:06:34.530,1.1,0.8375570833333333,0.9443475,0.7970149166666668,0.8802639999999968
6,0.0,1764,2016,2025-09-16 11:06:34.530,2025-09-16 11:06:59.729,25.199,0.8756821106719368,1.078165138339921,0.9451597312252965,23.768833
7,,2016,2188,2025-09-16 11:06:59.729,2025-09-16 11:07:16.929,17.2,0.7579758439306358,0.5762689017341042,0.4391589999999999,7.521325999999988
8,,2188,3009,2025-09-16 11:07:16.929,2025-09-16 11:08:39.029,82.1,0.8766541253041363,1.3311240510948905,1.1677741800486618,95.916379
9,,3009,3187,2025-09-16 11:08:39.029,2025-09-16 11:08:56.829,17.8,0.7563515251396646,0.6057433519553073,0.4620327541899442,8.191062000000016
10,,3187,3599,2025-09-16 11:08:56.829,2025-09-16 11:09:38.029,41.2,0.8791913147699758,1.5937995883777238,1.4012573075060535,57.794938
