 Timestamp ;Voltage (V);Current (A);Power (W);dt (s);Energy So Far (J);cpuload
 37,073 ;0,748644;0,6251;0,467977;0;0;-1
 37,173 ;0,874627;0,88407;0,773231;0,099939;0,077276;-1
 37,273 ;0,764224;0,66975;0,511839;0,099994;0,128457;-1
 37,372 ;0,748913;0,6251;0,468145;0,099999;0,175271;-1
 37,472 ;0,74945;0,63403;0,475174;0,099999;0,222788;-1
 37,573 ;0,749987;0,63403;0,475514;0,099999;0,270338;-1
 37,673 ;0,873552;0,82156;0,717676;0,100003;0,342108;-1
 37,772 ;0,748644;0,6251;0,467977;0,100004;0,388908;-1
 37,872 ;0,748913;0,6251;0,468145;0,099993;0,435719;-1
 37,972 ;0,749181;0,6251;0,468313;0,099999;0,48255;-1
 38,072 ;0,749987;0,63403;0,475514;0,1;0,530102;-1
 38,172 ;0,748913;0,6251;0,468145;0,1;0,576916;-1
 38,273 ;0,873821;0,82156;0,717896;0,100002;0,648707;-1
 38,372 ;0,748375;0,6251;0,467809;0,099998;0,695487;-1
 38,472 ;0,748913;0,6251;0,468145;0,1;0,742302;-1
 38,572 ;0,749718;0,63403;0,475344;0,1;0,789836;-1
 38,673 ;0,749718;0,6251;0,468649;0,1;0,836701;-1
 38,772 ;0,748644;0,6251;0,467977;0,1;0,883498;-1
 38,872 ;0,748913;0,6251;0,468145;0,100001;0,930313;-1
 38,973 ;0,874627;0,82156;0,718558;0,100002;1,002171;-1
 39,072 ;0,748913;0,6251;0,468145;0,099998;1,048984;-1
 39,172 ;0,748913;0,6251;0,468145;0,100003;1,0958;-1
 39,272 ;0,749181;0,6251;0,468313;0,099999;1,142631;-1
 39,372 ;0,748644;0,6251;0,467977;0,099996;1,189427;-1
 39,472 ;0,74945;0,6251;0,468481;0,100001;1,236276;-1
 39,572 ;0,748913;0,6251;0,468145;0,099999;1,28309;-1
 39,674 ;0,874089;0,82156;0,718117;0,100001;1,354903;-1
 39,772 ;0,748644;0,63403;0,474663;0,1;1,402369;-1
 39,872 ;0,752136;0,6251;0,47016;0,099998;1,449384;-1
 39,972 ;0,749181;0,63403;0,475003;0,1;1,496885;-1
 40,072 ;0,748375;0,6251;0,467809;0,1;1,543666;-1
 40,172 ;0,749181;0,63403;0,475003;0,100001;1,591167;-1
 40,272 ;0,74945;0,6251;0,468481;0,099999;1,638014;-1
 40,373 ;0,874358;0,82156;0,718338;0,100001;1,709849;-1
 40,472 ;0,748913;0,6251;0,468145;0,1;1,756664;-1
 40,572 ;0,748644;0,6251;0,467977;0,099998;1,80346;-1
 40,672 ;0,748644;0,6251;0,467977;0,1;1,850258;-1
 40,773 ;0,748644;0,6251;0,467977;0,1;1,897056;-1
 40,872 ;0,748913;0,6251;0,468145;0,1;1,94387;-1
 40,972 ;0,74945;0,6251;0,468481;0,100001;1,990719;-1
 41,073 ;0,874627;0,81263;0,710748;0,100002;2,061795;-1
 41,172 ;0,748913;0,6251;0,468145;0,100003;2,108611;-1
 41,272 ;0,749181;0,6251;0,468313;0,099995;2,15544;-1
 41,372 ;0,749181;0,63403;0,475003;0,100001;2,20294;-1
 41,472 ;0,749718;0,6251;0,468649;0,099999;2,249805;-1
 41,572 ;0,748644;0,6251;0,467977;0,1;2,296603;-1
 41,672 ;0,748913;0,6251;0,468145;0,1;2,343417;-1
 41,773 ;0,873552;0,82156;0,717676;0,100003;2,415187;-1
 41,872 ;0,74945;0,6251;0,468481;0,099998;2,462034;-1
 41,972 ;0,748913;0,6251;0,468145;0,1;2,508848;-1
 42,072 ;0,748644;0,63403;0,474663;0,099999;2,556314;-1
 42,172 ;0,749181;0,6251;0,468313;0,1;2,603145;-1
 42,272 ;0,74945;0,6251;0,468481;0,1;2,649994;-1
 42,372 ;0,74945;0,6251;0,468481;0,1;2,696842;-1
 42,472 ;0,873821;0,82156;0,717896;0,100002;2,768633;-1
 42,572 ;0,749181;0,6251;0,468313;0,100005;2,815467;-1
