"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.023,0.0003833333,1758017444.315,5,0.52,2.6,0,0,0
1,0.323,0.0053833333,1758017444.616,5,0.52,2.6,0,0,0
2,0.627,0.01045,1758017444.918,5,0.52,2.6,0,0,0
3,0.927,0.01545,1758017445.218,5,0.52,2.6,0,0,0
4,1.226,0.0204333333,1758017445.517,5,0.55,2.75,0,0,0
5,1.523,0.0253833333,1758017445.816,5,0.55,2.75,0,0,0
6,1.828,0.0304666667,1758017446.124,5,0.52,2.6,0,0,0
7,2.123,0.0353833333,1758017446.417,5,0.52,2.6,0,0,0
8,2.428,0.0404666667,1758017446.718,5,0.52,2.6,0,0,0
9,2.728,0.0454666667,1758017447.021,5,0.55,2.75,0,0,0
10,3.029,0.0504833333,1758017447.323,5,0.52,2.6,0,0,0
11,3.325,0.0554166667,1758017447.614,5,0.52,2.6,0,0,0
12,3.623,0.0603833333,1758017447.908,5,0.52,2.6,0,0,0
13,3.923,0.0653833333,1758017448.214,5,0.52,2.6,0,0,0
14,4.227,0.07045,1758017448.519,5,0.52,2.6,0,0,0
15,4.525,0.0754166667,1758017448.82,5,0.52,2.6,0,0,0
16,4.828,0.0804666667,1758017449.119,5,0.67,3.35,0,0,0
17,5.123,0.0853833333,1758017449.417,5,0.52,2.6,0,0,0
18,5.427,0.09045,1758017449.719,5,0.52,2.6,0,0,0
19,5.723,0.0953833333,1758017450.036,5,0.52,2.6,0,0,0
20,6.028,0.1004666667,1758017450.322,5,0.52,2.6,0,0,0
21,6.325,0.1054166667,1758017450.618,5,0.52,2.6,0,0,0
22,6.628,0.1104666667,1758017450.922,5,0.52,2.6,0,0,0
23,6.928,0.1154666667,1758017451.223,5,0.52,2.6,0,0,0
24,7.227,0.12045,1758017451.525,5,0.52,2.6,0,0,0
25,7.525,0.1254166667,1758017451.816,5,0.52,2.6,0,0,0
26,7.828,0.1304666667,1758017452.12,5,0.52,2.6,0,0,0
27,8.128,0.1354666667,1758017452.423,5,0.52,2.6,0,0,0
28,8.425,0.1404166667,1758017452.72,5,0.52,2.6,0,0,0
29,8.727,0.14545,1758017453.025,5,0.52,2.6,0,0,0
30,9.025,0.1504166667,1758017453.316,5,0.52,2.6,0,0,0
31,9.328,0.1554666667,1758017453.617,5,0.53,2.65,0,0,0
32,9.628,0.1604666667,1758017453.923,5,0.52,2.6,0,0,0
33,9.927,0.16545,1758017454.217,5,0.52,2.6,0,0,0
34,10.228,0.1704666667,1758017454.534,5,0.52,2.6,0,0,0
35,10.528,0.1754666667,1758017454.818,5,0.52,2.6,0,0,0
36,10.829,0.1804833333,1758017455.12,5,0.55,2.75,0,0,0
37,11.126,0.1854333333,1758017455.418,5,0.52,2.6,0,0,0
38,11.428,0.1904666667,1758017455.724,5,0.55,2.75,0,0,0
39,11.726,0.1954333333,1758017456.023,5,0.52,2.6,0,0,0
40,12.024,0.2004,1758017456.318,5,0.55,2.75,0,0,0
41,12.328,0.2054666667,1758017456.631,5,0.52,2.6,0,0,0
42,12.625,0.2104166667,1758017456.918,5,0.52,2.6,0,0,0
43,12.925,0.2154166667,1758017457.222,5,0.55,2.75,0,0,0
44,13.228,0.2204666667,1758017457.523,5,0.52,2.6,0,0,0
45,13.528,0.2254666667,1758017457.822,5,0.55,2.75,0,0,0
46,13.827,0.23045,1758017458.119,5,0.6,3,0,0,0
47,14.127,0.23545,1758017458.426,5,0.56,2.8,0,0,0
48,14.424,0.2404,1758017458.722,5,0.52,2.6,0,0,0
49,14.727,0.24545,1758017459.02,5,0.52,2.6,0,0,0
50,15.025,0.2504166667,1758017459.325,5,0.55,2.75,0,0,0
51,15.328,0.2554666667,1758017459.621,5,0.52,2.6,0,0,0
52,15.628,0.2604666667,1758017459.923,5,0.57,2.85,0,0,0
53,15.928,0.2654666667,1758017460.222,5,0.52,2.6,0,0,0
54,16.228,0.2704666667,1758017460.527,5,0.61,3.05,0,0,0
55,16.528,0.2754666667,1758017460.828,5,0.52,2.6,0,0,0
