index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
0,0.014,0.000233333,1758013530,5,0.38,1.9,0,0,0,,
1,0.315,0.00525,1758013530,5,0.38,1.9,0,0,0,,
2,0.619,0.010316667,1758013530,5,0.39,1.95,0,0,0,,
3,0.919,0.015316667,1758013531,5,0.38,1.9,0,0,0,,
4,1.218,0.0203,1758013531,5,0.38,1.9,0,0,0,,
5,1.517,0.025283333,1758013531,5,0.38,1.9,0,0,0,,
6,1.814,0.030233333,1758013531,5,0.39,1.95,0,0,0,,
7,2.115,0.03525,1758013532,5,0.39,1.95,0,0,0,,
8,2.418,0.0403,1758013532,5,0.38,1.9,0,0,0,,
9,2.718,0.0453,1758013532,5,0.38,1.9,0,0,0,,
10,3.017,0.050283333,1758013533,5,0.38,1.9,0,0,0,,
11,3.319,0.055316667,1758013533,5,0.38,1.9,0,0,0,,
12,3.616,0.060266667,1758013533,5,0.39,1.95,0,0,0,,
13,3.916,0.065266667,1758013534,5,0.38,1.9,0,0,0,,
14,4.217,0.070283333,1758013534,5,0.38,1.9,0,0,0,,
15,4.515,0.07525,1758013534,5,0.39,1.95,0,0,0,,
16,4.815,0.08025,1758013534,5,0.39,1.95,0,0,0,,
17,5.118,0.0853,1758013535,5,0.39,1.95,0,0,0,,
18,5.419,0.090316667,1758013535,5,0.39,1.95,0,0,0,,
19,5.719,0.095316667,1758013535,5,0.39,1.95,0,0,0,,
20,6.019,0.100316667,1758013536,5,0.39,1.95,0,0,0,,
21,6.319,0.105316667,1758013536,5,0.39,1.95,0,0,0,,
22,6.619,0.110316667,1758013536,5,0.39,1.95,0,0,0,,
23,6.919,0.115316667,1758013537,5,0.39,1.95,0,0,0,,
24,7.219,0.120316667,1758013537,5,0.39,1.95,0,0,0,,
25,7.518,0.1253,1758013537,5,0.39,1.95,0,0,0,,
26,7.815,0.13025,1758013537,5,0.38,1.9,0,0,0,,
27,8.119,0.135316667,1758013538,5,0.39,1.95,0,0,0,,
28,8.419,0.140316667,1758013538,5,0.38,1.9,0,0,0,,
29,8.717,0.145283333,1758013538,5,0.38,1.9,0,0,0,,
30,9.018,0.1503,1758013539,5,0.38,1.9,0,0,0,,
31,9.315,0.15525,1758013539,5,0.38,1.9,0,0,0,,
32,9.616,0.160266667,1758013539,5,0.38,1.9,0,0,0,,
33,9.918,0.1653,1758013540,5,0.39,1.95,0,0,0,,
34,10.218,0.1703,1758013540,5,0.38,1.9,0,0,0,,
35,10.517,0.175283333,1758013540,5,0.38,1.9,0,0,0,,
36,10.819,0.180316667,1758013540,5,0.38,1.9,0,0,0,,
37,11.114,0.185233333,1758013541,5,0.39,1.95,0,0,0,,
38,11.414,0.190233333,1758013541,5,0.42,2.1,0,0,0,,
39,11.719,0.195316667,1758013541,5,0.46,2.3,0,0,0,,
40,12.018,0.2003,1758013542,5,0.39,1.95,0,0,0,,
41,12.316,0.205266667,1758013542,5,0.39,1.95,0,0,0,,
42,12.615,0.21025,1758013542,5,0.38,1.9,0,0,0,,
43,12.919,0.215316667,1758013543,5,0.38,1.9,0,0,0,,
44,13.216,0.220266667,1758013543,5,0.38,1.9,0,0,0,,
45,13.519,0.225316667,1758013543,5,0.39,1.95,0,0,0,,
46,13.818,0.2303,1758013543,5,0.38,1.9,0,0,0,,
47,14.119,0.235316667,1758013544,5,0.39,1.95,0,0,0,,
48,14.418,0.2403,1758013544,5,0.39,1.95,0,0,0,,
49,14.716,0.245266667,1758013544,5,0.38,1.9,0,0,0,,
50,15.019,0.250316667,1758013545,5,0.39,1.95,0,0,0,,
51,15.319,0.255316667,1758013545,5,0.39,1.95,0,0,0,,
52,15.618,0.2603,1758013545,5,0.38,1.9,0,0,0,,
53,15.918,0.2653,1758013546,5,0.38,1.9,0,0,0,,
54,16.219,0.270316667,1758013546,5,0.38,1.9,0,0,0,,
55,16.518,0.2753,1758013546,5,0.38,1.9,0,0,0,,
56,16.817,0.280283333,1758013546,5,0.38,1.9,0,0,0,,
57,17.114,0.285233333,1758013547,5,0.39,1.95,0,0,0,,
58,17.419,0.290316667,1758013547,5,0.38,1.9,0,0,0,,
59,17.714,0.295233333,1758013547,5,0.39,1.95,0,0,0,,
60,18.016,0.300266667,1758013548,5,0.39,1.95,0,0,0,,
61,18.318,0.3053,1758013548,5,0.38,1.9,0,0,0,,
62,18.619,0.310316667,1758013548,5,0.39,1.95,0,0,0,,
63,18.915,0.31525,1758013549,5,0.39,1.95,0,0,0,,
64,19.219,0.320316667,1758013549,5,0.38,1.9,0,0,0,,
65,19.515,0.32525,1758013549,5,0.38,1.9,0,0,0,,
66,19.819,0.330316667,1758013549,5,0.38,1.9,0,0,0,,
67,20.118,0.3353,1758013550,5,0.39,1.95,0,0,0,,
68,20.417,0.340283333,1758013550,5,0.38,1.9,0,0,0,,
69,20.719,0.345316667,1758013550,5,0.38,1.9,0,0,0,,
70,21.015,0.35025,1758013551,5,0.38,1.9,0,0,0,,
71,21.315,0.35525,1758013551,5,0.38,1.9,0,0,0,,
72,21.619,0.360316667,1758013551,5,0.39,1.95,0,0,0,,
73,21.916,0.365266667,1758013552,5,0.38,1.9,0,0,0,,
74,22.215,0.37025,1758013552,5,0.39,1.95,0,0,0,,
75,22.516,0.375266667,1758013552,5,0.39,1.95,0,0,0,,
76,22.815,0.38025,1758013552,5,0.39,1.95,0,0,0,,
77,23.114,0.385233333,1758013553,5,0.39,1.95,0,0,0,,
78,23.417,0.390283333,1758013553,5,0.39,1.95,0,0,0,,
79,23.718,0.3953,1758013553,5,0.38,1.9,0,0,0,,
80,24.018,0.4003,1758013554,5,0.39,1.95,0,0,0,,
81,24.314,0.405233333,1758013554,5,0.39,1.95,0,0,0,,
82,24.615,0.41025,1758013554,5,0.39,1.95,0,0,0,,
83,24.915,0.41525,1758013555,5,0.38,1.9,0,0,0,,
84,25.219,0.420316667,1758013555,5,0.38,1.9,0,0,0,,
85,25.519,0.425316667,1758013555,5,0.39,1.95,0,0,0,,
86,25.816,0.430266667,1758013555,5,0.41,2.05,0,0,0,,
87,26.116,0.435266667,1758013556,5,0.38,1.9,0,0,0,,
88,26.416,0.440266667,1758013556,5,0.39,1.95,0,0,0,,
89,26.717,0.445283333,1758013556,5,0.39,1.95,0,0,0,,
90,27.015,0.45025,1758013557,5,0.39,1.95,0,0,0,,
91,27.319,0.455316667,1758013557,5,0.38,1.9,0,0,0,,
92,27.615,0.46025,1758013557,5,0.38,1.9,0,0,0,,
93,27.919,0.465316667,1758013558,5,0.42,2.1,0,0,0,,
94,28.217,0.470283333,1758013558,5,0.48,2.4,0,0,0,,
95,28.517,0.475283333,1758013558,5,0.39,1.95,0,0,0,,
96,28.819,0.480316667,1758013558,5,0.39,1.95,0,0,0,,
97,29.118,0.4853,1758013559,5,0.39,1.95,0,0,0,,
98,29.418,0.4903,1758013559,5,0.39,1.95,0,0,0,,
99,29.719,0.495316667,1758013559,5,0.38,1.9,0,0,0,,
100,30.019,0.500316667,1758013560,5,0.38,1.9,0,0,0,,
101,30.318,0.5053,1758013560,5,0.38,1.9,0,0,0,,
102,30.619,0.510316667,1758013560,5,0.39,1.95,0,0,0,,
103,30.919,0.515316667,1758013561,5,0.39,1.95,0,0,0,,
104,31.219,0.520316667,1758013561,5,0.39,1.95,0,0,0,,
105,31.518,0.5253,1758013561,5,0.39,1.95,0,0,0,,
106,31.819,0.530316667,1758013561,5,0.39,1.95,0,0,0,,
107,32.119,0.535316667,1758013562,5,0.39,1.95,0,0,0,,
108,32.416,0.540266667,1758013562,5,0.39,1.95,0,0,0,,
