Timestamp (ISO ms),Voltage (V),Current (A),Power (W),dt (s),Energy So Far (J),cpuload,
2025-09-16T13:27:16.539,0.748644,0.6251,0.467977,0,0,,
2025-09-16T13:27:16.633,0.873552,0.88407,0.772281,0.09471,0.073143,,
2025-09-16T13:27:16.733,0.749181,0.6251,0.468313,0.099983,0.119966,,
2025-09-16T13:27:16.833,0.749181,0.6251,0.468313,0.100008,0.166801,,
2025-09-16T13:27:16.933,0.749987,0.6251,0.468817,0.09999,0.213679,,
2025-09-16T13:27:17.034,0.752136,0.61617,0.463444,0.100001,0.260023,-1,"start 00, 20 sec"
2025-09-16T13:27:17.133,0.752136,0.61617,0.463444,0.1,0.306368,-1,0
2025-09-16T13:27:17.233,0.74945,0.6251,0.468481,0.100008,0.35322,-1,0
2025-09-16T13:27:17.333,0.749181,0.6251,0.468313,0.099992,0.400047,-1,0
2025-09-16T13:27:17.433,0.748913,0.6251,0.468145,0.099998,0.446861,-1,0
2025-09-16T13:27:17.533,0.749987,0.6251,0.468817,0.1,0.493743,-1,0
2025-09-16T13:27:17.633,0.748913,0.6251,0.468145,0.1,0.540558,-1,0
2025-09-16T13:27:17.733,0.748913,0.61617,0.461457,0.1,0.586703,-1,0
2025-09-16T13:27:17.833,0.748913,0.61617,0.461457,0.100002,0.63285,-1,0
2025-09-16T13:27:17.933,0.749181,0.6251,0.468313,0.099997,0.67968,-1,0
2025-09-16T13:27:18.033,0.752136,0.6251,0.47016,0.1,0.726696,-1,0
2025-09-16T13:27:18.134,0.749718,0.6251,0.468649,0.099999,0.773561,-1,0
2025-09-16T13:27:18.233,0.748644,0.6251,0.467977,0.100002,0.820359,-1,0
2025-09-16T13:27:18.333,0.756434,0.61617,0.466092,0.099999,0.866968,-1,0
2025-09-16T13:27:18.433,0.748644,0.6251,0.467977,0.1,0.913766,-1,0
2025-09-16T13:27:18.533,0.748913,0.6251,0.468145,0.1,0.96058,-1,0
2025-09-16T13:27:18.633,0.748913,0.6251,0.468145,0.1,1.007395,-1,0
2025-09-16T13:27:18.733,0.749181,0.6251,0.468313,0.099999,1.054226,-1,0
2025-09-16T13:27:18.833,0.749181,0.6251,0.468313,0.1,1.101057,-1,0
2025-09-16T13:27:18.933,0.748375,0.6251,0.467809,0.100001,1.147838,-1,0
2025-09-16T13:27:19.033,0.748913,0.6251,0.468145,0.1,1.194653,-1,0
2025-09-16T13:27:19.133,0.749181,0.6251,0.468313,0.099999,1.241483,-1,0
2025-09-16T13:27:19.234,0.749181,0.6251,0.468313,0.100002,1.288316,-1,0
2025-09-16T13:27:19.333,0.74945,0.6251,0.468481,0.1,1.335164,-1,0
2025-09-16T13:27:19.433,0.756434,0.6251,0.472847,0.100001,1.382449,-1,0
2025-09-16T13:27:19.533,0.748913,0.6251,0.468145,0.1,1.429263,-1,0
2025-09-16T13:27:19.633,0.747569,0.6251,0.467306,0.099999,1.475993,-1,0
2025-09-16T13:27:19.733,0.748644,0.6251,0.467977,0.100001,1.522792,-1,0
2025-09-16T13:27:19.833,0.74945,0.61617,0.461788,0.1,1.56897,-1,0
2025-09-16T13:27:19.933,0.748913,0.6251,0.468145,0.099999,1.615784,-1,0
2025-09-16T13:27:20.033,0.748644,0.6251,0.467977,0.099999,1.662582,-1,0
2025-09-16T13:27:20.133,0.748644,0.6251,0.467977,0.100002,1.70938,-1,0
2025-09-16T13:27:20.234,0.748375,0.61617,0.461126,0.1,1.755493,-1,0
2025-09-16T13:27:20.333,0.749181,0.6251,0.468313,0.1,1.802324,-1,0
2025-09-16T13:27:20.433,0.748913,0.61617,0.461457,0.099999,1.848469,-1,0
2025-09-16T13:27:20.533,0.748913,0.61617,0.461457,0.100001,1.894616,-1,0
2025-09-16T13:27:20.633,0.747569,0.6251,0.467306,0.100003,1.941347,-1,0
2025-09-16T13:27:20.733,0.748644,0.61617,0.461292,0.099998,1.987476,-1,0
2025-09-16T13:27:20.833,0.748913,0.61617,0.461457,0.099999,2.033621,-1,0
2025-09-16T13:27:20.933,0.748644,0.6251,0.467977,0.100001,2.080419,-1,0
2025-09-16T13:27:21.033,0.748913,0.6251,0.468145,0.099999,2.127233,-1,0
2025-09-16T13:27:21.133,0.74945,0.6251,0.468481,0.100001,2.174081,-1,0
2025-09-16T13:27:21.234,0.74945,0.6251,0.468481,0.100001,2.22093,-1,0
2025-09-16T13:27:21.333,0.748913,0.6251,0.468145,0.1,2.267744,-1,0
2025-09-16T13:27:21.433,0.749181,0.6251,0.468313,0.099999,2.314575,-1,0
2025-09-16T13:27:21.533,0.748913,0.63403,0.474833,0.1,2.362059,-1,0
2025-09-16T13:27:21.633,0.749181,0.61617,0.461623,0.099999,2.408221,-1,0
2025-09-16T13:27:21.733,0.756434,0.61617,0.466092,0.1,2.45483,-1,0
2025-09-16T13:27:21.833,0.756434,0.61617,0.466092,0.1,2.501439,-1,0
2025-09-16T13:27:21.933,0.74945,0.6251,0.468481,0.099999,2.548287,-1,0
2025-09-16T13:27:22.033,0.748913,0.6251,0.468145,0.100001,2.595102,-1,0
2025-09-16T13:27:22.133,0.749181,0.61617,0.461623,0.099999,2.641264,-1,0
2025-09-16T13:27:22.233,0.74945,0.6251,0.468481,0.099999,2.688112,-1,0
2025-09-16T13:27:22.334,0.751062,0.6251,0.469489,0.100001,2.735061,-1,0
2025-09-16T13:27:22.433,0.749181,0.61617,0.461623,0.099999,2.781223,-1,0
2025-09-16T13:27:22.533,0.748913,0.6251,0.468145,0.1,2.828038,-1,0
2025-09-16T13:27:22.633,0.748375,0.6251,0.467809,0.1,2.874819,-1,0
2025-09-16T13:27:22.733,0.748644,0.61617,0.461292,0.099999,2.920948,-1,0
2025-09-16T13:27:22.833,0.748913,0.6251,0.468145,0.100003,2.967764,-1,0
2025-09-16T13:27:22.933,0.748644,0.61617,0.461292,0.099999,3.013892,-1,0
2025-09-16T13:27:23.033,0.752136,0.6251,0.47016,0.099999,3.060908,-1,0
2025-09-16T13:27:23.133,0.749181,0.6251,0.468313,0.099999,3.107739,-1,0
2025-09-16T13:27:23.233,0.748644,0.6251,0.467977,0.1,3.154536,-1,0
2025-09-16T13:27:23.334,0.749181,0.6251,0.468313,0.100001,3.201368,-1,0
2025-09-16T13:27:23.433,0.74945,0.61617,0.461788,0.100001,3.247547,-1,0
2025-09-16T13:27:23.533,0.747569,0.6251,0.467306,0.1,3.294278,-1,0
2025-09-16T13:27:23.633,0.749181,0.6251,0.468313,0.1,3.341109,-1,0
2025-09-16T13:27:23.733,0.748913,0.6251,0.468145,0.1,3.387924,-1,0
2025-09-16T13:27:23.833,0.748644,0.6251,0.467977,0.1,3.434721,-1,0
