index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload,
0,0.034,0.000566667,1758022644,5,0.52,2.6,0,0,0,,,
1,0.339,0.00565,1758022644,5,0.52,2.6,0,0,0,,,
2,0.635,0.010583333,1758022644,5,0.52,2.6,0,0,0,,,
3,0.937,0.015616667,1758022645,5,0.52,2.6,0,0,0,,,
4,1.237,0.020616667,1758022645,5,0.61,3.05,0,0,0,,,
5,1.536,0.0256,1758022645,5,0.61,3.05,0,0,0,,,
6,1.836,0.0306,1758022646,5,0.61,3.05,0,0,0,,,
7,2.136,0.0356,1758022646,5,0.52,2.6,0,0,0,,,
8,2.437,0.040616667,1758022646,5,0.52,2.6,0,0,0,,,
9,2.739,0.04565,1758022647,5,0.52,2.6,0,0,0,,,
10,3.038,0.050633333,1758022647,5,0.52,2.6,0,0,0,,,
11,3.335,0.055583333,1758022647,5,0.52,2.6,0,0,0,,,
12,3.639,0.06065,1758022647,5,0.52,2.6,0,0,0,,,
13,3.939,0.06565,1758022648,5,0.52,2.6,0,0,0,,,
14,4.236,0.0706,1758022648,5,0.52,2.6,0,0,0,,,
15,4.536,0.0756,1758022648,5,0.52,2.6,0,0,0,,,
16,4.838,0.080633333,1758022649,5,0.59,2.95,0,0,0,,-1,"start 00, 20 sec"
17,5.136,0.0856,1758022649,5,0.52,2.6,0,0,0,,-1,0
18,5.434,0.090566667,1758022649,5,0.52,2.6,0,0,0,,-1,0
19,5.736,0.0956,1758022650,5,0.52,2.6,0,0,0,,-1,0
20,6.036,0.1006,1758022650,5,0.52,2.6,0,0,0,,-1,0
21,6.337,0.105616667,1758022650,5,0.52,2.6,0,0,0,,-1,0
22,6.636,0.1106,1758022650,5,0.52,2.6,0,0,0,,-1,0
23,6.937,0.115616667,1758022651,5,0.52,2.6,0,0,0,,-1,0
24,7.239,0.12065,1758022651,5,0.52,2.6,0,0,0,,-1,0
25,7.538,0.125633333,1758022651,5,0.52,2.6,0,0,0,,-1,0
26,7.835,0.130583333,1758022652,5,0.52,2.6,0,0,0,,-1,0
27,8.136,0.1356,1758022652,5,0.52,2.6,0,0,0,,-1,0
28,8.439,0.14065,1758022652,5,0.52,2.6,0,0,0,,-1,0
29,8.737,0.145616667,1758022653,5,0.52,2.6,0,0,0,,-1,0
30,9.039,0.15065,1758022653,5,0.52,2.6,0,0,0,,-1,0
31,9.335,0.155583333,1758022653,5,0.52,2.6,0,0,0,,-1,0
32,9.639,0.16065,1758022653,5,0.52,2.6,0,0,0,,-1,0
33,9.935,0.165583333,1758022654,5,0.52,2.6,0,0,0,,-1,0
34,10.235,0.170583333,1758022654,5,0.52,2.6,0,0,0,,-1,0
35,10.537,0.175616667,1758022654,5,0.52,2.6,0,0,0,,-1,0
36,10.836,0.1806,1758022655,5,0.52,2.6,0,0,0,,-1,0
37,11.135,0.185583333,1758022655,5,0.52,2.6,0,0,0,,-1,0
38,11.437,0.190616667,1758022655,5,0.52,2.6,0,0,0,,-1,0
39,11.739,0.19565,1758022656,5,0.52,2.6,0,0,0,,-1,0
40,12.038,0.200633333,1758022656,5,0.52,2.6,0,0,0,,-1,0
41,12.335,0.205583333,1758022656,5,0.52,2.6,0,0,0,,-1,0
42,12.639,0.21065,1758022656,5,0.52,2.6,0,0,0,,-1,0
43,12.938,0.215633333,1758022657,5,0.52,2.6,0,0,0,,-1,0
44,13.236,0.2206,1758022657,5,0.52,2.6,0,0,0,,-1,0
45,13.536,0.2256,1758022657,5,0.52,2.6,0,0,0,,-1,0
46,13.836,0.2306,1758022658,5,0.52,2.6,0,0,0,,-1,0
47,14.139,0.23565,1758022658,5,0.52,2.6,0,0,0,,-1,0
48,14.438,0.240633333,1758022658,5,0.52,2.6,0,0,0,,-1,0
49,14.739,0.24565,1758022659,5,0.52,2.6,0,0,0,,-1,0
50,15.035,0.250583333,1758022659,5,0.52,2.6,0,0,0,,-1,0
51,15.339,0.25565,1758022659,5,0.52,2.6,0,0,0,,-1,0
52,15.639,0.26065,1758022659,5,0.52,2.6,0,0,0,,-1,0
53,15.938,0.265633333,1758022660,5,0.52,2.6,0,0,0,,-1,0
54,16.235,0.270583333,1758022660,5,0.6,3,0,0,0,,-1,0
55,16.536,0.2756,1758022660,5,0.52,2.6,0,0,0,,-1,0
56,16.839,0.28065,1758022661,5,0.52,2.6,0,0,0,,-1,0
57,17.137,0.285616667,1758022661,5,0.52,2.6,0,0,0,,-1,0
58,17.437,0.290616667,1758022661,5,0.52,2.6,0,0,0,,-1,0
59,17.739,0.29565,1758022662,5,0.59,2.95,0,0,0,,-1,0
60,18.036,0.3006,1758022662,5,0.52,2.6,0,0,0,,-1,0
61,18.339,0.30565,1758022662,5,0.52,2.6,0,0,0,,-1,0
62,18.639,0.31065,1758022662,5,0.52,2.6,0,0,0,,-1,0
63,18.937,0.315616667,1758022663,5,0.52,2.6,0,0,0,,-1,0
64,19.239,0.32065,1758022663,5,0.52,2.6,0,0,0,,-1,0
65,19.534,0.325566667,1758022663,5,0.52,2.6,0,0,0,,-1,0
66,19.839,0.33065,1758022664,5,0.52,2.6,0,0,0,,-1,0
67,20.137,0.335616667,1758022664,5,0.52,2.6,0,0,0,,-1,0
68,20.436,0.3406,1758022664,5,0.52,2.6,0,0,0,,-1,0
69,20.739,0.34565,1758022665,5,0.52,2.6,0,0,0,,-1,0
70,21.039,0.35065,1758022665,5,0.52,2.6,0,0,0,,-1,0
71,21.339,0.35565,1758022665,5,0.52,2.6,0,0,0,,-1,0
72,21.639,0.36065,1758022665,5,0.52,2.6,0,0,0,,-1,0
73,21.939,0.36565,1758022666,5,0.52,2.6,0,0,0,,-1,0
74,22.236,0.3706,1758022666,5,0.52,2.6,0,0,0,,-1,0
75,22.539,0.37565,1758022666,5,0.54,2.7,0,0,0,,-1,"end 00, 20 sec"
76,22.837,0.380616667,1758022667,5,0.52,2.6,0,0,0,,1,"start 00, 80 sec"
77,23.137,0.385616667,1758022667,5,0.52,2.6,0,0,0,,1,0
78,23.436,0.3906,1758022667,5,0.52,2.6,0,0,0,,1,0
79,23.738,0.395633333,1758022668,5,0.52,2.6,0,0,0,,1,0
80,24.036,0.4006,1758022668,5,0.52,2.6,0,0,0,,1,0
81,24.335,0.405583333,1758022668,5,0.52,2.6,0,0,0,,1,0
82,24.637,0.410616667,1758022668,5,0.52,2.6,0,0,0,,1,0
83,24.939,0.41565,1758022669,5,0.52,2.6,0,0,0,,1,0
84,25.235,0.420583333,1758022669,5,0.52,2.6,0,0,0,,1,0
85,25.539,0.42565,1758022669,5,0.52,2.6,0,0,0,,1,0
86,25.838,0.430633333,1758022670,5,0.52,2.6,0,0,0,,1,0
87,26.136,0.4356,1758022670,5,0.52,2.6,0,0,0,,1,0
88,26.439,0.44065,1758022670,5,0.52,2.6,0,0,0,,1,0
89,26.739,0.44565,1758022671,5,0.52,2.6,0,0,0,,1,0
90,27.036,0.4506,1758022671,5,0.52,2.6,0,0,0,,1,0
91,27.339,0.45565,1758022671,5,0.52,2.6,0,0,0,,1,0
92,27.635,0.460583333,1758022671,5,0.52,2.6,0,0,0,,1,0
93,27.939,0.46565,1758022672,5,0.55,2.75,0,0,0,,1,0
94,28.237,0.470616667,1758022672,5,0.52,2.6,0,0,0,,1,0
95,28.536,0.4756,1758022672,5,0.52,2.6,0,0,0,,1,0
96,28.837,0.480616667,1758022673,5,0.52,2.6,0,0,0,,1,0
97,29.136,0.4856,1758022673,5,0.52,2.6,0,0,0,,1,0
98,29.435,0.490583333,1758022673,5,0.52,2.6,0,0,0,,1,0
99,29.737,0.495616667,1758022674,5,0.52,2.6,0,0,0,,1,0
100,30.036,0.5006,1758022674,5,0.52,2.6,0,0,0,,1,0
101,30.337,0.505616667,1758022674,5,0.52,2.6,0,0,0,,1,0
102,30.637,0.510616667,1758022674,5,0.52,2.6,0,0,0,,1,0
103,30.937,0.515616667,1758022675,5,0.52,2.6,0,0,0,,1,0
104,31.237,0.520616667,1758022675,5,0.52,2.6,0,0,0,,1,0
105,31.538,0.525633333,1758022675,5,0.52,2.6,0,0,0,,1,0
106,31.839,0.53065,1758022676,5,0.52,2.6,0,0,0,,1,0
107,32.139,0.53565,1758022676,5,0.52,2.6,0,0,0,,1,0
108,32.434,0.540566667,1758022676,5,0.52,2.6,0,0,0,,1,0
109,32.735,0.545583333,1758022677,5,0.52,2.6,0,0,0,,1,0
110,33.035,0.550583333,1758022677,5,0.52,2.6,0,0,0,,1,0
111,33.334,0.555566667,1758022677,5,0.52,2.6,0,0,0,,1,0
112,33.636,0.5606,1758022677,5,0.52,2.6,0,0,0,,1,0
113,33.939,0.56565,1758022678,5,0.52,2.6,0,0,0,,1,0
114,34.237,0.570616667,1758022678,5,0.52,2.6,0,0,0,,1,0
115,34.537,0.575616667,1758022678,5,0.52,2.6,0,0,0,,1,0
116,34.834,0.580566667,1758022679,5,0.52,2.6,0,0,0,,1,0
117,35.139,0.58565,1758022679,5,0.52,2.6,0,0,0,,1,0
118,35.439,0.59065,1758022679,5,0.52,2.6,0,0,0,,1,0
119,35.737,0.595616667,1758022680,5,0.52,2.6,0,0,0,,1,0
120,36.034,0.600566667,1758022680,5,0.52,2.6,0,0,0,,1,0
121,36.338,0.605633333,1758022680,5,0.52,2.6,0,0,0,,1,0
122,36.637,0.610616667,1758022680,5,0.52,2.6,0,0,0,,1,0
123,36.938,0.615633333,1758022681,5,0.52,2.6,0,0,0,,1,0
124,37.234,0.620566667,1758022681,5,0.52,2.6,0,0,0,,1,0
125,37.538,0.625633333,1758022681,5,0.52,2.6,0,0,0,,1,0
126,37.837,0.630616667,1758022682,5,0.52,2.6,0,0,0,,1,0
127,38.137,0.635616667,1758022682,5,0.52,2.6,0,0,0,,1,0
128,38.434,0.640566667,1758022682,5,0.52,2.6,0,0,0,,1,0
129,38.735,0.645583333,1758022683,5,0.52,2.6,0,0,0,,1,0
130,39.037,0.650616667,1758022683,5,0.52,2.6,0,0,0,,1,0
131,39.337,0.655616667,1758022683,5,0.52,2.6,0,0,0,,1,0
132,39.639,0.66065,1758022683,5,0.52,2.6,0,0,0,,1,0
133,39.936,0.6656,1758022684,5,0.52,2.6,0,0,0,,1,0
134,40.236,0.6706,1758022684,5,0.52,2.6,0,0,0,,1,0
135,40.534,0.675566667,1758022684,5,0.52,2.6,0,0,0,,1,0
