"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
0,0.031,0.0005166667,1758020172.181,5,0.53,2.65,0,0,0
1,0.336,0.0056,1758020172.487,5,0.5,2.5,0,0,0
2,0.631,0.0105166667,1758020172.785,5,0.5,2.5,0,0,0
3,0.933,0.01555,1758020173.087,5,0.5,2.5,0,0,0
4,1.236,0.0206,1758020173.385,5,0.5,2.5,0,0,0
5,1.536,0.0256,1758020173.686,5,0.5,2.5,0,0,0
6,1.835,0.0305833333,1758020173.99,5,0.51,2.55,0,0,0
7,2.133,0.03555,1758020174.299,5,0.56,2.8,0,0,0
8,2.436,0.0406,1758020174.586,5,0.56,2.8,0,0,0
9,2.735,0.0455833333,1758020174.889,5,0.5,2.5,0,0,0
10,3.036,0.0506,1758020175.188,5,0.5,2.5,0,0,0
11,3.337,0.0556166667,1758020175.486,5,0.5,2.5,0,0,0
12,3.632,0.0605333333,1758020175.782,5,0.5,2.5,0,0,0
13,3.933,0.06555,1758020176.083,5,0.56,2.8,0,0,0
14,4.235,0.0705833333,1758020176.392,5,0.51,2.55,0,0,0
15,4.536,0.0756,1758020176.686,5,0.51,2.55,0,0,0
16,4.835,0.0805833333,1758020176.989,5,0.51,2.55,0,0,0
17,5.136,0.0856,1758020177.284,5,0.51,2.55,0,0,0
18,5.434,0.0905666667,1758020177.586,5,0.51,2.55,0,0,0
19,5.735,0.0955833333,1758020177.888,5,0.51,2.55,0,0,0
20,6.035,0.1005833333,1758020178.184,5,0.51,2.55,0,0,0
21,6.336,0.1056,1758020178.488,5,0.51,2.55,0,0,0
22,6.632,0.1105333333,1758020178.782,5,0.51,2.55,0,0,0
23,6.936,0.1156,1758020179.087,5,0.51,2.55,0,0,0
24,7.235,0.1205833333,1758020179.388,5,0.51,2.55,0,0,0
25,7.535,0.1255833333,1758020179.684,5,0.51,2.55,0,0,0
26,7.831,0.1305166667,1758020179.986,5,0.51,2.55,0,0,0
27,8.136,0.1356,1758020180.287,5,0.51,2.55,0,0,0
28,8.432,0.1405333333,1758020180.584,5,0.51,2.55,0,0,0
29,8.736,0.1456,1758020180.903,5,0.51,2.55,0,0,0
30,9.035,0.1505833333,1758020181.184,5,0.51,2.55,0,0,0
31,9.335,0.1555833333,1758020181.488,5,0.51,2.55,0,0,0
32,9.633,0.16055,1758020181.786,5,0.51,2.55,0,0,0
33,9.931,0.1655166667,1758020182.083,5,0.51,2.55,0,0,0
34,10.236,0.1706,1758020182.388,5,0.51,2.55,0,0,0
35,10.536,0.1756,1758020182.693,5,0.55,2.75,0,0,0
36,10.832,0.1805333333,1758020182.981,5,0.51,2.55,0,0,0
37,11.132,0.1855333333,1758020183.283,5,0.51,2.55,0,0,0
38,11.435,0.1905833333,1758020183.588,5,0.51,2.55,0,0,0
39,11.733,0.19555,1758020183.882,5,0.51,2.55,0,0,0
40,12.035,0.2005833333,1758020184.184,5,0.51,2.55,0,0,0
41,12.332,0.2055333333,1758020184.485,5,0.51,2.55,0,0,0
42,12.633,0.21055,1758020184.784,5,0.51,2.55,0,0,0
43,12.936,0.2156,1758020185.088,5,0.51,2.55,0,0,0
44,13.236,0.2206,1758020185.402,5,0.51,2.55,0,0,0
45,13.531,0.2255166667,1758020185.687,5,0.51,2.55,0,0,0
46,13.832,0.2305333333,1758020185.984,5,0.51,2.55,0,0,0
47,14.136,0.2356,1758020186.289,5,0.51,2.55,0,0,0
48,14.436,0.2406,1758020186.588,5,0.51,2.55,0,0,0
49,14.732,0.2455333333,1758020186.884,5,0.51,2.55,0,0,0
50,15.036,0.2506,1758020187.191,5,0.51,2.55,0,0,0
51,15.331,0.2555166667,1758020187.485,5,0.51,2.55,0,0,0
52,15.636,0.2606,1758020187.784,5,0.51,2.55,0,0,0
53,15.933,0.26555,1758020188.085,5,0.51,2.55,0,0,0
54,16.234,0.2705666667,1758020188.385,5,0.51,2.55,0,0,0
55,16.532,0.2755333333,1758020188.683,5,0.51,2.55,0,0,0
56,16.835,0.2805833333,1758020188.985,5,0.51,2.55,0,0,0
57,17.135,0.2855833333,1758020189.283,5,0.51,2.55,0,0,0
58,17.435,0.2905833333,1758020189.586,5,0.51,2.55,0,0,0
59,17.732,0.2955333333,1758020189.9,5,0.51,2.55,0,0,0
60,18.036,0.3006,1758020190.185,5,0.51,2.55,0,0,0
61,18.334,0.3055666667,1758020190.483,5,0.51,2.55,0,0,0
62,18.634,0.3105666667,1758020190.786,5,0.51,2.55,0,0,0
63,18.932,0.3155333333,1758020191.082,5,0.51,2.55,0,0,0
64,19.231,0.3205166667,1758020191.385,5,0.51,2.55,0,0,0
65,19.536,0.3256,1758020191.686,5,0.51,2.55,0,0,0
66,19.833,0.33055,1758020191.994,5,0.51,2.55,0,0,0
67,20.136,0.3356,1758020192.293,5,0.51,2.55,0,0,0
68,20.434,0.3405666667,1758020192.587,5,0.51,2.55,0,0,0
69,20.736,0.3456,1758020192.889,5,0.51,2.55,0,0,0
70,21.035,0.3505833333,1758020193.187,5,0.51,2.55,0,0,0
71,21.336,0.3556,1758020193.486,5,0.51,2.55,0,0,0
72,21.637,0.3606166667,1758020193.789,5,0.51,2.55,0,0,0
73,21.932,0.3655333333,1758020194.082,5,0.52,2.6,0,0,0
74,22.231,0.3705166667,1758020194.38,5,0.52,2.6,0,0,0
75,22.535,0.3755833333,1758020194.69,5,0.51,2.55,0,0,0
76,22.834,0.3805666667,1758020194.985,5,0.51,2.55,0,0,0
77,23.136,0.3856,1758020195.285,5,0.51,2.55,0,0,0
78,23.436,0.3906,1758020195.589,5,0.51,2.55,0,0,0
79,23.731,0.3955166667,1758020195.881,5,0.51,2.55,0,0,0
80,24.034,0.4005666667,1758020196.189,5,0.51,2.55,0,0,0
81,24.334,0.4055666667,1758020196.5,5,0.51,2.55,0,0,0
82,24.635,0.4105833333,1758020196.79,5,0.51,2.55,0,0,0
83,24.933,0.41555,1758020197.082,5,0.51,2.55,0,0,0
84,25.233,0.42055,1758020197.385,5,0.51,2.55,0,0,0
85,25.536,0.4256,1758020197.686,5,0.51,2.55,0,0,0
86,25.832,0.4305333333,1758020197.983,5,0.51,2.55,0,0,0
87,26.136,0.4356,1758020198.288,5,0.51,2.55,0,0,0
88,26.435,0.4405833333,1758020198.588,5,0.51,2.55,0,0,0
89,26.733,0.44555,1758020198.885,5,0.51,2.55,0,0,0
90,27.033,0.45055,1758020199.187,5,0.51,2.55,0,0,0
91,27.336,0.4556,1758020199.487,5,0.58,2.9,0,0,0
92,27.633,0.46055,1758020199.783,5,0.51,2.55,0,0,0
93,27.936,0.4656,1758020200.091,5,0.51,2.55,0,0,0
94,28.234,0.4705666667,1758020200.385,5,0.51,2.55,0,0,0
95,28.534,0.4755666667,1758020200.684,5,0.51,2.55,0,0,0
96,28.836,0.4806,1758020201.011,5,0.51,2.55,0,0,0
