index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
0,0.031,0.000516667,1758020172,5,0.53,2.65,0,0,0,,
1,0.336,0.0056,1758020172,5,0.5,2.5,0,0,0,,
2,0.631,0.010516667,1758020173,5,0.5,2.5,0,0,0,,
3,0.933,0.01555,1758020173,5,0.5,2.5,0,0,0,,
4,1.236,0.0206,1758020173,5,0.5,2.5,0,0,0,,
5,1.536,0.0256,1758020174,5,0.5,2.5,0,0,0,,
6,1.835,0.030583333,1758020174,5,0.51,2.55,0,0,0,,
7,2.133,0.03555,1758020174,5,0.56,2.8,0,0,0,,
8,2.436,0.0406,1758020175,5,0.56,2.8,0,0,0,,
9,2.735,0.045583333,1758020175,5,0.5,2.5,0,0,0,,
10,3.036,0.0506,1758020175,5,0.5,2.5,0,0,0,,
11,3.337,0.055616667,1758020175,5,0.5,2.5,0,0,0,,
12,3.632,0.060533333,1758020176,5,0.5,2.5,0,0,0,,
13,3.933,0.06555,1758020176,5,0.56,2.8,0,0,0,,
14,4.235,0.070583333,1758020176,5,0.51,2.55,0,0,0,,
15,4.536,0.0756,1758020177,5,0.51,2.55,0,0,0,,
16,4.835,0.080583333,1758020177,5,0.51,2.55,0,0,0,,
17,5.136,0.0856,1758020177,5,0.51,2.55,0,0,0,,
18,5.434,0.090566667,1758020178,5,0.51,2.55,0,0,0,,
19,5.735,0.095583333,1758020178,5,0.51,2.55,0,0,0,,
20,6.035,0.100583333,1758020178,5,0.51,2.55,0,0,0,,
21,6.336,0.1056,1758020178,5,0.51,2.55,0,0,0,,
22,6.632,0.110533333,1758020179,5,0.51,2.55,0,0,0,,
23,6.936,0.1156,1758020179,5,0.51,2.55,0,0,0,,
24,7.235,0.120583333,1758020179,5,0.51,2.55,0,0,0,,
25,7.535,0.125583333,1758020180,5,0.51,2.55,0,0,0,,
26,7.831,0.130516667,1758020180,5,0.51,2.55,0,0,0,,
27,8.136,0.1356,1758020180,5,0.51,2.55,0,0,0,,
28,8.432,0.140533333,1758020181,5,0.51,2.55,0,0,0,,
29,8.736,0.1456,1758020181,5,0.51,2.55,0,0,0,,
30,9.035,0.150583333,1758020181,5,0.51,2.55,0,0,0,,
31,9.335,0.155583333,1758020181,5,0.51,2.55,0,0,0,,
32,9.633,0.16055,1758020182,5,0.51,2.55,0,0,0,,
33,9.931,0.165516667,1758020182,5,0.51,2.55,0,0,0,,
34,10.236,0.1706,1758020182,5,0.51,2.55,0,0,0,,
35,10.536,0.1756,1758020183,5,0.55,2.75,0,0,0,,
36,10.832,0.180533333,1758020183,5,0.51,2.55,0,0,0,,
37,11.132,0.185533333,1758020183,5,0.51,2.55,0,0,0,,
38,11.435,0.190583333,1758020184,5,0.51,2.55,0,0,0,,
39,11.733,0.19555,1758020184,5,0.51,2.55,0,0,0,,
40,12.035,0.200583333,1758020184,5,0.51,2.55,0,0,0,,
41,12.332,0.205533333,1758020184,5,0.51,2.55,0,0,0,,
42,12.633,0.21055,1758020185,5,0.51,2.55,0,0,0,,
43,12.936,0.2156,1758020185,5,0.51,2.55,0,0,0,,
44,13.236,0.2206,1758020185,5,0.51,2.55,0,0,0,,
45,13.531,0.225516667,1758020186,5,0.51,2.55,0,0,0,,
46,13.832,0.230533333,1758020186,5,0.51,2.55,0,0,0,,
47,14.136,0.2356,1758020186,5,0.51,2.55,0,0,0,,
48,14.436,0.2406,1758020187,5,0.51,2.55,0,0,0,,
49,14.732,0.245533333,1758020187,5,0.51,2.55,0,0,0,,
50,15.036,0.2506,1758020187,5,0.51,2.55,0,0,0,,
51,15.331,0.255516667,1758020187,5,0.51,2.55,0,0,0,,
52,15.636,0.2606,1758020188,5,0.51,2.55,0,0,0,,
53,15.933,0.26555,1758020188,5,0.51,2.55,0,0,0,,
54,16.234,0.270566667,1758020188,5,0.51,2.55,0,0,0,,
55,16.532,0.275533333,1758020189,5,0.51,2.55,0,0,0,,
56,16.835,0.280583333,1758020189,5,0.51,2.55,0,0,0,,
57,17.135,0.285583333,1758020189,5,0.51,2.55,0,0,0,,
58,17.435,0.290583333,1758020190,5,0.51,2.55,0,0,0,,
59,17.732,0.295533333,1758020190,5,0.51,2.55,0,0,0,,
60,18.036,0.3006,1758020190,5,0.51,2.55,0,0,0,,
61,18.334,0.305566667,1758020190,5,0.51,2.55,0,0,0,,
62,18.634,0.310566667,1758020191,5,0.51,2.55,0,0,0,,
63,18.932,0.315533333,1758020191,5,0.51,2.55,0,0,0,,
64,19.231,0.320516667,1758020191,5,0.51,2.55,0,0,0,,
65,19.536,0.3256,1758020192,5,0.51,2.55,0,0,0,,
66,19.833,0.33055,1758020192,5,0.51,2.55,0,0,0,,
67,20.136,0.3356,1758020192,5,0.51,2.55,0,0,0,,
68,20.434,0.340566667,1758020193,5,0.51,2.55,0,0,0,,
69,20.736,0.3456,1758020193,5,0.51,2.55,0,0,0,,
70,21.035,0.350583333,1758020193,5,0.51,2.55,0,0,0,,
71,21.336,0.3556,1758020193,5,0.51,2.55,0,0,0,,
72,21.637,0.360616667,1758020194,5,0.51,2.55,0,0,0,,
73,21.932,0.365533333,1758020194,5,0.52,2.6,0,0,0,,
74,22.231,0.370516667,1758020194,5,0.52,2.6,0,0,0,,
75,22.535,0.375583333,1758020195,5,0.51,2.55,0,0,0,,
76,22.834,0.380566667,1758020195,5,0.51,2.55,0,0,0,,
77,23.136,0.3856,1758020195,5,0.51,2.55,0,0,0,,
78,23.436,0.3906,1758020196,5,0.51,2.55,0,0,0,,
79,23.731,0.395516667,1758020196,5,0.51,2.55,0,0,0,,
80,24.034,0.400566667,1758020196,5,0.51,2.55,0,0,0,,
81,24.334,0.405566667,1758020197,5,0.51,2.55,0,0,0,,
82,24.635,0.410583333,1758020197,5,0.51,2.55,0,0,0,,
83,24.933,0.41555,1758020197,5,0.51,2.55,0,0,0,,
84,25.233,0.42055,1758020197,5,0.51,2.55,0,0,0,,
85,25.536,0.4256,1758020198,5,0.51,2.55,0,0,0,,
86,25.832,0.430533333,1758020198,5,0.51,2.55,0,0,0,,
87,26.136,0.4356,1758020198,5,0.51,2.55,0,0,0,,
88,26.435,0.440583333,1758020199,5,0.51,2.55,0,0,0,,
89,26.733,0.44555,1758020199,5,0.51,2.55,0,0,0,,
90,27.033,0.45055,1758020199,5,0.51,2.55,0,0,0,,
91,27.336,0.4556,1758020199,5,0.58,2.9,0,0,0,x ,
92,27.633,0.46055,1758020200,5,0.51,2.55,0,0,0,,
93,27.936,0.4656,1758020200,5,0.51,2.55,0,0,0,,
94,28.234,0.470566667,1758020200,5,0.51,2.55,0,0,0,,
95,28.534,0.475566667,1758020201,5,0.51,2.55,0,0,0,,
96,28.836,0.4806,1758020201,5,0.51,2.55,0,0,0,,
97,29.136,0.4856,1758020201,5,0.51,2.55,0,0,0,,
98,29.433,0.49055,1758020202,5,0.51,2.55,0,0,0,,
99,29.732,0.495533333,1758020202,5,0.51,2.55,0,0,0,,
100,30.036,0.5006,1758020202,5,0.51,2.55,0,0,0,,
101,30.334,0.505566667,1758020202,5,0.51,2.55,0,0,0,,
102,30.636,0.5106,1758020203,5,0.51,2.55,0,0,0,,
103,30.936,0.5156,1758020203,5,0.51,2.55,0,0,0,,
104,31.234,0.520566667,1758020203,5,0.51,2.55,0,0,0,,
105,31.534,0.525566667,1758020204,5,0.51,2.55,0,0,0,,
106,31.833,0.53055,1758020204,5,0.51,2.55,0,0,0,,
107,32.134,0.535566667,1758020204,5,0.51,2.55,0,0,0,,
108,32.434,0.540566667,1758020205,5,0.51,2.55,0,0,0,,
109,32.736,0.5456,1758020205,5,0.51,2.55,0,0,0,,
110,33.032,0.550533333,1758020205,5,0.51,2.55,0,0,0,,
111,33.336,0.5556,1758020205,5,0.51,2.55,0,0,0,,
112,33.636,0.5606,1758020206,5,0.51,2.55,0,0,0,,
113,33.936,0.5656,1758020206,5,0.51,2.55,0,0,0,,
114,34.236,0.5706,1758020206,5,0.51,2.55,0,0,0,,
115,34.536,0.5756,1758020207,5,0.51,2.55,0,0,0,,
116,34.831,0.580516667,1758020207,5,0.51,2.55,0,0,0,,
117,35.136,0.5856,1758020207,5,0.51,2.55,0,0,0,,
118,35.432,0.590533333,1758020208,5,0.51,2.55,0,0,0,,
119,35.736,0.5956,1758020208,5,0.51,2.55,0,0,0,,
120,36.032,0.600533333,1758020208,5,0.51,2.55,0,0,0,,
121,36.333,0.60555,1758020208,5,0.51,2.55,0,0,0,,
122,36.633,0.61055,1758020209,5,0.51,2.55,0,0,0,,
123,36.934,0.615566667,1758020209,5,0.51,2.55,0,0,0,,
124,37.233,0.62055,1758020209,5,0.51,2.55,0,0,0,,
125,37.535,0.625583333,1758020210,5,0.51,2.55,0,0,0,,
126,37.836,0.6306,1758020210,5,0.51,2.55,0,0,0,,
127,38.135,0.635583333,1758020210,5,0.51,2.55,0,0,0,,
128,38.435,0.640583333,1758020211,5,0.51,2.55,0,0,0,,
129,38.736,0.6456,1758020211,5,0.59,2.95,0,0,0,,
130,39.033,0.65055,1758020211,5,0.51,2.55,0,0,0,,
131,39.332,0.655533333,1758020211,5,0.51,2.55,0,0,0,,
132,39.634,0.660566667,1758020212,5,0.51,2.55,0,0,0,,
133,39.936,0.6656,1758020212,5,0.51,2.55,0,0,0,,
134,40.233,0.67055,1758020212,5,0.51,2.55,0,0,0,,
135,40.531,0.675516667,1758020213,5,0.51,2.55,0,0,0,,
136,40.831,0.680516667,1758020213,5,0.51,2.55,0,0,0,,
137,41.135,0.685583333,1758020213,5,0.51,2.55,0,0,0,,
138,41.436,0.6906,1758020214,5,0.51,2.55,0,0,0,,
139,41.733,0.69555,1758020214,5,0.51,2.55,0,0,0,,
140,42.033,0.70055,1758020214,5,0.51,2.55,0,0,0,,
141,42.336,0.7056,1758020214,5,0.51,2.55,0,0,0,,
142,42.636,0.7106,1758020215,5,0.51,2.55,0,0,0,,
143,42.935,0.715583333,1758020215,5,0.51,2.55,0,0,0,,
144,43.236,0.7206,1758020215,5,0.51,2.55,0,0,0,,
145,43.536,0.7256,1758020216,5,0.55,2.75,0,0,0,,
146,43.832,0.730533333,1758020216,5,0.51,2.55,0,0,0,,
147,44.132,0.735533333,1758020216,5,0.51,2.55,0,0,0,,
148,44.436,0.7406,1758020217,5,0.51,2.55,0,0,0,,
149,44.733,0.74555,1758020217,5,0.51,2.55,0,0,0,,
150,45.036,0.7506,1758020217,5,0.51,2.55,0,0,0,,
151,45.333,0.75555,1758020217,5,0.51,2.55,0,0,0,,
152,45.632,0.760533333,1758020218,5,0.51,2.55,0,0,0,,
153,45.931,0.765516667,1758020218,5,0.51,2.55,0,0,0,,
154,46.232,0.770533333,1758020218,5,0.51,2.55,0,0,0,,
155,46.536,0.7756,1758020219,5,0.51,2.55,0,0,0,,
156,46.833,0.78055,1758020219,5,0.51,2.55,0,0,0,,
157,47.134,0.785566667,1758020219,5,0.51,2.55,0,0,0,,
158,47.434,0.790566667,1758020220,5,0.51,2.55,0,0,0,,
159,47.731,0.795516667,1758020220,5,0.51,2.55,0,0,0,,
160,48.032,0.800533333,1758020220,5,0.51,2.55,0,0,0,,
161,48.332,0.805533333,1758020220,5,0.51,2.55,0,0,0,,
162,48.631,0.810516667,1758020221,5,0.51,2.55,0,0,0,,
163,48.936,0.8156,1758020221,5,0.51,2.55,0,0,0,,
164,49.233,0.82055,1758020221,5,0.51,2.55,0,0,0,,
165,49.532,0.825533333,1758020222,5,0.51,2.55,0,0,0,,
166,49.832,0.830533333,1758020222,5,0.51,2.55,0,0,0,,
167,50.136,0.8356,1758020222,5,0.59,2.95,0,0,0,,
168,50.436,0.8406,1758020223,5,0.59,2.95,0,0,0,,
169,50.736,0.8456,1758020223,5,0.51,2.55,0,0,0,,
170,51.036,0.8506,1758020223,5,0.51,2.55,0,0,0,,
171,51.334,0.855566667,1758020223,5,0.51,2.55,0,0,0,,
172,51.635,0.860583333,1758020224,5,0.51,2.55,0,0,0,,
173,51.932,0.865533333,1758020224,5,0.51,2.55,0,0,0,,
174,52.236,0.8706,1758020224,5,0.51,2.55,0,0,0,,
175,52.536,0.8756,1758020225,5,0.5,2.5,0,0,0,,
176,52.836,0.8806,1758020225,5,0.5,2.5,0,0,0,,
177,53.131,0.885516667,1758020225,5,0.51,2.55,0,0,0,,
178,53.436,0.8906,1758020226,5,0.5,2.5,0,0,0,,
179,53.736,0.8956,1758020226,5,0.51,2.55,0,0,0,,
180,54.033,0.90055,1758020226,5,0.51,2.55,0,0,0,,
181,54.332,0.905533333,1758020226,5,0.51,2.55,0,0,0,,
182,54.635,0.910583333,1758020227,5,0.51,2.55,0,0,0,,
183,54.931,0.915516667,1758020227,5,0.51,2.55,0,0,0,,
184,55.236,0.9206,1758020227,5,0.51,2.55,0,0,0,,
185,55.533,0.92555,1758020228,5,0.51,2.55,0,0,0,,
186,55.833,0.93055,1758020228,5,0.51,2.55,0,0,0,,
187,56.136,0.9356,1758020228,5,0.51,2.55,0,0,0,,
188,56.436,0.9406,1758020229,5,0.51,2.55,0,0,0,,
189,56.736,0.9456,1758020229,5,0.51,2.55,0,0,0,,
190,57.033,0.95055,1758020229,5,0.51,2.55,0,0,0,,
191,57.332,0.955533333,1758020229,5,0.51,2.55,0,0,0,,
192,57.632,0.960533333,1758020230,5,0.51,2.55,0,0,0,,
193,57.936,0.9656,1758020230,5,0.5,2.5,0,0,0,,
194,58.236,0.9706,1758020230,5,0.51,2.55,0,0,0,,
195,58.533,0.97555,1758020231,5,0.5,2.5,0,0,0,,
196,58.831,0.980516667,1758020231,5,0.51,2.55,0,0,0,,
197,59.134,0.985566667,1758020231,5,0.51,2.55,0,0,0,,
198,59.436,0.9906,1758020232,5,0.51,2.55,0,0,0,,
199,59.734,0.995566667,1758020232,5,0.51,2.55,0,0,0,,
200,60.033,1.00055,1758020232,5,0.62,3.1,0,0,0,,
201,60.334,1.005566667,1758020232,5,0.51,2.55,0,0,0,,
202,60.631,1.010516667,1758020233,5,0.51,2.55,0,0,0,,
203,60.936,1.0156,1758020233,5,0.51,2.55,0,0,0,,
204,61.236,1.0206,1758020233,5,0.51,2.55,0,0,0,,
205,61.534,1.025566667,1758020234,5,0.51,2.55,0,0,0,,
206,61.836,1.0306,1758020234,5,0.54,2.7,0,0,0,,
207,62.136,1.0356,1758020234,5,0.51,2.55,0,0,0,,
208,62.434,1.040566667,1758020235,5,0.51,2.55,0,0,0,,
209,62.735,1.045583333,1758020235,5,0.51,2.55,0,0,0,,
210,63.033,1.05055,1758020235,5,0.51,2.55,0,0,0,,
211,63.336,1.0556,1758020235,5,0.51,2.55,0,0,0,,
212,63.633,1.06055,1758020236,5,0.5,2.5,0,0,0,,
213,63.932,1.065533333,1758020236,5,0.5,2.5,0,0,0,,
214,64.235,1.070583333,1758020236,5,0.51,2.55,0,0,0,,
215,64.531,1.075516667,1758020237,5,0.5,2.5,0,0,0,,
216,64.831,1.080516667,1758020237,5,0.51,2.55,0,0,0,,
217,65.136,1.0856,1758020237,5,0.51,2.55,0,0,0,,
218,65.436,1.0906,1758020238,5,0.51,2.55,0,0,0,,
219,65.732,1.095533333,1758020238,5,0.5,2.5,0,0,0,,
220,66.031,1.100516667,1758020238,5,0.5,2.5,0,0,0,,
221,66.331,1.105516667,1758020238,5,0.51,2.55,0,0,0,,
222,66.636,1.1106,1758020239,5,0.5,2.5,0,0,0,,
223,66.933,1.11555,1758020239,5,0.51,2.55,0,0,0,,
224,67.234,1.120566667,1758020239,5,0.51,2.55,0,0,0,,
225,67.534,1.125566667,1758020240,5,0.51,2.55,0,0,0,,
226,67.834,1.130566667,1758020240,5,0.51,2.55,0,0,0,,
227,68.133,1.13555,1758020240,5,0.51,2.55,0,0,0,,
228,68.436,1.1406,1758020241,5,0.51,2.55,0,0,0,,
229,68.732,1.145533333,1758020241,5,0.51,2.55,0,0,0,,
230,69.036,1.1506,1758020241,5,0.51,2.55,0,0,0,,
231,69.332,1.155533333,1758020241,5,0.51,2.55,0,0,0,,
232,69.635,1.160583333,1758020242,5,0.51,2.55,0,0,0,,
233,69.931,1.165516667,1758020242,5,0.51,2.55,0,0,0,,
234,70.232,1.170533333,1758020242,5,0.5,2.5,0,0,0,,
235,70.534,1.175566667,1758020243,5,0.5,2.5,0,0,0,,
236,70.833,1.18055,1758020243,5,0.51,2.55,0,0,0,,
237,71.131,1.185516667,1758020243,5,0.5,2.5,0,0,0,,
238,71.436,1.1906,1758020244,5,0.51,2.55,0,0,0,,
239,71.732,1.195533333,1758020244,5,0.5,2.5,0,0,0,,
240,72.036,1.2006,1758020244,5,0.51,2.55,0,0,0,,
241,72.336,1.2056,1758020245,5,0.51,2.55,0,0,0,,
242,72.631,1.210516667,1758020245,5,0.51,2.55,0,0,0,-1,"starts 00, 20 sec"
243,72.936,1.2156,1758020245,5,0.51,2.55,0,0,0,-1,0
244,73.232,1.220533333,1758020245,5,0.56,2.8,0,0,0,-1,0
245,73.536,1.2256,1758020246,5,0.51,2.55,0,0,0,-1,0
246,73.834,1.230566667,1758020246,5,0.51,2.55,0,0,0,-1,0
247,74.136,1.2356,1758020246,5,0.51,2.55,0,0,0,-1,0
248,74.434,1.240566667,1758020247,5,0.51,2.55,0,0,0,-1,0
249,74.736,1.2456,1758020247,5,0.51,2.55,0,0,0,-1,0
250,75.033,1.25055,1758020247,5,0.51,2.55,0,0,0,-1,0
251,75.331,1.255516667,1758020247,5,0.51,2.55,0,0,0,-1,0
252,75.632,1.260533333,1758020248,5,0.51,2.55,0,0,0,-1,0
253,75.931,1.265516667,1758020248,5,0.51,2.55,0,0,0,-1,0
254,76.233,1.27055,1758020248,5,0.55,2.75,0,0,0,-1,0
255,76.533,1.27555,1758020249,5,0.51,2.55,0,0,0,-1,0
256,76.833,1.28055,1758020249,5,0.51,2.55,0,0,0,-1,0
257,77.134,1.285566667,1758020249,5,0.51,2.55,0,0,0,-1,0
258,77.431,1.290516667,1758020250,5,0.51,2.55,0,0,0,-1,0
259,77.736,1.2956,1758020250,5,0.51,2.55,0,0,0,-1,0
260,78.035,1.300583333,1758020250,5,0.51,2.55,0,0,0,-1,0
261,78.332,1.305533333,1758020250,5,0.51,2.55,0,0,0,-1,0
262,78.636,1.3106,1758020251,5,0.51,2.55,0,0,0,-1,0
263,78.931,1.315516667,1758020251,5,0.5,2.5,0,0,0,-1,0
264,79.236,1.3206,1758020251,5,0.5,2.5,0,0,0,-1,0
265,79.531,1.325516667,1758020252,5,0.51,2.55,0,0,0,-1,0
266,79.836,1.3306,1758020252,5,0.5,2.5,0,0,0,-1,0
267,80.135,1.335583333,1758020252,5,0.51,2.55,0,0,0,-1,0
268,80.433,1.34055,1758020253,5,0.5,2.5,0,0,0,-1,0
269,80.732,1.345533333,1758020253,5,0.51,2.55,0,0,0,-1,0
270,81.035,1.350583333,1758020253,5,0.51,2.55,0,0,0,-1,0
271,81.331,1.355516667,1758020253,5,0.51,2.55,0,0,0,-1,0
272,81.631,1.360516667,1758020254,5,0.51,2.55,0,0,0,-1,0
273,81.933,1.36555,1758020254,5,0.51,2.55,0,0,0,-1,0
274,82.234,1.370566667,1758020254,5,0.51,2.55,0,0,0,-1,0
275,82.536,1.3756,1758020255,5,0.51,2.55,0,0,0,-1,0
276,82.836,1.3806,1758020255,5,0.51,2.55,0,0,0,-1,0
277,83.135,1.385583333,1758020255,5,0.51,2.55,0,0,0,-1,0
