Timestamp (ISO ms),Voltage (V),Current (A),Power (W),dt (s),Energy So Far (J),ts,PowerSmooth,SegmentIndex,LoadLabel
2025-09-16T11:03:38.131,0.749181,0.52687,0.394721,0,0,03:38.1,0.3948062,0,0
2025-09-16T11:03:38.229,0.808815,0.66082,0.534481,0.099945,0.053419,03:38.2,0.39478025,0,0
2025-09-16T11:03:38.333,0.74945,0.52687,0.394863,0.099999,0.092904,03:38.3,0.39475164285714287,0,0
2025-09-16T11:03:38.431,0.748644,0.52687,0.394438,0.100001,0.132349,03:38.4,0.394730188,0,0
2025-09-16T11:03:38.530,0.752136,0.52687,0.396278,0.099999,0.171976,03:38.5,0.3947135,0,0
2025-09-16T11:03:38.630,0.748107,0.52687,0.394155,0.099998,0.211391,03:38.6,0.3947072,0,0
2025-09-16T11:03:38.729,0.74945,0.5358,0.401555,0.1,0.251546,03:38.7,0.3946789,0,0
2025-09-16T11:03:38.830,0.74945,0.51794,0.38817,0.100007,0.290366,03:38.8,0.39466475,0,0
2025-09-16T11:03:38.929,0.748107,0.51794,0.387474,0.099993,0.329111,03:38.9,0.39464350000000004,0,0
2025-09-16T11:03:39.029,0.748913,0.52687,0.39458,0.100001,0.368569,03:39.0,0.39462935000000005,0,0
2025-09-16T11:03:39.129,0.748913,0.52687,0.39458,0.099999,0.408027,03:39.1,0.3946223,0,0
2025-09-16T11:03:39.229,0.749181,0.52687,0.394721,0.1,0.447499,03:39.2,0.39462935,0,0
2025-09-16T11:03:39.329,0.749181,0.52687,0.394721,0.099999,0.48697,03:39.3,0.39465055000000004,0,0
2025-09-16T11:03:39.429,0.74945,0.52687,0.394863,0.1,0.526457,03:39.4,0.39467885,0,0
2025-09-16T11:03:39.530,0.748913,0.51794,0.387892,0.1,0.565246,03:39.5,0.39470715,0,0
2025-09-16T11:03:39.629,0.749987,0.52687,0.395146,0.1,0.60476,03:39.6,0.39472840000000003,0,0
2025-09-16T11:03:39.729,0.74945,0.52687,0.394863,0.1,0.644247,03:39.7,0.3947567,0,0
2025-09-16T11:03:39.829,0.748913,0.52687,0.39458,0.1,0.683705,03:39.8,0.39477795000000004,0,0
2025-09-16T11:03:39.929,0.74945,0.51794,0.38817,0.1,0.722522,03:39.9,0.3947992,0,0
2025-09-16T11:03:40.029,0.749718,0.5358,0.401699,0.100001,0.762692,03:40.0,0.39482045000000004,0,0
2025-09-16T11:03:40.129,0.74945,0.52687,0.394863,0.099999,0.802178,03:40.1,0.3948417,0,0
2025-09-16T11:03:40.229,0.749718,0.52687,0.395004,0.1,0.841678,03:40.2,0.39485590000000004,0,0
2025-09-16T11:03:40.329,0.74945,0.51794,0.38817,0.099999,0.880495,03:40.3,0.394863,0,0
2025-09-16T11:03:40.429,0.74945,0.52687,0.394863,0.1,0.919982,03:40.4,0.394863,0,0
2025-09-16T11:03:40.529,0.748644,0.5358,0.401123,0.1,0.960094,03:40.5,0.394863,0,0
2025-09-16T11:03:40.630,0.748644,0.52687,0.394438,0.100001,0.999538,03:40.6,0.39485590000000004,0,0
2025-09-16T11:03:40.729,0.74945,0.52687,0.394863,0.1,1.039024,03:40.7,0.3948417,0,0
2025-09-16T11:03:40.829,0.74945,0.52687,0.394863,0.1,1.07851,03:40.8,0.39483460000000004,0,0
2025-09-16T11:03:40.929,0.749987,0.5358,0.401843,0.100003,1.118696,03:40.9,0.3948275,0,0
2025-09-16T11:03:41.029,0.749181,0.52687,0.394721,0.099998,1.158167,03:41.0,0.3948204,0,0
2025-09-16T11:03:41.129,0.749181,0.52687,0.394721,0.099999,1.197639,03:41.1,0.3948062,0,0
2025-09-16T11:03:41.229,0.74945,0.52687,0.394863,0.1,1.237125,03:41.2,0.39478495,0,0
2025-09-16T11:03:41.329,0.748913,0.52687,0.39458,0.099999,1.276583,03:41.3,0.39475665000000004,0,0
2025-09-16T11:03:41.429,0.748644,0.52687,0.394438,0.1,1.316027,03:41.4,0.39472835,0,0
2025-09-16T11:03:41.529,0.749718,0.51794,0.388309,0.100001,1.354858,03:41.5,0.39470005,0,0
2025-09-16T11:03:41.630,0.749987,0.52687,0.395146,0.1,1.394372,03:41.6,0.39467884999999997,0,0
2025-09-16T11:03:41.729,0.749718,0.52687,0.395004,0.1,1.433873,03:41.7,0.3946789,0,0
2025-09-16T11:03:41.829,0.74945,0.52687,0.394863,0.100002,1.47336,03:41.8,0.3946577,0,0
2025-09-16T11:03:41.929,0.748644,0.52687,0.394438,0.1,1.512803,03:41.9,0.39463649999999995,0,0
2025-09-16T11:03:42.030,0.74945,0.51794,0.38817,0.100006,1.551622,03:42.0,0.3946153,0,0
2025-09-16T11:03:42.129,0.748913,0.52687,0.39458,0.099997,1.591079,03:42.1,0.3946012,0,0
