Timestamp,Voltage (V),Current (A),Power (W),Energy So Far (Joules)
2025-08-29T11:15:15,0.874358,1.285920,1.124355,0.1124
2025-08-29T11:15:15,0.803711,0.669750,0.538285,0.1663
2025-08-29T11:15:15,0.749181,0.544730,0.408101,0.2071
2025-08-29T11:15:15,0.748644,0.544730,0.407809,0.2479
2025-08-29T11:15:16,0.748375,0.544730,0.407663,0.2886
2025-08-29T11:15:16,0.748644,0.544730,0.407809,0.3294
2025-08-29T11:15:16,0.748913,0.544730,0.407955,0.3702
2025-08-29T11:15:16,0.748375,0.553660,0.414346,0.4116
2025-08-29T11:15:16,0.748375,0.544730,0.407663,0.4524
2025-08-29T11:15:17,0.748644,0.544730,0.407809,0.4932
2025-08-29T11:15:17,0.748913,0.544730,0.407955,0.5340
2025-08-29T11:15:17,0.749987,0.544730,0.408540,0.5748
2025-08-29T11:15:17,0.749181,0.544730,0.408101,0.6156
2025-08-29T11:15:18,0.749181,0.544730,0.408101,0.6564
2025-08-29T11:15:18,0.748375,0.544730,0.407663,0.6972
2025-08-29T11:15:18,0.748913,0.544730,0.407955,0.7380
2025-08-29T11:15:18,0.748913,0.544730,0.407955,0.7788
2025-08-29T11:15:18,0.748913,0.544730,0.407955,0.8196
2025-08-29T11:15:19,0.748375,0.535800,0.400980,0.8597
2025-08-29T11:15:19,0.749450,0.535800,0.401555,0.8999
2025-08-29T11:15:19,0.748644,0.535800,0.401123,0.9400
2025-08-29T11:15:19,0.748644,0.544730,0.407809,0.9807
2025-08-29T11:15:19,0.747569,0.544730,0.407223,1.0215
2025-08-29T11:15:20,0.749450,0.535800,0.401555,1.0616
2025-08-29T11:15:20,0.748644,0.544730,0.407809,1.1024
2025-08-29T11:15:20,0.794578,0.634030,0.503786,1.1528
2025-08-29T11:15:20,0.749987,0.544730,0.408540,1.1936
2025-08-29T11:15:20,0.749450,0.544730,0.408248,1.2345
2025-08-29T11:15:21,0.749450,0.544730,0.408248,1.2753
2025-08-29T11:15:21,0.748375,0.544730,0.407663,1.3161
2025-08-29T11:15:21,0.748644,0.544730,0.407809,1.3568
2025-08-29T11:15:21,0.749450,0.544730,0.408248,1.3977
2025-08-29T11:15:22,0.749718,0.535800,0.401699,1.4378
2025-08-29T11:15:22,0.749987,0.544730,0.408540,1.4787
2025-08-29T11:15:22,0.749181,0.544730,0.408101,1.5195
2025-08-29T11:15:22,0.749450,0.544730,0.408248,1.5603
2025-08-29T11:15:22,0.749181,0.544730,0.408101,1.6011
2025-08-29T11:15:23,0.749450,0.535800,0.401555,1.6413
2025-08-29T11:15:23,0.749450,0.544730,0.408248,1.6821
2025-08-29T11:15:23,0.748107,0.544730,0.407516,1.7229
2025-08-29T11:15:23,0.748913,0.553660,0.414643,1.7643
2025-08-29T11:15:23,0.748913,0.553660,0.414643,1.8058
2025-08-29T11:15:24,0.749718,0.544730,0.408394,1.8466
2025-08-29T11:15:24,0.749450,0.544730,0.408248,1.8875
2025-08-29T11:15:24,0.748644,0.544730,0.407809,1.9282
2025-08-29T11:15:24,0.749450,0.544730,0.408248,1.9691
2025-08-29T11:15:24,0.749718,0.544730,0.408394,2.0099
2025-08-29T11:15:25,0.748375,0.544730,0.407663,2.0507
2025-08-29T11:15:25,0.748375,0.544730,0.407663,2.0914
2025-08-29T11:15:25,0.749450,0.553660,0.414940,2.1329
2025-08-29T11:15:25,0.748644,0.544730,0.407809,2.1737
2025-08-29T11:15:26,0.748644,0.544730,0.407809,2.2145
2025-08-29T11:15:26,0.748644,0.535800,0.401123,2.2546
2025-08-29T11:15:26,0.749181,0.544730,0.408101,2.2954
2025-08-29T11:15:26,0.749718,0.544730,0.408394,2.3363
2025-08-29T11:15:26,0.748644,0.544730,0.407809,2.3770
2025-08-29T11:15:27,0.749987,0.535800,0.401843,2.4172
2025-08-29T11:15:27,0.748644,0.535800,0.401123,2.4573
2025-08-29T11:15:27,0.749450,0.535800,0.401555,2.4975
2025-08-29T11:15:27,0.748913,0.544730,0.407955,2.5383
2025-08-29T11:15:27,0.748913,0.544730,0.407955,2.5791
2025-08-29T11:15:28,0.749450,0.544730,0.408248,2.6199
2025-08-29T11:15:28,0.748375,0.535800,0.400980,2.6600
2025-08-29T11:15:28,0.748913,0.544730,0.407955,2.7008
2025-08-29T11:15:28,0.748107,0.535800,0.400836,2.7409
2025-08-29T11:15:29,0.748375,0.544730,0.407663,2.7816
