,period,load,exp_duration,experiment,duration,energy,power_avg,ID
0,0.0,0,80015,sleep,80.009,188.5079000000062,2.3560836905848865,53
1,0.0,0,80015,sleep,80.007,188.83107500000446,2.3601819215819173,160
2,0.0,0,80015,sleep,80.01,188.75362500000602,2.3591254218223474,171
3,0.0,0,80015,sleep,80.011,188.82615000000595,2.360002374673557,206
4,0.0,0,80015,sleep,80.008,189.07225000000594,2.3631668083192423,224
5,0.0,0,80015,sleep,80.008,188.745125000007,2.359078154684619,235
6,0.0,0,80015,sleep,80.007,188.93002500000478,2.361418688364828,254
7,0.0,0,80015,sleep,80.008,189.03222500000413,2.3626665458454674,309
8,0.0,0,80014,sleep,80.01,188.57415000000668,2.356882264716994,327
9,0.0,0,80015,sleep,80.007,188.8091750000054,2.359908195532958,345
10,0.0,0,80015,sleep,80.008,188.9189000000056,2.3612501249875715,389
11,0.0,0,80016,sleep,80.008,189.1821500000069,2.3645404209579906,391
12,0.0,0,80016,sleep,80.005,188.62972500000677,2.3577242047372886,392
13,0.0,0,80015,sleep,80.01,189.1771250000075,2.3644185101863204,413
14,0.0,0,80016,sleep,80.014,188.89255000000577,2.3607437448447244,453
15,0.0,0,80015,sleep,80.008,188.5550000000049,2.3567018298170797,501
16,0.0,0,80016,sleep,80.009,188.73080000000576,2.3588696271670155,544
17,0.0,0,80014,sleep,80.008,188.81095000000496,2.3599008849115712,550
18,0.0,0,80015,sleep,80.009,188.84195000000696,2.3602588458799256,559
19,0.0,0,80015,sleep,80.009,188.54642500000483,2.3565651989151823,582
20,0.0,0,80015,sleep,80.011,188.51880000000622,2.3561610278587475,587
21,0.0,0,80015,sleep,80.009,189.0056000000064,2.362304240772993,610
22,0.0,0,80015,sleep,80.007,188.83067500000487,2.360176922019384,652
23,0.0,0,80014,sleep,80.006,188.76575000000597,2.359394920381046,659
24,0.0,0,80015,sleep,80.01,189.00340000000918,2.3622472190977275,663
25,0.0,0,80015,sleep,80.001,188.56482500000567,2.3570308496144508,684
26,0.0,0,80015,sleep,80.01,188.6742250000061,2.358133045869342,687
27,0.0,0,80015,sleep,80.008,189.46380000000494,2.3680606939306688,701
28,0.0,0,80015,sleep,80.008,188.73120000000569,2.3589041095891123,704
