,period,exp_duration,experiment,duration,energy,power_avg,ID
0,0.01,80022,stress-ng,80.017,265.00507500001686,3.3118596673209053,307
1,0.01,80028,stress-ng,80.022,332.2830499999926,4.152396216040496,583
2,0.01,80027,stress-ng,80.022,332.5094749999967,4.155225750418594,165
3,0.01,80022,stress-ng,80.018,264.4264750000192,3.30458740533404,168
4,0.01,80021,stress-ng,80.014,264.44295000002035,3.3049585072614835,173
5,0.01,80023,stress-ng,80.014,266.0350500000156,3.3248562751520434,395
6,0.01,80025,stress-ng,80.017,192.650274999992,2.4076168189258786,177
7,0.01,80030,stress-ng,80.028,318.03622500001035,3.974061890838336,449
8,0.01,80023,stress-ng,80.018,281.2925250000023,3.5153656052388498,361
9,0.01,80027,stress-ng,80.025,331.9333499999959,4.147870665417006,187
10,0.01,80023,stress-ng,80.022,332.3079749999981,4.152707692884433,192
11,0.01,80061,stress-ng,80.059,282.1865499999937,3.5247323848660828,45
12,0.01,80027,stress-ng,80.023,192.05869999999223,2.4000437374253933,200
13,0.01,80029,stress-ng,80.024,316.446675000002,3.9543971183645157,598
14,0.01,80027,stress-ng,80.024,192.45014999999256,2.4049054033788932,296
15,0.01,80035,stress-ng,80.03,316.8773500000067,3.9594820692241246,186
16,0.01,80025,stress-ng,80.021,192.48159999999422,2.405388585496235,206
17,0.01,80022,stress-ng,80.02,299.49529999999515,3.742755561109662,387
18,0.01,80022,stress-ng,80.018,265.5383000000151,3.3184820915295945,331
19,0.01,80022,stress-ng,80.019,282.47112499999594,3.530050675464526,465
20,0.01,80025,stress-ng,80.023,192.52642499999155,2.405888619521782,571
21,0.01,80039,stress-ng,80.036,316.51097500000304,3.954607614073705,463
22,0.01,80022,stress-ng,80.018,332.52985000000314,4.155688095178624,351
23,0.01,80025,stress-ng,80.019,192.71114999999227,2.408317399617494,122
24,0.01,80023,stress-ng,80.019,332.1953500000051,4.15145590422281,470
25,0.01,80023,stress-ng,80.017,282.61127499999947,3.531890410787701,482
26,0.01,80022,stress-ng,80.013,262.12237500001305,3.2759973379327487,125
27,0.01,80054,stress-ng,80.033,300.4097999999924,3.7535741506627565,129
28,0.01,80025,stress-ng,80.02,192.36972499998976,2.404020557360532,373
29,0.01,80032,stress-ng,80.025,316.1054750000026,3.950084036238708,340
30,0.01,80025,stress-ng,80.022,192.48569999999174,2.40540976231526,336
31,0.01,80053,stress-ng,80.047,300.8531749999926,3.758456594250785,148
32,0.01,80027,stress-ng,80.026,316.6067250000018,3.9562982655637144,550
33,0.01,80027,stress-ng,80.019,331.71630000000533,4.145469201064813,471
34,0.01,80027,stress-ng,80.019,317.24262499999685,3.964591222084715,527
35,0.01,80058,stress-ng,80.048,300.82417499999883,3.7580473590845345,363
36,0.01,80024,stress-ng,80.015,317.6730250000002,3.970168405923892,5
37,0.01,80025,stress-ng,80.018,332.2140500000027,4.1517414831663215,510
38,0.01,80022,stress-ng,80.017,282.5322500000028,3.5309028081533027,19
39,0.01,80026,stress-ng,80.02,192.24259999999188,2.402431892026892,507
40,0.01,80022,stress-ng,80.019,282.4689749999966,3.5300238068458314,516
41,0.01,80056,stress-ng,80.053,300.1470249999956,3.749353865564009,505
42,0.01,80022,stress-ng,80.015,282.58412499999434,3.5316393801161574,504
43,0.01,80023,stress-ng,80.015,263.9339000000167,3.2985552708869177,10
44,0.01,80023,stress-ng,80.018,264.45592500001567,3.304955447524503,222
45,0.01,80097,stress-ng,80.094,282.45442499999524,3.526536631957391,256
46,0.01,80036,stress-ng,80.031,300.93097499999226,3.7601801177042926,424
47,0.01,80031,stress-ng,80.028,317.20105000000393,3.963625855950466,247
48,0.01,80023,stress-ng,80.017,331.7547750000072,4.146053651099232,35
49,0.01,80036,stress-ng,80.035,300.62399999999025,3.7561566814517433,427
50,0.01,80025,stress-ng,80.017,283.31417500000043,3.540674794106258,411
51,0.01,80045,stress-ng,80.035,316.9292250000051,3.9598828637471746,218
52,0.01,80025,stress-ng,80.015,332.04837499999445,4.149826595013366,274
53,0.01,80051,stress-ng,80.043,300.19249999999505,3.7503904151517937,590
54,0.01,80024,stress-ng,80.017,300.7918999999907,3.7590999412623654,409
55,0.01,80022,stress-ng,80.015,283.17662499999904,3.5390442417046684,272
56,0.01,80023,stress-ng,80.019,264.8076000000164,3.3093090391034177,11
57,0.01,80041,stress-ng,80.038,300.78699999999674,3.758052425098038,526
58,0.01,80022,stress-ng,80.017,265.2282000000203,3.314648137271084,34
59,0.01,80025,stress-ng,80.023,192.32829999998947,2.4034127688288303,413
60,0.02,80024,stress-ng,80.017,301.04227499999183,3.762228963845081,341
61,0.02,80057,stress-ng,80.044,301.40802499999745,3.765529271400698,137
62,0.02,80152,stress-ng,80.147,266.1025500000126,3.3201810423348674,131
63,0.02,80023,stress-ng,80.017,265.79922500001777,3.321784433308144,292
64,0.02,80022,stress-ng,80.015,284.0111500000024,3.549473848653407,128
65,0.02,80022,stress-ng,80.019,300.4387249999948,3.7545923468175655,140
66,0.02,80023,stress-ng,80.012,300.1877749999966,3.751784419836982,350
67,0.02,80234,stress-ng,80.231,266.1421750000113,3.3171987760343424,115
68,0.02,80022,stress-ng,80.017,281.79937499999784,3.5217438169388737,358
69,0.02,80024,stress-ng,80.014,332.14492499999466,4.151085122603478,264
70,0.02,80025,stress-ng,80.019,192.16399999999373,2.401479648583383,561
71,0.02,80025,stress-ng,80.02,316.88597500000304,3.960084666333455,104
72,0.02,80024,stress-ng,80.016,332.41827500000056,4.154397557988409,260
73,0.02,80025,stress-ng,80.023,332.05267500000025,4.149465466178477,337
74,0.02,80022,stress-ng,80.02,317.1147750000035,3.9629439515121656,548
75,0.02,80063,stress-ng,80.061,283.01402499999637,3.5349798903335747,335
76,0.02,80029,stress-ng,80.026,316.12175000000104,3.950238047634532,528
77,0.02,80022,stress-ng,80.014,315.9482500000041,3.9486621091309537,286
