timestamp,channel,action,payload
1761303722899,CH1,POWER,2.50
1761303722903,CH1,POWER,2.50
1761303722907,CH1,POWER,2.50
1761303722913,CH1,POWER,2.50
1761303722920,CH1,POWER,2.50
1761303722924,CH1,POWER,2.50
1761303722930,CH1,POWER,2.50
1761303722934,CH1,POWER,2.50
1761303722939,CH1,POWER,2.50
1761303722944,CH1,POWER,2.50
1761303722950,CH1,POWER,2.50
1761303722954,CH1,POWER,2.50
1761303722960,CH1,POWER,2.50
1761303722964,CH1,POWER,2.50
1761303722970,CH1,POWER,2.50
1761303722974,CH1,POWER,2.50
1761303722980,CH1,POWER,2.50
1761303722988,CH1,POWER,2.50
1761303722992,CH1,POWER,2.50
1761303722998,CH1,POWER,2.50
1761303723002,CH1,POWER,2.50
1761303723008,CH1,POWER,2.50
1761303723012,CH1,POWER,2.50
1761303723018,CH1,POWER,2.50
1761303723022,CH1,POWER,2.50
1761303723028,CH1,POWER,2.50
1761303723032,CH1,POWER,2.50
1761303723038,CH1,POWER,2.50
1761303723043,CH1,POWER,2.50
1761303723049,CH1,POWER,2.50
1761303723056,CH1,POWER,2.50
1761303723060,CH1,POWER,2.50
1761303723066,CH1,POWER,2.50
1761303723070,CH1,POWER,2.50
1761303723074,CH1,POWER,2.50
1761303723080,CH1,POWER,2.50
1761303723086,CH1,POWER,2.50
1761303723090,CH1,POWER,2.50
1761303723094,CH1,POWER,2.50
1761303723100,CH1,POWER,2.50
1761303723108,CH1,POWER,2.50
1761303723114,CH1,POWER,2.50
1761303723120,CH1,POWER,2.50
1761303723128,CH1,POWER,2.50
1761303723134,CH1,POWER,2.50
1761303723140,CH1,POWER,2.50
1761303723144,CH1,POWER,2.50
1761303723149,CH1,POWER,2.50
1761303723152,CH1,POWER,2.50
1761303723155,CH1,POWER,2.50
1761303723183,CH1,POWER,2.50
1761303723188,CH1,POWER,2.50
1761303723193,CH1,POWER,2.50
1761303723198,CH1,POWER,2.50
1761303723203,CH1,POWER,2.50
1761303723208,CH1,POWER,2.50
1761303723212,CH1,POWER,2.50
1761303723218,CH1,POWER,2.50
1761303723222,CH1,POWER,2.50
1761303723231,CH1,POWER,2.50
1761303723236,CH1,POWER,2.50
1761303723242,CH1,POWER,2.50
1761303723248,CH1,POWER,2.50
1761303723253,CH1,POWER,2.50
1761303723258,CH1,POWER,2.50
