timestamp,channel,action,payload
1761304300337,CH1,POWER,2.35
1761304300365,CH1,POWER,2.35
1761304300373,CH1,POWER,2.35
1761304300377,CH1,POWER,2.35
1761304300383,CH1,POWER,2.35
1761304300387,CH1,POWER,2.35
1761304300393,CH1,POWER,2.35
1761304300397,CH1,POWER,2.35
1761304300403,CH1,POWER,2.35
1761304300409,CH1,POWER,2.35
1761304300415,CH1,POWER,2.35
1761304300419,CH1,POWER,2.35
1761304300425,CH1,POWER,2.35
1761304300433,CH1,POWER,2.35
1761304300437,CH1,POWER,2.35
1761304300445,CH1,POWER,2.35
1761304300453,CH1,POWER,2.35
1761304300457,CH1,POWER,2.35
1761304300463,CH1,POWER,2.35
1761304300467,CH1,POWER,2.35
1761304300473,CH1,POWER,2.35
1761304300477,CH1,POWER,2.35
1761304300483,CH1,POWER,2.35
1761304300488,CH1,POWER,2.35
1761304300492,CH1,POWER,2.35
1761304300496,CH1,POWER,2.35
1761304300500,CH1,POWER,2.35
1761304300505,CH1,POWER,2.35
1761304300509,CH1,POWER,2.35
1761304300515,CH1,POWER,2.35
1761304300519,CH1,POWER,2.35
1761304300524,CH1,POWER,2.35
1761304300528,CH1,POWER,2.35
1761304300534,CH1,POWER,2.35
1761304300539,CH1,POWER,2.35
1761304300545,CH1,POWER,2.35
1761304300553,CH1,POWER,2.35
1761304300558,CH1,POWER,2.35
1761304300565,CH1,POWER,2.35
1761304300570,CH1,POWER,2.35
1761304300575,CH1,POWER,2.35
1761304300583,CH1,POWER,2.35
1761304300589,CH1,POWER,2.35
1761304300595,CH1,POWER,2.35
1761304300600,CH1,POWER,2.35
1761304300605,CH1,POWER,2.35
1761304300610,CH1,POWER,2.35
1761304300615,CH1,POWER,2.35
1761304300620,CH1,POWER,2.35
1761304300625,CH1,POWER,2.35
1761304300630,CH1,POWER,2.35
1761304300635,CH1,POWER,2.35
1761304300640,CH1,POWER,2.35
1761304300645,CH1,POWER,2.35
1761304300650,CH1,POWER,2.35
1761304300655,CH1,POWER,2.35
1761304300660,CH1,POWER,2.35
1761304300665,CH1,POWER,2.35
1761304300670,CH1,POWER,2.35
1761304300675,CH1,POWER,2.35
