timestamp,channel,action,payload
1764065339364,CH1,POWER,2.35
1764065339369,CH1,POWER,2.35
1764065339375,CH1,POWER,2.35
1764065339379,CH1,POWER,2.35
1764065339385,CH1,POWER,2.35
1764065339389,CH1,POWER,2.35
1764065339395,CH1,POWER,2.35
1764065339399,CH1,POWER,2.35
1764065339405,CH1,POWER,2.35
1764065339410,CH1,POWER,2.35
1764065339414,CH1,POWER,2.35
1764065339418,CH1,POWER,2.35
1764065339423,CH1,POWER,2.35
1764065339427,CH1,POWER,2.35
1764065339431,CH1,POWER,2.35
1764065339437,CH1,POWER,2.35
1764065339441,CH1,POWER,2.35
1764065339447,CH1,POWER,2.35
1764065339451,CH1,POWER,2.35
1764065339457,CH1,POWER,2.35
1764065339461,CH1,POWER,2.35
1764065339467,CH1,POWER,2.35
1764065339471,CH1,POWER,2.35
1764065339477,CH1,POWER,2.35
1764065339481,CH1,POWER,2.35
1764065339487,CH1,POWER,2.35
1764065339491,CH1,POWER,2.35
1764065339496,CH1,POWER,2.35
1764065339500,CH1,POWER,2.35
1764065339504,CH1,POWER,2.35
1764065339508,CH1,POWER,2.35
1764065339513,CH1,POWER,2.35
1764065339517,CH1,POWER,2.35
1764065339521,CH1,POWER,2.35
1764065339527,CH1,POWER,2.35
1764065339531,CH1,POWER,2.35
1764065339537,CH1,POWER,2.35
1764065339541,CH1,POWER,2.35
1764065339547,CH1,POWER,2.35
1764065339551,CH1,POWER,2.35
1764065339557,CH1,POWER,2.35
1764065339561,CH1,POWER,2.35
1764065339567,CH1,POWER,2.35
1764065339571,CH1,POWER,2.35
1764065339577,CH1,POWER,2.35
1764065339581,CH1,POWER,2.35
1764065339587,CH1,POWER,2.35
1764065339591,CH1,POWER,2.35
1764065339597,CH1,POWER,2.35
1764065339601,CH1,POWER,2.35
1764065339607,CH1,POWER,2.35
1764065339611,CH1,POWER,2.35
1764065339617,CH1,POWER,2.35
1764065339621,CH1,POWER,2.35
1764065339627,CH1,POWER,2.35
1764065339631,CH1,POWER,2.35
1764065339637,CH1,POWER,2.35
1764065339643,CH1,POWER,2.35
1764065339647,CH1,POWER,2.35
1764065339651,CH1,POWER,2.35
1764065339655,CH1,POWER,2.35
1764065339657,CH1,POWER,2.35
1764065339660,CH1,POWER,2.35
1764065339685,CH1,POWER,2.35
1764065339689,CH1,POWER,2.35
1764065339693,CH1,POWER,2.35
1764065339699,CH1,POWER,2.35
1764065339703,CH1,POWER,2.35
1764065339709,CH1,POWER,2.35
1764065339713,CH1,POWER,2.35
1764065339719,CH1,POWER,2.35
1764065339723,CH1,POWER,2.35
1764065339729,CH1,POWER,2.35
1764065339735,CH1,POWER,2.35
1764065339739,CH1,POWER,2.35
1764065339743,CH1,POWER,2.35
1764065339749,CH1,POWER,2.35
1764065339753,CH1,POWER,2.35
1764065339758,CH1,POWER,2.35
1764065339762,CH1,POWER,2.35
1764065339766,CH1,POWER,2.35
1764065339770,CH1,POWER,2.35
1764065339775,CH1,POWER,2.35
1764065339779,CH1,POWER,2.35
1764065339784,CH1,POWER,2.35
1764065339788,CH1,POWER,2.35
1764065339792,CH1,POWER,2.35
1764065339796,CH1,POWER,2.35
1764065339800,CH1,POWER,2.35
1764065339805,CH1,POWER,2.35
1764065339809,CH1,POWER,2.35
1764065339813,CH1,POWER,2.35
1764065339819,CH1,POWER,2.35
1764065339825,CH1,POWER,2.35
1764065339829,CH1,POWER,2.35
1764065339837,CH1,POWER,2.35
1764065339843,CH1,POWER,2.35
1764065339848,CH1,POWER,2.35
1764065339855,CH1,POWER,2.35
1764065339859,CH1,POWER,2.35
1764065339863,CH1,POWER,2.35
1764065339869,CH1,POWER,2.35
1764065339877,CH1,POWER,2.35
1764065339881,CH1,POWER,2.35
1764065339887,CH1,POWER,2.35
1764065339891,CH1,POWER,2.35
1764065339897,CH1,POWER,2.35
1764065339901,CH1,POWER,2.35
1764065339907,CH1,POWER,2.35
1764065339911,CH1,POWER,2.35
1764065339917,CH1,POWER,2.35
1764065339921,CH1,POWER,2.35
1764065339927,CH1,POWER,2.35
1764065339931,CH1,POWER,2.35
1764065339937,CH1,POWER,2.35
1764065339941,CH1,POWER,2.35
1764065339947,CH1,POWER,2.35
1764065339951,CH1,POWER,2.35
1764065339957,CH1,POWER,2.35
1764065339961,CH1,POWER,2.35
1764065339969,CH1,POWER,2.35
1764065339973,CH1,POWER,2.35
1764065339979,CH1,POWER,2.35
1764065339983,CH1,POWER,2.35
1764065339989,CH1,POWER,2.35
1764065339993,CH1,POWER,2.35
1764065339999,CH1,POWER,2.35
1764065340003,CH1,POWER,2.35
1764065340009,CH1,POWER,2.35
1764065340013,CH1,POWER,2.35
1764065340019,CH1,POWER,2.35
1764065340023,CH1,POWER,2.35
1764065340029,CH1,POWER,2.35
1764065340033,CH1,POWER,2.35
1764065340039,CH1,POWER,2.35
1764065340043,CH1,POWER,2.35
1764065340049,CH1,POWER,2.35
1764065340053,CH1,POWER,2.35
1764065340080,CH1,POWER,2.35
1764065340084,CH1,POWER,2.35
