timestamp,channel,action,payload
1764060975818,CH1,POWER,2.35
1764060975826,CH1,POWER,2.35
1764060975830,CH1,POWER,2.35
1764060975836,CH1,POWER,2.35
1764060975840,CH1,POWER,2.35
1764060975846,CH1,POWER,2.35
1764060975854,CH1,POWER,2.35
1764060975858,CH1,POWER,2.35
1764060975864,CH1,POWER,2.35
1764060975868,CH1,POWER,2.35
1764060975874,CH1,POWER,2.35
1764060975878,CH1,POWER,2.35
1764060975884,CH1,POWER,2.35
1764060975888,CH1,POWER,2.35
1764060975894,CH1,POWER,2.35
1764060975898,CH1,POWER,2.35
1764060975904,CH1,POWER,2.35
1764060975906,CH1,POWER,2.35
1764060975909,CH1,POWER,2.35
1764060975935,CH1,POWER,2.35
1764060975942,CH1,POWER,2.35
1764060975948,CH1,POWER,2.35
1764060975952,CH1,POWER,2.35
1764060975958,CH1,POWER,2.35
1764060975962,CH1,POWER,2.35
1764060975968,CH1,POWER,2.35
1764060975972,CH1,POWER,2.35
1764060975978,CH1,POWER,2.35
1764060975982,CH1,POWER,2.35
1764060975987,CH1,POWER,2.35
1764060975991,CH1,POWER,2.35
1764060975995,CH1,POWER,2.35
1764060975999,CH1,POWER,2.35
1764060976003,CH1,POWER,2.35
1764060976008,CH1,POWER,2.35
1764060976012,CH1,POWER,2.35
1764060976018,CH1,POWER,2.35
1764060976022,CH1,POWER,2.35
1764060976028,CH1,POWER,2.35
1764060976032,CH1,POWER,2.35
1764060976038,CH1,POWER,2.35
1764060976042,CH1,POWER,2.35
1764060976048,CH1,POWER,2.35
1764060976052,CH1,POWER,2.35
1764060976058,CH1,POWER,2.35
1764060976062,CH1,POWER,2.35
1764060976068,CH1,POWER,2.35
1764060976072,CH1,POWER,2.35
1764060976078,CH1,POWER,2.35
1764060976082,CH1,POWER,2.35
1764060976088,CH1,POWER,2.35
1764060976092,CH1,POWER,2.35
1764060976098,CH1,POWER,2.35
1764060976102,CH1,POWER,2.35
1764060976108,CH1,POWER,2.35
1764060976112,CH1,POWER,2.35
1764060976118,CH1,POWER,2.35
1764060976122,CH1,POWER,2.35
1764060976128,CH1,POWER,2.35
1764060976133,CH1,POWER,2.35
1764060976138,CH1,POWER,2.35
1764060976142,CH1,POWER,2.35
1764060976148,CH1,POWER,2.35
1764060976152,CH1,POWER,2.35
1764060976158,CH1,POWER,2.35
1764060976162,CH1,POWER,2.35
1764060976168,CH1,POWER,2.35
1764060976172,CH1,POWER,2.35
1764060976178,CH1,POWER,2.35
1764060976182,CH1,POWER,2.35
1764060976188,CH1,POWER,2.35
1764060976193,CH1,POWER,2.35
1764060976198,CH1,POWER,2.35
1764060976202,CH1,POWER,2.35
1764060976208,CH1,POWER,2.35
1764060976212,CH1,POWER,2.35
1764060976218,CH1,POWER,2.35
1764060976222,CH1,POWER,2.35
1764060976228,CH1,POWER,2.35
1764060976232,CH1,POWER,2.35
1764060976238,CH1,POWER,2.35
1764060976246,CH1,POWER,2.35
1764060976252,CH1,POWER,2.35
1764060976258,CH1,POWER,2.35
1764060976263,CH1,POWER,2.35
1764060976268,CH1,POWER,2.35
1764060976272,CH1,POWER,2.35
1764060976278,CH1,POWER,2.35
1764060976282,CH1,POWER,2.35
1764060976288,CH1,POWER,2.35
1764060976292,CH1,POWER,2.35
1764060976298,CH1,POWER,2.35
1764060976301,CH1,POWER,2.35
1764060976327,CH1,POWER,2.35
1764060976331,CH1,POWER,2.35
1764060976338,CH1,POWER,2.35
1764060976344,CH1,POWER,2.35
1764060976350,CH1,POWER,2.35
1764060976358,CH1,POWER,2.35
1764060976364,CH1,POWER,2.35
1764060976370,CH1,POWER,2.35
1764060976378,CH1,POWER,2.35
1764060976383,CH1,POWER,2.35
1764060976389,CH1,POWER,2.35
1764060976395,CH1,POWER,2.35
1764060976400,CH1,POWER,2.35
1764060976404,CH1,POWER,2.35
1764060976410,CH1,POWER,2.35
1764060976414,CH1,POWER,2.35
1764060976420,CH1,POWER,2.35
1764060976424,CH1,POWER,2.35
1764060976429,CH1,POWER,2.35
1764060976433,CH1,POWER,2.35
1764060976437,CH1,POWER,2.35
1764060976441,CH1,POWER,2.35
1764060976445,CH1,POWER,2.35
1764060976450,CH1,POWER,2.35
1764060976454,CH1,POWER,2.35
1764060976460,CH1,POWER,2.35
1764060976464,CH1,POWER,2.35
1764060976470,CH1,POWER,2.35
1764060976474,CH1,POWER,2.35
1764060976480,CH1,POWER,2.35
1764060976484,CH1,POWER,2.35
1764060976490,CH1,POWER,2.35
1764060976494,CH1,POWER,2.35
1764060976500,CH1,POWER,2.35
1764060976504,CH1,POWER,2.35
1764060976510,CH1,POWER,2.35
1764060976514,CH1,POWER,2.35
1764060976520,CH1,POWER,2.35
1764060976524,CH1,POWER,2.35
1764060976530,CH1,POWER,2.35
1764060976534,CH1,POWER,2.35
1764060976540,CH1,POWER,2.35
1764060976544,CH1,POWER,2.35
1764060976550,CH1,POWER,2.35
1764060976554,CH1,POWER,2.35
1764060976560,CH1,POWER,2.35
1764060976565,CH1,POWER,2.35
1764060976570,CH1,POWER,2.35
1764060976578,CH1,POWER,2.35
1764060976584,CH1,POWER,2.35
1764060976590,CH1,POWER,2.35
1764060976595,CH1,POWER,2.35
1764060976600,CH1,POWER,2.35
1764060976604,CH1,POWER,2.35
1764060976610,CH1,POWER,2.35
1764060976614,CH1,POWER,2.35
1764060976620,CH1,POWER,2.35
1764060976624,CH1,POWER,2.35
1764060976630,CH1,POWER,2.35
1764060976638,CH1,POWER,2.35
1764060976642,CH1,POWER,2.35
1764060976650,CH1,POWER,2.35
1764060976654,CH1,POWER,2.35
1764060976660,CH1,POWER,2.35
1764060976668,CH1,POWER,2.35
1764060976674,CH1,POWER,2.35
1764060976680,CH1,POWER,2.35
1764060976685,CH1,POWER,2.35
1764060976690,CH1,POWER,2.35
1764060976694,CH1,POWER,2.35
1764060976721,CH1,POWER,2.35
1764060976725,CH1,POWER,2.35
1764060976729,CH1,POWER,2.35
1764060976733,CH1,POWER,2.35
1764060976737,CH1,POWER,2.35
1764060976742,CH1,POWER,2.35
1764060976750,CH1,POWER,2.35
1764060976755,CH1,POWER,2.35
1764060976761,CH1,POWER,2.35
1764060976765,CH1,POWER,2.35
1764060976769,CH1,POWER,2.35
1764060976774,CH1,POWER,2.35
1764060976782,CH1,POWER,2.35
1764060976794,CH1,POWER,2.35
1764060976800,CH1,POWER,2.35
1764060976804,CH1,POWER,2.35
1764060976810,CH1,POWER,2.35
1764060976814,CH1,POWER,2.35
1764060976820,CH1,POWER,2.35
1764060976824,CH1,POWER,2.35
1764060976830,CH1,POWER,2.35
1764060976836,CH1,POWER,2.35
1764060976842,CH1,POWER,2.35
