timestamp,channel,action,payload
1762858366505,CH1,POWER,2.35
1762858366512,CH1,POWER,2.35
1762858366517,CH1,POWER,2.35
1762858366521,CH1,POWER,2.35
1762858366525,CH1,POWER,2.35
1762858366530,CH1,POWER,2.35
1762858366534,CH1,POWER,2.35
1762858366538,CH1,POWER,2.35
1762858366544,CH1,POWER,2.35
1762858366548,CH1,POWER,2.35
1762858366554,CH1,POWER,2.35
1762858366558,CH1,POWER,2.35
1762858366564,CH1,POWER,2.35
1762858366568,CH1,POWER,2.35
1762858366574,CH1,POWER,2.35
1762858366582,CH1,POWER,2.35
1762858366588,CH1,POWER,2.35
1762858366594,CH1,POWER,2.35
1762858366598,CH1,POWER,2.35
1762858366604,CH1,POWER,2.35
1762858366608,CH1,POWER,2.35
1762858366614,CH1,POWER,2.35
1762858366618,CH1,POWER,2.35
1762858366624,CH1,POWER,2.35
1762858366628,CH1,POWER,2.35
1762858366634,CH1,POWER,2.35
1762858366638,CH1,POWER,2.35
1762858366644,CH1,POWER,2.35
1762858366648,CH1,POWER,2.35
1762858366654,CH1,POWER,2.35
1762858366658,CH1,POWER,2.35
1762858366664,CH1,POWER,2.35
1762858366668,CH1,POWER,2.35
1762858366674,CH1,POWER,2.35
1762858366678,CH1,POWER,2.35
1762858366684,CH1,POWER,2.35
1762858366688,CH1,POWER,2.35
1762858366694,CH1,POWER,2.35
1762858366698,CH1,POWER,2.35
1762858366704,CH1,POWER,2.35
1762858366708,CH1,POWER,2.35
1762858366714,CH1,POWER,2.35
1762858366722,CH1,POWER,2.35
1762858366726,CH1,POWER,2.35
1762858366732,CH1,POWER,2.35
1762858366736,CH1,POWER,2.35
1762858366744,CH1,POWER,2.35
1762858366748,CH1,POWER,2.35
1762858366754,CH1,POWER,2.35
1762858366759,CH1,POWER,2.35
1762858366764,CH1,POWER,2.35
1762858366768,CH1,POWER,2.35
1762858366774,CH1,POWER,2.35
1762858366778,CH1,POWER,2.35
1762858366784,CH1,POWER,2.35
1762858366788,CH1,POWER,2.35
1762858366794,CH1,POWER,2.35
1762858366798,CH1,POWER,2.35
1762858366804,CH1,POWER,2.35
1762858366808,CH1,POWER,2.35
1762858366814,CH1,POWER,2.35
1762858366818,CH1,POWER,2.35
1762858366824,CH1,POWER,2.35
1762858366828,CH1,POWER,2.35
1762858366834,CH1,POWER,2.35
1762858366839,CH1,POWER,2.35
1762858366844,CH1,POWER,2.35
1762858366848,CH1,POWER,2.35
1762858366854,CH1,POWER,2.35
1762858366858,CH1,POWER,2.35
1762858366864,CH1,POWER,2.35
1762858366868,CH1,POWER,2.35
1762858366872,CH1,POWER,2.35
1762858366874,CH1,POWER,2.35
1762858366877,CH1,POWER,2.35
1762858366903,CH1,POWER,2.35
1762858366907,CH1,POWER,2.35
1762858366911,CH1,POWER,2.35
1762858366916,CH1,POWER,2.35
1762858366920,CH1,POWER,2.35
1762858366926,CH1,POWER,2.35
1762858366930,CH1,POWER,2.35
1762858366936,CH1,POWER,2.35
1762858366940,CH1,POWER,2.35
1762858366945,CH1,POWER,2.35
1762858366949,CH1,POWER,2.35
1762858366953,CH1,POWER,2.35
1762858366957,CH1,POWER,2.35
1762858366961,CH1,POWER,2.35
1762858366966,CH1,POWER,2.35
1762858366970,CH1,POWER,2.35
1762858366976,CH1,POWER,2.35
1762858366980,CH1,POWER,2.35
1762858366986,CH1,POWER,2.35
1762858366990,CH1,POWER,2.35
1762858366996,CH1,POWER,2.35
1762858367000,CH1,POWER,2.35
1762858367006,CH1,POWER,2.35
1762858367010,CH1,POWER,2.35
1762858367016,CH1,POWER,2.35
1762858367020,CH1,POWER,2.35
1762858367026,CH1,POWER,2.35
1762858367030,CH1,POWER,2.35
1762858367036,CH1,POWER,2.35
1762858367040,CH1,POWER,2.35
1762858367046,CH1,POWER,2.35
1762858367050,CH1,POWER,2.35
1762858367056,CH1,POWER,2.35
1762858367060,CH1,POWER,2.35
1762858367066,CH1,POWER,2.35
1762858367070,CH1,POWER,2.35
1762858367076,CH1,POWER,2.35
1762858367080,CH1,POWER,2.35
1762858367086,CH1,POWER,2.35
1762858367090,CH1,POWER,2.35
1762858367096,CH1,POWER,2.35
1762858367100,CH1,POWER,2.35
1762858367106,CH1,POWER,2.35
1762858367110,CH1,POWER,2.35
1762858367116,CH1,POWER,2.35
1762858367120,CH1,POWER,2.35
1762858367126,CH1,POWER,2.35
1762858367130,CH1,POWER,2.35
1762858367136,CH1,POWER,2.35
1762858367140,CH1,POWER,2.35
1762858367146,CH1,POWER,2.35
1762858367154,CH1,POWER,2.35
1762858367160,CH1,POWER,2.35
1762858367166,CH1,POWER,2.35
1762858367170,CH1,POWER,2.35
1762858367176,CH1,POWER,2.35
1762858367180,CH1,POWER,2.35
1762858367186,CH1,POWER,2.35
1762858367190,CH1,POWER,2.35
1762858367196,CH1,POWER,2.35
1762858367200,CH1,POWER,2.35
1762858367206,CH1,POWER,2.35
1762858367210,CH1,POWER,2.35
1762858367216,CH1,POWER,2.35
1762858367220,CH1,POWER,2.35
1762858367226,CH1,POWER,2.35
1762858367234,CH1,POWER,2.35
1762858367238,CH1,POWER,2.35
1762858367244,CH1,POWER,2.35
1762858367248,CH1,POWER,2.35
1762858367254,CH1,POWER,2.35
1762858367258,CH1,POWER,2.35
1762858367264,CH1,POWER,2.35
1762858367268,CH1,POWER,2.35
1762858367270,CH1,POWER,2.35
1762858367298,CH1,POWER,2.35
1762858367302,CH1,POWER,2.35
1762858367308,CH1,POWER,2.35
1762858367312,CH1,POWER,2.35
1762858367318,CH1,POWER,2.35
1762858367322,CH1,POWER,2.35
1762858367328,CH1,POWER,2.35
1762858367332,CH1,POWER,2.35
1762858367338,CH1,POWER,2.35
1762858367346,CH1,POWER,2.35
1762858367350,CH1,POWER,2.35
1762858367356,CH1,POWER,2.35
1762858367360,CH1,POWER,2.35
1762858367366,CH1,POWER,2.35
1762858367370,CH1,POWER,2.35
1762858367376,CH1,POWER,2.35
1762858367380,CH1,POWER,2.35
1762858367386,CH1,POWER,2.35
1762858367390,CH1,POWER,2.35
1762858367396,CH1,POWER,2.35
1762858367400,CH1,POWER,2.35
1762858367406,CH1,POWER,2.35
1762858367410,CH1,POWER,2.35
1762858367415,CH1,POWER,2.35
1762858367419,CH1,POWER,2.35
1762858367426,CH1,POWER,2.35
1762858367430,CH1,POWER,2.35
1762858367436,CH1,POWER,2.35
1762858367440,CH1,POWER,2.35
1762858367448,CH1,POWER,2.35
1762858367452,CH1,POWER,2.35
1762858367458,CH1,POWER,2.35
1762858367462,CH1,POWER,2.35
1762858367468,CH1,POWER,2.35
1762858367472,CH1,POWER,2.35
1762858367478,CH1,POWER,2.35
1762858367482,CH1,POWER,2.35
1762858367488,CH1,POWER,2.35
1762858367496,CH1,POWER,2.35
1762858367502,CH1,POWER,2.35
1762858367508,CH1,POWER,2.35
1762858367512,CH1,POWER,2.35
1762858367518,CH1,POWER,2.35
1762858367522,CH1,POWER,2.35
1762858367528,CH1,POWER,2.35
1762858367532,CH1,POWER,2.35
1762858367538,CH1,POWER,2.35
1762858367542,CH1,POWER,2.35
1762858367548,CH1,POWER,2.35
1762858367556,CH1,POWER,2.35
1762858367560,CH1,POWER,2.35
1762858367566,CH1,POWER,2.35
1762858367570,CH1,POWER,2.35
1762858367576,CH1,POWER,2.35
1762858367581,CH1,POWER,2.35
1762858367585,CH1,POWER,2.35
1762858367589,CH1,POWER,2.35
1762858367593,CH1,POWER,2.35
1762858367598,CH1,POWER,2.35
1762858367606,CH1,POWER,2.35
1762858367610,CH1,POWER,2.35
1762858367616,CH1,POWER,2.35
1762858367620,CH1,POWER,2.35
1762858367626,CH1,POWER,2.35
1762858367630,CH1,POWER,2.35
1762858367636,CH1,POWER,2.35
1762858367640,CH1,POWER,2.35
1762858367646,CH1,POWER,2.35
1762858367651,CH1,POWER,2.35
1762858367655,CH1,POWER,2.35
1762858367659,CH1,POWER,2.35
1762858367663,CH1,POWER,2.35
1762858367690,CH1,POWER,2.35
1762858367694,CH1,POWER,2.35
1762858367699,CH1,POWER,2.35
1762858367703,CH1,POWER,2.35
1762858367707,CH1,POWER,2.35
1762858367711,CH1,POWER,2.35
1762858367715,CH1,POWER,2.35
1762858367720,CH1,POWER,2.35
1762858367724,CH1,POWER,2.35
1762858367730,CH1,POWER,2.35
1762858367735,CH1,POWER,2.35
1762858367740,CH1,POWER,2.35
1762858367744,CH1,POWER,2.35
1762858367750,CH1,POWER,2.35
1762858367758,CH1,POWER,2.35
1762858367762,CH1,POWER,2.35
1762858367768,CH1,POWER,2.35
1762858367772,CH1,POWER,2.35
1762858367777,CH1,POWER,2.35
1762858367781,CH1,POWER,2.35
1762858367785,CH1,POWER,2.35
1762858367790,CH1,POWER,2.35
1762858367794,CH1,POWER,2.35
1762858367800,CH1,POWER,2.35
1762858367804,CH1,POWER,2.35
1762858367810,CH1,POWER,2.35
1762858367814,CH1,POWER,2.35
1762858367820,CH1,POWER,2.35
1762858367824,CH1,POWER,2.35
1762858367830,CH1,POWER,2.35
1762858367834,CH1,POWER,2.35
1762858367840,CH1,POWER,2.35
1762858367844,CH1,POWER,2.35
1762858367850,CH1,POWER,2.35
1762858367855,CH1,POWER,2.35
1762858367860,CH1,POWER,2.35
1762858367864,CH1,POWER,2.35
1762858367870,CH1,POWER,2.35
1762858367874,CH1,POWER,2.35
1762858367880,CH1,POWER,2.35
1762858367885,CH1,POWER,2.35
1762858367890,CH1,POWER,2.35
1762858367894,CH1,POWER,2.35
1762858367900,CH1,POWER,2.35
1762858367904,CH1,POWER,2.35
1762858367910,CH1,POWER,2.35
1762858367914,CH1,POWER,2.35
1762858367920,CH1,POWER,2.35
1762858367924,CH1,POWER,2.35
1762858367930,CH1,POWER,2.35
1762858367934,CH1,POWER,2.35
1762858367940,CH1,POWER,2.35
1762858367944,CH1,POWER,2.35
1762858367950,CH1,POWER,2.35
1762858367954,CH1,POWER,2.35
1762858367960,CH1,POWER,2.35
1762858367964,CH1,POWER,2.35
1762858367970,CH1,POWER,2.35
1762858367974,CH1,POWER,2.35
1762858367980,CH1,POWER,2.35
1762858367984,CH1,POWER,2.35
1762858367990,CH1,POWER,2.35
1762858367994,CH1,POWER,2.35
1762858368000,CH1,POWER,2.35
1762858368004,CH1,POWER,2.35
1762858368010,CH1,POWER,2.35
1762858368015,CH1,POWER,2.35
1762858368020,CH1,POWER,2.35
1762858368024,CH1,POWER,2.35
1762858368030,CH1,POWER,2.35
1762858368034,CH1,POWER,2.35
1762858368040,CH1,POWER,2.35
1762858368044,CH1,POWER,2.35
1762858368050,CH1,POWER,2.35
1762858368054,CH1,POWER,2.35
1762858368060,CH1,POWER,2.35
1762858368064,CH1,POWER,2.35
1762858368068,CH1,POWER,2.35
1762858368071,CH1,POWER,2.35
1762858368073,CH1,POWER,2.35
1762858368099,CH1,POWER,2.35
1762858368105,CH1,POWER,2.35
1762858368109,CH1,POWER,2.35
1762858368113,CH1,POWER,2.35
1762858368117,CH1,POWER,2.35
1762858368122,CH1,POWER,2.35
1762858368126,CH1,POWER,2.35
1762858368132,CH1,POWER,2.35
1762858368137,CH1,POWER,2.35
1762858368142,CH1,POWER,2.35
1762858368146,CH1,POWER,2.35
1762858368152,CH1,POWER,2.35
1762858368156,CH1,POWER,2.35
1762858368162,CH1,POWER,2.35
1762858368166,CH1,POWER,2.35
1762858368172,CH1,POWER,2.35
1762858368180,CH1,POWER,2.35
1762858368184,CH1,POWER,2.35
1762858368190,CH1,POWER,2.35
1762858368194,CH1,POWER,2.35
1762858368200,CH1,POWER,2.35
1762858368204,CH1,POWER,2.35
1762858368209,CH1,POWER,2.35
1762858368213,CH1,POWER,2.35
1762858368217,CH1,POWER,2.35
1762858368222,CH1,POWER,2.35
1762858368226,CH1,POWER,2.35
1762858368232,CH1,POWER,2.35
1762858368236,CH1,POWER,2.35
1762858368242,CH1,POWER,2.35
1762858368246,CH1,POWER,2.35
1762858368252,CH1,POWER,2.35
1762858368256,CH1,POWER,2.35
1762858368261,CH1,POWER,2.35
1762858368267,CH1,POWER,2.35
1762858368272,CH1,POWER,2.35
1762858368280,CH1,POWER,2.35
1762858368285,CH1,POWER,2.35
1762858368292,CH1,POWER,2.35
1762858368300,CH1,POWER,2.35
1762858368306,CH1,POWER,2.35
1762858368312,CH1,POWER,2.35
1762858368316,CH1,POWER,2.35
1762858368322,CH1,POWER,2.35
1762858368326,CH1,POWER,2.35
1762858368331,CH1,POWER,2.35
1762858368337,CH1,POWER,2.35
1762858368342,CH1,POWER,2.35
1762858368347,CH1,POWER,2.35
1762858368352,CH1,POWER,2.35
1762858368357,CH1,POWER,2.35
1762858368362,CH1,POWER,2.35
1762858368370,CH1,POWER,2.35
1762858368379,CH1,POWER,2.35
1762858368383,CH1,POWER,2.35
1762858368387,CH1,POWER,2.35
1762858368392,CH1,POWER,2.35
1762858368396,CH1,POWER,2.35
1762858368402,CH1,POWER,2.35
1762858368406,CH1,POWER,2.35
1762858368412,CH1,POWER,2.35
1762858368416,CH1,POWER,2.35
1762858368422,CH1,POWER,2.35
1762858368426,CH1,POWER,2.35
1762858368432,CH1,POWER,2.35
1762858368436,CH1,POWER,2.35
1762858368441,CH1,POWER,2.35
1762858368445,CH1,POWER,2.35
1762858368449,CH1,POWER,2.35
1762858368453,CH1,POWER,2.35
1762858368457,CH1,POWER,2.35
1762858368462,CH1,POWER,2.35
1762858368466,CH1,POWER,2.35
1762858368470,CH1,POWER,2.35
1762858368473,CH1,POWER,2.55
1762858368475,CH1,POWER,2.55
1762858368501,CH1,POWER,2.55
1762858368507,CH1,POWER,2.55
1762858368514,CH1,POWER,2.55
1762858368518,CH1,POWER,2.55
1762858368524,CH1,POWER,2.55
1762858368528,CH1,POWER,2.55
1762858368534,CH1,POWER,2.55
1762858368538,CH1,POWER,2.55
1762858368544,CH1,POWER,2.55
1762858368548,CH1,POWER,2.55
1762858368554,CH1,POWER,2.55
1762858368562,CH1,POWER,2.55
1762858368566,CH1,POWER,2.55
1762858368572,CH1,POWER,2.55
1762858368578,CH1,POWER,2.55
1762858368584,CH1,POWER,2.55
1762858368589,CH1,POWER,2.55
1762858368594,CH1,POWER,2.55
1762858368602,CH1,POWER,2.55
1762858368608,CH1,POWER,2.55
1762858368613,CH1,POWER,2.55
1762858368618,CH1,POWER,2.55
1762858368623,CH1,POWER,2.55
1762858368627,CH1,POWER,2.55
1762858368631,CH1,POWER,2.55
1762858368636,CH1,POWER,2.55
1762858368641,CH1,POWER,2.55
1762858368645,CH1,POWER,2.55
1762858368649,CH1,POWER,2.55
1762858368654,CH1,POWER,2.55
1762858368662,CH1,POWER,2.55
1762858368668,CH1,POWER,2.55
1762858368673,CH1,POWER,2.55
1762858368680,CH1,POWER,2.55
1762858368684,CH1,POWER,2.55
1762858368692,CH1,POWER,2.55
1762858368698,CH1,POWER,2.55
1762858368704,CH1,POWER,2.55
1762858368708,CH1,POWER,2.55
1762858368714,CH1,POWER,2.55
1762858368716,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""start,sigmark,0"",""timestamp"":1762858368716}"
1762858368722,CH1,POWER,2.55
1762858368727,CH1,POWER,2.55
1762858368734,CH1,POWER,2.55
1762858368742,CH1,POWER,2.55
1762858368747,CH1,POWER,2.55
1762858368753,CH1,POWER,2.55
1762858368758,CH1,POWER,2.55
1762858368763,CH1,POWER,2.55
1762858368768,CH1,POWER,2.55
1762858368774,CH1,POWER,2.55
1762858368779,CH1,POWER,2.55
1762858368784,CH1,POWER,2.55
1762858368789,CH1,POWER,2.55
1762858368794,CH1,POWER,2.55
1762858368802,CH1,POWER,2.55
1762858368807,CH1,POWER,2.55
1762858368813,CH1,POWER,2.55
1762858368818,CH1,POWER,2.55
1762858368824,CH1,POWER,2.55
1762858368828,CH1,POWER,2.55
1762858368834,CH1,POWER,2.55
1762858368838,CH1,POWER,2.55
1762858368844,CH1,POWER,2.55
1762858368848,CH1,POWER,2.55
1762858368854,CH1,POWER,2.55
1762858368858,CH1,POWER,2.55
1762858368864,CH1,POWER,2.55
1762858368868,CH1,POWER,2.55
1762858368872,CH1,POWER,2.55
1762858368875,CH1,POWER,2.35
1762858368877,CH1,POWER,2.35
1762858368903,CH1,POWER,2.35
1762858368909,CH1,POWER,2.35
1762858368913,CH1,POWER,2.35
1762858368917,CH1,POWER,2.35
1762858368921,CH1,POWER,2.35
1762858368926,CH1,POWER,2.35
1762858368934,CH1,POWER,2.35
1762858368938,CH1,POWER,2.35
1762858368946,CH1,POWER,2.35
1762858368951,CH1,POWER,2.35
1762858368956,CH1,POWER,2.35
1762858368960,CH1,POWER,2.35
1762858368966,CH1,POWER,2.35
1762858368970,CH1,POWER,2.35
1762858368976,CH1,POWER,2.35
1762858368980,CH1,POWER,2.35
1762858368986,CH1,POWER,2.35
1762858368990,CH1,POWER,2.35
1762858368996,CH1,POWER,2.35
1762858369000,CH1,POWER,2.35
1762858369005,CH1,POWER,2.35
1762858369009,CH1,POWER,2.35
1762858369013,CH1,POWER,2.35
1762858369017,CH1,POWER,2.35
1762858369023,CH1,POWER,2.35
1762858369027,CH1,POWER,2.35
1762858369031,CH1,POWER,2.35
1762858369036,CH1,POWER,2.35
